condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,15,15,0,83981.369,0.991,0.050,0.009,0.127,2711,0,583,3241,106,151,439,3805,42,0.000,4,1,5.402,0.061,-4.160,-3.020,-1.660,-0.184,-0.100,0.956,0.040,0.046,-0.074,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,15,15,0,83986.369,0.991,0.050,0.009,0.127,2708,0,579,3229,105,151,432,3743,42,0.000,4,1,1.847,0.066,0.800,0.900,1.400,-0.195,-0.118,1.014,-0.028,-0.060,-0.074,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,15,15,0,83991.369,0.991,0.050,0.009,0.127,2704,0,581,3240,104,149,439,3797,42,0.000,4,1,2.180,0.066,-2.080,0.480,-0.440,-0.147,-0.117,0.953,-0.028,-0.060,-0.222,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,63,63,0,83996.369,0.991,0.050,0.009,0.128,2721,0,576,3231,105,156,437,3800,42,0.000,4,1,4.883,0.079,0.620,-3.980,-2.760,-0.200,-0.080,0.980,-0.052,-0.060,0.018,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,63,63,0,84001.369,0.991,0.050,0.009,0.127,2709,0,581,3229,118,152,432,3797,42,0.000,4,1,5.210,0.206,-0.800,4.320,2.800,-0.175,-0.161,1.008,0.010,-0.206,0.018,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,63,63,0,84006.369,0.991,0.050,0.009,0.128,2713,0,583,3225,120,149,438,3795,42,0.000,4,1,5.956,0.294,-0.720,-4.780,-3.480,-0.173,-0.044,0.924,0.010,0.294,0.018,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,63,63,0,84011.369,0.991,0.050,0.009,0.127,2709,0,581,3247,124,149,441,3788,42,0.000,4,1,3.390,0.482,0.980,2.440,2.140,-0.192,-0.164,1.039,0.010,-0.482,0.316,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,80,80,0,84016.369,0.991,0.050,0.009,0.128,2717,0,586,3227,121,153,441,3799,42,0.000,4,1,3.402,0.433,-2.620,-1.240,-1.780,-0.168,-0.056,0.922,0.144,0.408,-0.602,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,80,80,0,84021.371,0.991,0.050,0.009,0.127,2713,0,583,3236,133,147,438,3807,42,0.000,4,1,2.575,0.351,2.080,-0.980,1.160,-0.189,-0.148,1.026,-0.060,-0.346,0.506,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,80,80,0,84026.369,0.991,0.050,0.009,0.128,2714,0,588,3239,125,149,443,3800,42,0.000,4,1,3.142,0.325,-2.440,1.400,-1.400,-0.174,-0.070,0.948,0.114,0.304,-0.346,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,80,80,0,84031.369,0.991,0.050,0.009,0.127,2712,0,588,3229,145,150,444,3804,42,0.000,4,1,3.209,0.248,1.900,-2.340,1.100,-0.184,-0.134,1.000,-0.034,-0.246,0.236,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,80,80,0,84036.369,0.991,0.050,0.009,0.128,2714,0,587,3237,140,152,443,3791,42,0.000,4,1,2.532,0.266,-1.100,1.700,-1.520,-0.181,-0.078,0.968,0.074,0.256,-0.140,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,80,80,0,84041.369,0.991,0.050,0.009,0.127,2723,0,596,3236,143,155,439,3789,42,0.000,4,1,1.797,0.126,0.440,-1.480,0.920,-0.178,-0.118,0.984,0.030,-0.122,0.050,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,80,80,0,84046.369,0.991,0.050,0.009,0.128,2715,0,598,3236,139,142,443,3785,42,0.000,4,1,0.804,0.108,0.180,0.480,-0.620,-0.184,-0.095,0.979,0.030,0.104,-0.014,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,80,80,0,84051.369,0.991,0.050,0.009,0.128,2715,0,586,3225,141,144,441,3774,42,0.000,4,1,1.024,0.076,-0.720,-0.260,-0.680,-0.178,-0.097,0.979,0.030,0.070,-0.014,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,81,81,0,84056.369,0.991,0.050,0.009,0.128,2713,0,587,3244,139,147,443,3773,42,0.000,4,1,1.318,0.072,0.680,-0.440,1.040,-0.182,-0.109,0.984,0.018,0.070,-0.014,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,81,81,0,84061.369,0.991,0.050,0.009,0.128,2712,0,588,3241,145,149,443,3705,42,0.000,4,1,1.062,0.071,-0.120,0.180,-1.040,-0.186,-0.095,0.977,0.014,0.070,-0.016,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,81,81,0,84066.371,0.991,0.050,0.009,0.128,2711,0,586,3237,140,145,442,3710,42,0.000,4,1,0.484,0.062,-0.180,-0.380,0.240,-0.175,-0.097,0.982,0.014,0.060,0.010,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,95,95,0,84071.370,0.991,0.050,0.009,0.128,2726,0,593,3245,149,151,445,3729,42,0.000,4,1,1.494,0.060,0.860,-0.060,1.220,-0.184,-0.116,0.981,-0.002,0.060,0.010,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,95,95,0,84076.369,0.991,0.050,0.009,0.128,2723,0,584,3231,139,143,445,3734,42,0.000,4,1,2.029,0.064,-0.920,-0.320,-1.780,-0.184,-0.091,0.976,0.022,0.060,0.010,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,95,95,0,84081.369,0.991,0.050,0.009,0.128,2724,0,593,3227,144,149,441,3695,42,0.000,4,1,0.545,0.028,0.120,-0.180,0.500,-0.177,-0.106,0.988,0.022,-0.018,0.034,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,0
stim,158,158,0,84086.369,0.991,0.050,0.009,0.128,2723,0,595,3225,156,151,442,3705,42,0.000,4,1,1.397,0.028,0.800,-0.320,1.100,-0.187,-0.117,0.979,0.022,-0.018,0.022,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,1440
stim,158,158,0,84091.369,0.991,0.050,0.009,0.128,2713,0,595,3229,143,144,446,3656,42,0.000,4,1,2.145,0.020,-0.780,-0.620,-1.900,-0.185,-0.095,0.981,0.008,-0.018,0.022,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,0,1440
stim,158,158,0,84096.371,0.991,0.050,0.009,0.128,2712,0,595,3244,150,153,443,3669,42,0.000,4,1,0.323,0.102,0.180,-0.240,-0.120,-0.180,-0.093,0.986,0.008,0.102,0.022,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,1,1440
stim,158,158,0,84101.369,0.991,0.050,0.009,0.128,2715,0,591,3239,134,146,441,3689,42,0.000,4,1,1.861,0.102,1.040,-0.500,1.460,-0.187,-0.121,0.983,0.008,0.102,0.050,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,6,1440
stim,158,158,0,84106.369,0.991,0.050,0.009,0.128,2723,0,595,3239,148,147,446,3657,42,0.000,4,1,1.247,0.024,-0.420,-0.860,-0.800,-0.185,-0.104,0.978,-0.016,0.018,0.050,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,11,1440
stim,158,158,0,84111.369,0.991,0.050,0.009,0.128,2722,0,590,3235,137,139,443,3732,42,0.000,4,1,1.328,0.024,-0.300,-0.680,-1.100,-0.181,-0.087,0.985,-0.016,0.018,0.032,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,16,1440
stim,158,158,0,84116.369,0.991,0.049,0.009,0.128,2717,0,591,3229,135,139,443,3628,42,0.000,4,1,1.265,0.056,0.680,-0.540,0.920,-0.185,-0.099,0.984,0.004,0.056,0.032,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,21,1440
stim,158,158,0,84121.369,0.991,0.050,0.010,0.128,2725,0,589,3243,139,123,445,3592,42,0.000,4,1,1.206,0.056,0.180,-0.980,0.680,-0.183,-0.114,0.980,0.004,0.056,0.032,0.000,0.000,0.266,0.193,2,2,0,1,7,255,1440,300,26,1440
stim,31,31,0,84126.369,0.991,0.049,0.010,0.128,2717,0,590,3243,143,123,443,3579,42,0.000,4,1,1.137,0.056,-0.300,-0.860,-0.680,-0.181,-0.098,0.982,0.004,0.056,0.018,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,31,1728
stim,31,31,0,84131.369,0.991,0.049,0.010,0.128,2717,0,596,3231,140,113,443,3683,42,0.000,4,1,1.356,0.071,-0.180,-0.920,-0.980,-0.184,-0.086,0.984,0.038,0.060,0.018,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,36,1728
stim,31,31,0,84136.369,0.991,0.049,0.010,0.128,2715,0,600,3234,147,101,445,3637,42,0.000,4,1,0.851,0.124,-0.060,-0.840,-0.120,-0.186,-0.092,0.984,0.038,0.118,0.030,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,41,1728
stim,31,31,0,84141.371,0.991,0.049,0.010,0.128,2715,0,595,3243,139,115,443,3646,42,0.000,4,1,1.278,0.118,0.060,-1.080,0.680,-0.185,-0.109,0.982,0.002,0.118,0.034,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,46,1728
stim,31,31,0,84146.369,0.991,0.049,0.010,0.128,2713,0,599,3240,147,116,445,3645,42,0.000,4,1,1.195,0.024,0.060,-1.020,0.620,-0.181,-0.106,0.981,0.002,-0.024,0.034,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,51,1728
stim,31,31,0,84151.369,0.991,0.049,0.010,0.128,2715,0,597,3222,139,108,442,3677,42,0.000,4,1,1.230,0.025,-0.120,-1.200,-0.240,-0.181,-0.094,0.982,0.006,-0.024,0.012,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,56,1728
stim,31,31,0,84156.369,0.991,0.049,0.010,0.128,2717,0,593,3237,145,114,447,3723,42,0.000,4,1,1.396,0.087,-0.360,-1.140,-0.720,-0.184,-0.089,0.983,0.022,0.084,0.012,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,61,1728
stim,31,31,0,84161.369,0.991,0.049,0.010,0.128,2724,0,597,3233,147,112,455,3723,42,0.000,4,1,1.332,0.087,-0.360,-1.260,-0.240,-0.187,-0.099,0.985,0.022,0.084,0.018,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,66,1728
stim,31,31,0,84166.369,0.991,0.049,0.010,0.128,2723,0,594,3229,141,99,445,3739,42,0.000,4,1,1.514,0.062,-0.060,-1.320,0.740,-0.186,-0.104,0.984,-0.026,0.056,0.050,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,71,1728
stim,31,31,0,84171.369,0.991,0.049,0.010,0.128,2715,0,587,3239,125,115,451,3731,42,0.000,4,1,1.865,0.026,0.240,-1.440,1.160,-0.181,-0.104,0.984,-0.026,-0.004,0.050,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,76,1728
stim,31,31,0,84176.369,0.991,0.049,0.010,0.128,2720,0,587,3231,128,117,448,3735,42,0.000,4,1,1.584,0.013,0.240,-1.380,0.740,-0.178,-0.099,0.981,0.012,-0.004,0.036,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,81,1728
