condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,16,16,0,640528.829,0.923,0.064,-0.046,-0.378,1996,26,101,2065,87,1047,74,551,1,0.000,3,0,0.255,0.020,-0.100,0.080,-0.220,-0.138,-0.084,0.992,0.020,-0.002,0.022,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,16,16,0,640533.829,0.923,0.064,-0.046,-0.378,1991,29,104,2073,89,1050,71,548,1,0.000,3,0,0.606,0.031,-0.300,0.080,-0.520,-0.138,-0.083,0.992,0.016,-0.026,0.022,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,54,54,0,640538.829,0.923,0.064,-0.046,-0.378,1994,24,103,2065,89,1045,75,555,1,0.000,3,0,0.794,0.031,-0.600,0.020,-0.520,-0.134,-0.079,0.990,0.016,-0.026,0.020,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,54,54,0,640543.829,0.923,0.064,-0.046,-0.378,2007,25,103,2072,85,1043,73,553,1,0.000,3,0,0.621,0.024,-0.600,0.140,-0.080,-0.130,-0.073,0.985,0.014,0.020,-0.002,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,54,54,0,640548.830,0.923,0.064,-0.046,-0.378,2003,30,105,2063,90,1049,75,551,1,0.000,3,0,0.574,0.078,0.320,0.260,0.400,-0.131,-0.071,0.986,0.000,0.078,-0.050,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,54,54,0,640553.829,0.923,0.064,-0.046,-0.377,1995,25,93,2057,87,1045,76,547,1,0.000,3,0,0.875,0.078,0.740,0.320,0.340,-0.136,-0.082,0.995,0.000,0.078,-0.050,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,54,54,0,640558.829,0.923,0.064,-0.046,-0.377,2005,30,105,2065,91,1055,76,551,1,0.000,3,0,0.753,0.023,-0.480,0.020,-0.580,-0.141,-0.093,0.998,0.022,-0.008,0.046,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,54,54,0,640563.829,0.923,0.064,-0.046,-0.377,1991,30,105,2071,93,1049,72,551,1,0.000,3,0,1.603,0.023,-1.380,-0.420,-0.700,-0.136,-0.080,0.987,0.022,-0.008,0.046,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,54,54,0,640568.829,0.923,0.064,-0.046,-0.377,2011,25,100,2067,99,1041,75,555,1,0.000,3,0,0.749,0.006,0.500,0.200,0.520,-0.133,-0.067,0.980,0.006,0.002,-0.028,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,63,63,0,640573.829,0.923,0.064,-0.046,-0.377,2006,33,105,2063,91,1053,73,555,1,0.000,3,0,1.134,0.006,0.800,0.800,-0.080,-0.140,-0.091,0.997,0.006,0.002,-0.028,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,63,63,0,640578.829,0.923,0.064,-0.046,-0.377,1991,27,99,2056,87,1043,71,547,1,0.000,3,0,2.252,0.058,-1.760,-0.660,-1.240,-0.132,-0.085,1.000,0.058,0.002,0.076,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,63,63,0,640583.829,0.923,0.064,-0.046,-0.377,2003,30,101,2071,91,1054,73,550,1,0.000,3,0,1.111,0.058,0.140,-0.220,1.080,-0.130,-0.056,0.975,0.058,0.002,0.076,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,63,63,0,640588.829,0.923,0.064,-0.046,-0.377,2008,33,102,2071,90,1045,75,553,1,0.000,3,0,1.900,0.076,1.000,1.600,-0.220,-0.149,-0.102,0.995,0.076,0.002,0.080,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,63,63,0,640593.829,0.923,0.064,-0.046,-0.377,2013,27,101,2067,96,1048,72,552,1,0.000,3,0,3.191,0.115,-2.060,-1.500,-1.920,-0.125,-0.083,1.006,0.076,0.086,0.080,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,63,63,0,640598.829,0.923,0.064,-0.046,-0.377,1999,33,103,2058,98,1041,75,553,1,0.000,3,0,2.661,0.115,1.060,0.320,2.420,-0.131,-0.050,0.964,0.076,0.086,0.080,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,0
stim,79,79,0,640603.829,0.923,0.064,-0.046,-0.377,1994,35,104,2067,89,1051,73,551,1,0.000,3,0,2.990,0.141,-0.660,1.960,-2.160,-0.153,-0.121,1.009,0.112,0.086,0.146,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,816
stim,79,79,0,640608.829,0.923,0.064,-0.046,-0.377,2008,27,106,2071,90,1048,75,547,1,0.000,3,0,3.340,0.208,-0.720,-3.220,0.520,-0.112,-0.046,0.993,-0.056,0.200,-0.028,0.000,0.000,0.000,0.000,1,2,0,3,7,255,816,200,0,816
stim,15,15,0,640613.829,0.923,0.064,-0.046,-0.377,1992,27,103,2071,88,1051,79,555,1,0.000,3,0,3.622,0.327,0.680,3.500,0.640,-0.159,-0.100,0.964,-0.022,-0.326,-0.028,0.000,0.000,0.000,0.000,1,2,0,1,7,255,1224,300,3,1224
