condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,105055,105055,0,5422079.722,-0.162,-0.705,0.624,0.296,45,81,71,31,35,0,68,14,42,0.000,4,0,5.258,1.522,1.020,5.060,1.000,-0.364,0.071,-0.925,0.844,-1.266,-0.168,0.000,0.000,0.156,0.320,2,2,0,3,7,255,1125,200,418,1125
stim,105055,105055,0,5422079.850,-0.162,-0.705,0.624,0.296,73,88,75,67,35,0,56,38,42,0.000,4,0,4.211,1.483,0.360,4.140,0.680,-0.374,0.075,-0.916,0.838,-1.224,-0.206,0.000,0.000,0.156,0.320,2,2,0,3,7,255,1125,200,418,1125
stim,105055,105055,0,5422079.883,-0.162,-0.705,0.624,0.296,51,66,73,55,11,0,43,36,42,0.000,4,0,3.539,1.443,-0.920,2.800,1.960,-0.371,0.066,-0.901,0.880,-1.144,-0.238,0.000,0.000,0.156,0.320,2,2,0,3,7,255,1125,200,418,1125
stim,105055,105055,0,5422079.914,-0.162,-0.705,0.624,0.295,47,58,74,59,16,0,41,39,42,0.000,4,0,4.770,1.420,-3.300,0.160,3.440,-0.355,0.069,-0.890,0.842,-1.144,-0.388,0.000,0.000,0.156,0.320,2,2,0,3,7,255,1125,200,418,1125
stim,105055,105055,0,5422083.786,-0.162,-0.705,0.625,0.295,63,57,71,69,20,0,45,45,42,0.000,4,0,6.066,1.454,-3.980,-2.640,3.740,-0.345,0.073,-0.892,0.842,-1.186,-0.552,0.000,0.000,0.156,0.320,2,2,0,3,7,255,1125,200,422,1125
stim,105071,105071,0,5422084.327,-0.162,-0.704,0.625,0.295,45,59,83,44,23,0,57,33,42,0.000,4,0,9.323,1.491,-7.880,-2.220,4.460,-0.352,0.067,-0.896,0.842,-1.230,-0.552,0.000,0.000,0.156,0.320,2,2,0,3,7,255,1125,200,422,1125
stim,105071,105071,0,5422063.161,-0.162,-0.704,0.625,0.295,53,59,83,62,21,0,45,41,42,0.000,4,0,9.670,1.502,-8.260,-2.640,4.280,-0.355,0.068,-0.894,0.862,-1.230,-0.516,0.000,0.000,0.156,0.320,2,2,0,3,7,255,1125,200,401,1125
stim,105071,105071,0,5422068.161,-0.162,-0.704,0.625,0.296,46,59,73,39,41,0,57,16,42,0.000,4,0,10.316,1.475,-8.680,-3.500,4.340,-0.370,0.066,-0.895,0.866,-1.194,-0.516,0.000,0.000,0.156,0.320,2,2,0,3,7,255,1125,200,406,1125
stim,105071,105071,0,5422073.161,-0.162,-0.704,0.625,0.296,49,77,54,39,39,4,59,18,42,0.000,4,0,10.597,1.384,-8.560,-4.160,4.660,-0.372,0.067,-0.902,0.866,-1.080,-0.448,0.000,0.000,0.156,0.320,2,2,0,3,7,255,1125,200,411,1125
stim,105071,105071,0,5422078.163,-0.162,-0.704,0.625,0.296,69,76,55,39,40,6,53,18,42,0.000,4,0,9.885,1.388,-7.700,-4.540,4.220,-0.369,0.066,-0.910,0.872,-1.080,-0.378,0.000,0.000,0.156,0.320,2,2,0,3,7,255,1125,200,416,1125
