condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,16,16,0,2017013.829,-0.979,0.022,0.080,-0.186,3357,437,1629,3271,883,1847,543,1575,22,0.000,20,1,0.547,0.007,-0.320,-0.060,-0.440,-0.162,0.010,0.990,0.006,0.004,-0.030,0.000,0.000,0.000,0.001,2,0,0,0,7,255,0,250,0,0
stim,16,16,0,2017018.829,-0.979,0.022,0.081,-0.186,3342,442,1625,3272,869,1864,546,1565,22,0.000,20,1,0.369,0.038,-0.320,-0.120,-0.140,-0.167,0.006,0.993,0.006,-0.038,0.002,0.000,0.000,0.000,0.001,2,0,0,0,7,255,0,250,0,0
stim,16,16,0,2017023.829,-0.979,0.022,0.081,-0.186,3341,438,1621,3251,873,1838,540,1555,22,0.000,20,1,0.573,0.043,-0.440,-0.180,-0.320,-0.175,0.009,0.993,-0.020,-0.038,0.038,0.000,0.000,0.000,0.001,2,0,0,0,7,255,0,250,0,0
stim,16,16,0,2017028.829,-0.979,0.022,0.081,-0.186,3341,445,1632,3256,887,1851,540,1565,22,0.000,20,1,1.144,0.062,-0.500,-0.240,-1.000,-0.174,0.012,0.988,-0.062,-0.002,0.038,0.000,0.000,0.000,0.001,2,0,0,0,7,255,0,250,0,0
stim,63,63,0,2017033.829,-0.979,0.022,0.081,-0.186,3357,442,1631,3278,880,1851,543,1565,22,0.000,20,1,1.267,0.066,-0.680,0.140,-1.060,-0.159,0.019,0.979,-0.062,0.024,0.006,0.000,0.000,0.000,0.001,2,0,0,0,7,255,0,250,0,0
stim,63,63,0,2017038.830,-0.979,0.022,0.080,-0.186,3363,439,1623,3301,869,1837,539,1555,22,0.000,20,1,1.001,0.084,-0.800,0.560,0.220,-0.148,0.020,0.979,0.080,0.024,-0.100,0.000,0.000,0.000,0.001,2,0,0,0,7,255,0,250,0,0
stim,63,63,0,2017043.829,-0.979,0.022,0.080,-0.186,3355,443,1635,3260,879,1849,541,1563,22,0.000,20,1,1.354,0.080,-0.320,0.380,1.260,-0.163,0.010,0.994,0.080,0.004,-0.100,0.000,0.000,0.000,0.001,2,0,0,0,7,255,0,250,0,0
stim,63,63,0,2017048.829,-0.979,0.022,0.081,-0.186,3365,432,1636,3263,885,1849,544,1567,22,0.000,20,1,0.474,0.051,0.180,-0.300,-0.320,-0.183,-0.004,1.003,0.034,-0.038,0.046,0.000,0.000,0.000,0.001,2,0,0,0,7,255,0,250,0,0
stim,63,63,0,2017053.829,-0.979,0.022,0.081,-0.186,3349,439,1636,3276,888,1863,548,1567,22,0.000,20,1,2.010,0.061,-0.800,-0.480,-1.780,-0.171,0.010,0.987,-0.048,-0.038,0.046,0.000,0.000,0.000,0.001,2,0,0,0,7,255,0,250,0,0
stim,63,63,0,2017058.829,-0.979,0.022,0.080,-0.186,3365,437,1635,3264,879,1848,547,1561,22,0.000,20,1,1.443,0.048,-1.240,0.560,0.480,-0.151,0.034,0.974,-0.048,-0.004,-0.012,0.000,0.000,0.000,0.001,2,0,0,0,7,255,0,250,0,0
