condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,15,15,0,4373138.441,-0.833,-0.045,-0.061,-0.549,2939,345,870,4051,1323,0,384,1123,62,0.000,2964,1,2.198,0.012,1.760,0.540,1.200,-0.120,-0.324,0.940,0.012,-0.002,0.004,0.000,0.000,1.097,1.250,2,3,0,3,7,255,1125,250,5,1125
stim,15,15,0,4373143.441,-0.833,-0.045,-0.061,-0.549,2914,345,865,3999,1337,0,389,1076,62,0.000,2964,1,1.983,0.012,1.640,0.600,0.940,-0.118,-0.326,0.939,0.012,-0.002,0.004,0.000,0.000,1.097,1.250,2,3,0,3,7,255,1125,250,10,1125
stim,31,31,0,4373148.441,-0.833,-0.045,-0.061,-0.549,2941,345,857,4029,1333,0,383,1104,62,0.000,2964,1,2.255,0.009,1.700,0.780,1.260,-0.115,-0.327,0.937,-0.004,-0.008,0.000,0.000,0.000,1.097,1.250,2,3,0,3,7,255,1125,250,15,1125
stim,31,31,0,4373153.441,-0.833,-0.045,-0.061,-0.549,2937,358,859,4019,1328,0,383,1113,62,0.000,2964,1,2.382,0.013,1.760,0.620,1.480,-0.120,-0.326,0.938,-0.010,-0.008,-0.012,0.000,0.000,1.097,1.250,2,3,0,3,7,255,1125,250,20,1125
stim,47,47,0,4373158.442,-0.833,-0.045,-0.061,-0.548,2911,347,843,3999,1320,0,381,1101,62,0.000,2964,1,2.154,0.020,1.760,0.680,1.040,-0.121,-0.326,0.936,-0.012,0.016,-0.018,0.000,0.000,1.097,1.250,2,3,0,3,7,255,1125,250,25,1125
stim,47,47,0,4373163.441,-0.833,-0.045,-0.061,-0.548,2951,349,856,4045,1328,0,392,1117,62,0.000,2964,1,2.185,0.020,1.940,0.680,0.740,-0.117,-0.325,0.935,-0.012,0.016,-0.028,0.000,0.000,1.097,1.250,2,3,0,3,7,255,1125,250,30,1125
stim,64,64,0,4373168.441,-0.833,-0.045,-0.061,-0.548,2953,357,853,4029,1333,0,392,1116,62,0.000,2964,1,2.375,0.022,2.060,0.560,1.040,-0.115,-0.328,0.936,-0.018,-0.012,-0.030,0.000,0.000,1.097,1.250,2,3,0,3,7,255,1125,250,35,1125
stim,64,64,0,4373173.442,-0.833,-0.045,-0.061,-0.548,2935,364,855,4043,1333,0,391,1119,62,0.000,2964,1,2.666,0.044,2.000,0.740,1.600,-0.114,-0.328,0.935,-0.018,-0.040,-0.038,0.000,0.000,1.097,1.250,2,3,0,3,7,255,1125,250,40,1125
stim,64,64,0,4373178.442,-0.833,-0.045,-0.061,-0.548,2944,364,843,4023,1332,0,395,1114,62,0.000,2964,1,2.662,0.044,2.140,0.560,1.480,-0.119,-0.325,0.938,-0.018,-0.040,-0.030,0.000,0.000,1.097,1.250,2,3,0,3,7,255,1125,250,45,1125
stim,64,64,0,4373183.441,-0.833,-0.045,-0.061,-0.548,2955,367,839,4031,1335,0,393,1123,62,0.000,2964,1,2.759,0.006,2.380,0.860,1.100,-0.118,-0.322,0.939,0.000,0.006,-0.014,0.000,0.000,1.097,1.250,2,3,0,3,7,255,1125,250,50,1125
