condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,33,33,0,2925507.087,0.421,0.259,-0.140,-0.858,3239,331,316,3189,679,1547,109,1379,58,0.000,1903,1,0.442,0.010,0.160,0.100,-0.400,-0.568,0.019,0.825,0.000,-0.010,0.000,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,0,1214
stim,33,33,0,2925512.087,0.421,0.259,-0.140,-0.858,3242,330,311,3197,672,1557,107,1377,58,0.000,1903,1,0.338,0.010,0.160,0.100,-0.280,-0.567,0.018,0.826,-0.002,-0.010,0.002,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1,1214
stim,33,33,0,2925517.087,0.421,0.259,-0.140,-0.858,3251,319,314,3214,679,1557,117,1379,58,0.000,1903,1,0.245,0.012,0.100,0.040,-0.220,-0.565,0.019,0.824,-0.006,-0.010,0.000,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,6,1214
stim,33,33,0,2925522.088,0.421,0.259,-0.140,-0.858,3240,316,311,3205,675,1547,118,1371,58,0.000,1903,1,0.193,0.016,0.040,0.100,-0.160,-0.565,0.020,0.825,-0.014,-0.008,-0.014,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,11,1214
stim,33,33,0,2925527.087,0.421,0.259,-0.140,-0.858,3247,323,312,3197,667,1546,117,1379,58,0.000,1903,1,0.365,0.023,-0.080,0.220,-0.280,-0.564,0.019,0.825,-0.022,-0.006,-0.020,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,16,1214
stim,33,33,0,2925532.087,0.421,0.259,-0.140,-0.858,3257,320,308,3192,665,1553,117,1375,58,0.000,1903,1,0.477,0.022,-0.140,0.220,-0.400,-0.566,0.016,0.825,-0.022,0.004,-0.014,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,21,1214
stim,49,49,0,2925537.087,0.421,0.259,-0.140,-0.858,3247,325,306,3189,665,1548,118,1378,58,0.000,1903,1,0.572,0.007,-0.260,0.220,-0.460,-0.568,0.016,0.827,0.006,0.004,-0.014,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,26,1214
stim,49,49,0,2925542.087,0.421,0.259,-0.140,-0.858,3244,318,309,3193,664,1551,117,1375,58,0.000,1903,1,0.407,0.009,-0.200,0.100,-0.340,-0.570,0.015,0.827,0.008,0.004,0.018,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,31,1214
stim,49,49,0,2925547.087,0.421,0.259,-0.140,-0.858,3264,329,311,3215,665,1561,121,1385,58,0.000,1903,1,0.235,0.008,-0.140,0.160,-0.100,-0.568,0.016,0.827,0.008,0.002,0.020,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,36,1214
stim,49,49,0,2925552.087,0.421,0.259,-0.140,-0.858,3237,324,301,3205,663,1549,118,1371,58,0.000,1903,1,0.134,0.014,-0.080,0.100,-0.040,-0.567,0.016,0.824,0.014,0.000,0.020,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,41,1214
stim,66,66,0,2925557.087,0.421,0.259,-0.140,-0.858,3245,315,303,3192,663,1547,115,1379,58,0.000,1903,1,0.216,0.008,-0.140,0.040,-0.160,-0.565,0.015,0.826,0.008,0.002,-0.008,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,46,1214
stim,66,66,0,2925562.087,0.421,0.259,-0.140,-0.858,3239,315,299,3195,665,1551,119,1376,58,0.000,1903,1,0.279,0.022,-0.140,0.100,-0.220,-0.565,0.013,0.827,0.012,0.018,-0.008,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,51,1214
