condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,0,0,0,3113599.811,0.204,0.245,-0.094,-0.943,1243,595,61,1512,0,364,255,439,52,0.369,2056,0,1.363,0.022,1.140,0.700,-0.260,-0.442,-0.104,0.896,-0.012,-0.018,0.002,0.000,0.000,0.448,0.403,0,3,0,3,7,255,1188,250,27,1188
stim,0,0,0,3113604.811,0.204,0.245,-0.094,-0.943,1248,590,58,1508,0,363,264,443,52,0.369,2056,0,1.280,0.022,0.900,0.760,-0.500,-0.441,-0.107,0.896,-0.012,-0.018,0.012,0.000,0.000,0.448,0.403,0,3,0,3,7,255,1188,250,32,1188
stim,0,0,0,3113609.811,0.204,0.245,-0.094,-0.943,1244,595,59,1510,0,359,256,437,52,0.369,2056,0,1.437,0.015,0.920,0.900,-0.640,-0.440,-0.105,0.895,-0.014,-0.006,0.012,0.000,0.000,0.448,0.403,0,3,0,3,7,255,1188,250,37,1188
stim,15,15,0,3113614.811,0.204,0.245,-0.094,-0.943,1243,605,58,1511,0,364,262,438,52,0.369,2056,0,1.482,0.014,0.980,0.960,-0.560,-0.440,-0.106,0.894,-0.014,0.000,-0.002,0.000,0.000,0.448,0.403,0,3,0,3,7,255,1188,250,42,1188
stim,15,15,0,3113619.811,0.204,0.245,-0.094,-0.943,1251,611,60,1516,0,366,261,439,52,0.369,2056,0,1.482,0.014,1.040,0.960,-0.440,-0.440,-0.110,0.893,-0.014,0.000,-0.008,0.000,0.000,0.448,0.403,0,3,0,3,7,255,1188,250,47,1188
stim,15,15,0,3113624.811,0.204,0.245,-0.094,-0.943,1243,611,61,1517,0,365,264,438,52,0.369,2056,0,1.356,0.029,0.980,0.900,-0.260,-0.439,-0.109,0.894,-0.006,0.028,-0.010,0.000,0.000,0.448,0.403,0,3,0,3,7,255,1188,250,52,1188
stim,15,15,0,3113629.811,0.204,0.245,-0.094,-0.943,1240,604,62,1523,0,365,264,436,52,0.369,2056,0,1.356,0.028,0.980,0.900,-0.260,-0.441,-0.106,0.894,-0.002,0.028,-0.010,0.000,0.000,0.448,0.403,0,3,0,3,7,255,1188,250,57,1188
stim,15,15,0,3113634.811,0.204,0.245,-0.094,-0.943,1240,603,59,1500,0,367,253,442,52,0.369,2056,0,1.409,0.006,0.980,0.960,-0.320,-0.440,-0.105,0.894,-0.006,0.000,-0.008,0.000,0.000,0.448,0.403,0,3,0,3,7,255,1188,250,62,1188
stim,15,15,0,3113639.811,0.204,0.245,-0.094,-0.943,1239,597,63,1503,0,352,267,441,52,0.369,2056,0,1.462,0.002,0.920,1.020,-0.500,-0.441,-0.107,0.894,-0.002,0.000,-0.006,0.000,0.000,0.448,0.403,0,3,0,3,7,255,1188,250,67,1188
stim,58,58,0,3113644.811,0.204,0.245,-0.094,-0.943,1239,611,59,1509,0,356,265,439,52,0.369,2056,0,1.334,0.010,0.780,0.960,-0.500,-0.440,-0.108,0.893,0.000,0.010,-0.006,0.000,0.000,0.448,0.403,0,3,0,3,7,255,1188,250,72,1188
stim,58,58,0,3113649.811,0.204,0.245,-0.094,-0.943,1241,605,59,1511,0,351,267,443,52,0.369,2056,0,1.344,0.020,0.860,0.960,-0.380,-0.438,-0.109,0.893,0.000,0.020,-0.018,0.000,0.000,0.448,0.403,0,3,0,3,7,255,1188,250,77,1188
