condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,18,18,0,4214863.412,-0.414,-0.012,0.071,-0.908,3081,640,1543,3586,383,1605,748,815,54,0.000,2320,1,3.381,0.004,-2.720,1.640,1.160,-0.242,-0.143,0.961,0.004,-0.002,-0.002,0.000,0.000,1.088,1.182,2,3,0,3,7,255,1440,250,63,1440
stim,18,18,0,4214868.412,-0.414,-0.012,0.071,-0.908,3080,640,1550,3589,391,1610,739,819,54,0.000,2320,1,3.304,0.006,-2.660,1.580,1.160,-0.244,-0.145,0.960,0.004,0.004,0.000,0.000,0.000,1.088,1.182,2,3,0,3,7,255,1440,250,68,1440
stim,30,30,0,4214873.412,-0.414,-0.012,0.071,-0.908,3028,648,1542,3590,399,1610,760,819,54,0.000,2320,1,3.313,0.008,-2.660,1.640,1.100,-0.241,-0.146,0.959,0.002,0.008,0.000,0.000,0.000,1.088,1.182,2,3,0,3,7,255,1440,250,73,1440
stim,30,30,0,4214878.412,-0.414,-0.012,0.071,-0.908,3077,649,1543,3579,391,1596,755,811,54,0.000,2320,1,3.215,0.014,-2.600,1.580,1.040,-0.244,-0.145,0.960,0.002,0.014,0.000,0.000,0.000,1.088,1.182,2,3,0,3,7,255,1440,250,78,1440
stim,82,82,0,4214883.412,-0.414,-0.012,0.071,-0.907,3067,636,1531,3572,383,1607,750,813,54,0.000,2320,1,3.354,0.012,-2.780,1.520,1.100,-0.245,-0.144,0.960,0.002,0.012,0.000,0.000,0.000,1.088,1.182,2,3,0,3,7,255,1440,250,83,1440
stim,82,82,0,4214888.412,-0.414,-0.012,0.071,-0.907,3069,648,1541,3591,392,1607,757,817,54,0.000,2320,1,3.369,0.012,-2.720,1.520,1.280,-0.243,-0.145,0.961,0.002,0.012,0.006,0.000,0.000,1.088,1.182,2,3,0,3,7,255,1440,250,88,1440
stim,114,114,0,4214893.412,-0.414,-0.012,0.071,-0.907,3081,650,1544,3589,403,1608,752,813,54,0.000,2320,1,3.249,0.003,-2.600,1.520,1.220,-0.242,-0.144,0.962,0.002,0.002,0.012,0.000,0.000,1.088,1.182,2,3,0,3,7,255,1440,250,93,1440
stim,114,114,0,4214898.412,-0.414,-0.012,0.071,-0.907,3079,652,1544,3579,398,1607,749,811,54,0.000,2320,1,3.187,0.003,-2.540,1.580,1.100,-0.243,-0.145,0.961,0.002,0.002,0.012,0.000,0.000,1.088,1.182,2,3,0,3,7,255,1440,250,98,1440
stim,114,114,0,4214903.412,-0.414,-0.012,0.071,-0.907,3069,651,1541,3576,387,1607,750,813,54,0.000,2320,1,3.186,0.004,-2.600,1.520,1.040,-0.242,-0.146,0.960,0.000,0.004,0.006,0.000,0.000,1.088,1.182,2,3,0,3,7,255,1440,250,103,1440
stim,114,114,0,4214908.412,-0.414,-0.012,0.071,-0.907,3081,651,1541,3572,389,1605,753,821,54,0.000,2320,1,3.332,0.004,-2.720,1.580,1.100,-0.245,-0.146,0.959,0.002,0.004,-0.004,0.000,0.000,1.088,1.182,2,3,0,3,7,255,1440,250,108,1440
