condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,0,0,0,113098.826,0.964,-0.112,-0.060,-0.232,0,299,0,0,0,0,0,0,0,0.000,0,0,0.063,0.008,0.000,0.020,0.060,-0.002,0.050,1.001,-0.008,0.000,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,4,1000
stim,0,0,0,113103.824,0.964,-0.112,-0.060,-0.232,0,300,0,0,0,0,0,0,0,0.000,0,0,0.063,0.008,0.000,0.020,0.060,-0.001,0.050,1.001,-0.008,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,9,1000
stim,9,9,0,113108.825,0.964,-0.112,-0.060,-0.232,0,298,0,0,0,0,0,0,0,0.000,0,0,0.063,0.006,0.000,0.020,0.060,0.000,0.051,1.000,0.000,0.006,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,14,1000
stim,9,9,0,113113.824,0.964,-0.112,-0.060,-0.232,0,310,0,0,0,0,0,0,0,0.000,0,0,0.063,0.006,0.000,0.020,0.060,-0.001,0.050,1.003,0.000,0.006,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,19,1000
stim,25,25,0,113118.825,0.964,-0.112,-0.060,-0.232,0,308,0,0,0,0,0,0,0,0.000,0,0,0.040,0.004,0.000,-0.040,0.000,0.000,0.050,1.001,0.002,0.004,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,24,1000
stim,25,25,0,113123.824,0.964,-0.112,-0.060,-0.232,0,312,0,0,0,0,0,0,0,0.000,0,0,0.040,0.003,0.000,-0.040,0.000,-0.001,0.050,1.002,-0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,29,1000
stim,25,25,0,113128.825,0.964,-0.112,-0.060,-0.232,0,309,0,0,0,0,0,0,0,0.000,0,0,0.020,0.003,0.000,0.020,0.000,-0.001,0.050,1.002,-0.002,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,34,1000
stim,25,25,0,113133.824,0.964,-0.112,-0.060,-0.232,0,303,0,0,0,0,0,0,0,0.000,0,0,0.020,0.003,0.000,0.020,0.000,-0.001,0.050,1.001,-0.002,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,39,1000
stim,75,75,0,113138.825,0.964,-0.112,-0.060,-0.232,0,307,0,0,0,0,0,0,0,0.000,0,0,0.020,0.003,0.000,0.020,0.000,-0.001,0.050,1.001,-0.002,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,44,1000
stim,75,75,0,113143.824,0.964,-0.112,-0.060,-0.232,0,309,0,0,0,0,0,0,0,0.000,0,0,0.063,0.003,-0.060,0.020,0.000,-0.001,0.051,1.000,-0.002,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,49,1000
stim,88,88,0,113148.825,0.964,-0.112,-0.060,-0.232,0,306,0,0,0,0,0,0,0,0.000,0,0,0.063,0.002,0.000,0.020,0.060,-0.001,0.050,1.001,-0.002,0.000,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,54,1000
stim,88,88,0,113153.824,0.964,-0.112,-0.060,-0.232,0,307,0,0,0,0,0,0,0,0.000,0,0,0.020,0.003,0.000,0.020,0.000,-0.001,0.050,1.002,-0.002,0.002,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,59,1000
stim,88,88,0,113158.825,0.964,-0.112,-0.060,-0.232,0,303,0,0,0,0,0,0,0,0.000,0,0,0.063,0.004,0.060,0.020,0.000,-0.002,0.051,1.002,-0.004,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,64,1000
stim,88,88,0,113163.824,0.964,-0.112,-0.060,-0.232,0,302,0,0,0,0,0,0,0,0.000,0,0,0.020,0.004,0.000,0.020,0.000,-0.002,0.049,1.002,-0.004,0.002,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,69,1000
stim,88,88,0,113168.825,0.964,-0.112,-0.060,-0.232,0,301,0,0,0,0,0,0,0,0.000,0,0,0.020,0.004,0.000,0.020,0.000,-0.001,0.050,1.001,-0.004,0.002,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,74,1000
stim,88,88,0,113173.824,0.964,-0.112,-0.060,-0.232,0,302,0,0,0,0,0,0,0,0.000,0,0,0.020,0.004,0.000,0.020,0.000,-0.001,0.050,1.002,-0.004,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,79,1000
stim,88,88,0,113178.825,0.964,-0.112,-0.060,-0.232,0,292,0,0,0,0,0,0,0,0.000,0,0,0.020,0.004,0.000,0.020,0.000,-0.002,0.050,1.002,-0.004,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,84,1000
stim,88,88,0,113183.824,0.964,-0.112,-0.060,-0.232,0,295,0,0,0,0,0,0,0,0.000,0,0,0.020,0.008,0.000,0.020,0.000,-0.002,0.051,1.002,-0.008,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,89,1000
stim,88,88,0,113188.825,0.964,-0.112,-0.060,-0.232,0,287,0,0,0,0,0,0,0,0.000,0,0,0.020,0.010,0.000,0.020,0.000,-0.001,0.051,1.000,-0.008,0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,94,1000
stim,88,88,0,113193.824,0.964,-0.112,-0.060,-0.232,0,283,0,0,0,0,0,0,0,0.000,0,0,0.040,0.007,0.000,-0.040,0.000,-0.001,0.049,1.001,-0.004,0.006,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,99,1000
stim,104,104,0,113198.825,0.964,-0.112,-0.060,-0.232,0,283,0,0,0,0,0,0,0,0.000,0,0,0.020,0.004,0.000,0.020,0.000,-0.001,0.050,1.002,0.000,-0.004,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,104,1000
stim,104,104,0,113203.826,0.964,-0.112,-0.060,-0.232,0,276,0,0,0,0,0,0,0,0.000,0,0,0.063,0.006,0.000,0.020,0.060,-0.002,0.050,1.001,0.000,-0.006,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,109,1000
stim,105,105,0,113208.825,0.964,-0.112,-0.060,-0.232,0,275,0,0,0,0,0,0,0,0.000,0,0,0.040,0.009,0.000,-0.040,0.000,-0.002,0.050,1.002,-0.008,-0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,114,1000
stim,105,105,0,113213.824,0.964,-0.112,-0.060,-0.232,0,275,0,0,0,0,0,0,0,0.000,0,0,0.040,0.008,0.000,-0.040,0.000,-0.001,0.050,1.002,-0.008,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,119,1000
stim,120,120,0,113218.825,0.964,-0.112,-0.060,-0.232,0,285,0,0,0,0,0,0,0,0.000,0,0,0.020,0.002,0.000,0.020,0.000,-0.001,0.050,1.001,0.000,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,124,1000
stim,120,120,0,113223.824,0.964,-0.112,-0.060,-0.232,0,283,0,0,0,0,0,0,0,0.000,0,0,0.063,0.002,0.060,0.020,0.000,-0.002,0.050,1.002,0.000,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,129,1000
stim,137,137,0,113228.825,0.964,-0.112,-0.060,-0.232,0,270,0,0,0,0,0,0,0,0.000,0,0,0.020,0.006,0.000,0.020,0.000,-0.002,0.050,1.001,-0.004,-0.004,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,134,1000
stim,137,137,0,113233.824,0.964,-0.112,-0.060,-0.232,0,284,0,0,0,0,0,0,0,0.000,0,0,0.020,0.006,0.000,0.020,0.000,-0.001,0.050,1.002,-0.004,-0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,3,0,2,7,255,1000,150,139,1000
