condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,1599,1599,0,29570.832,0.402,0.040,-0.195,-0.894,4059,0,277,3307,173,1031,224,488,30,0.000,10,1,4.880,0.244,-3.560,-2.400,-2.320,-0.133,0.115,1.001,-0.244,0.010,0.156,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1599,1599,0,29575.833,0.402,0.040,-0.195,-0.894,4079,0,282,3311,151,1019,229,491,30,0.000,10,1,5.188,0.186,-3.680,-2.400,-2.760,-0.135,0.102,1.007,-0.184,0.028,0.140,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1599,1599,0,29580.832,0.402,0.039,-0.194,-0.894,4083,0,285,3290,175,1023,229,488,30,0.000,10,1,6.538,0.127,-5.080,-2.460,-3.300,-0.135,0.097,1.012,-0.080,0.098,0.140,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1599,1599,0,29585.832,0.402,0.039,-0.194,-0.894,4071,0,281,3293,172,1053,235,487,30,0.000,10,1,7.963,0.108,-6.420,-2.700,-3.860,-0.135,0.097,1.001,-0.046,0.098,0.140,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1617,1617,0,29590.832,0.402,0.039,-0.193,-0.894,4061,0,285,3283,172,1050,234,493,30,0.000,10,1,8.529,0.102,-6.980,-3.020,-3.860,-0.138,0.087,0.985,-0.040,0.094,0.072,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1617,1617,0,29595.832,0.403,0.039,-0.193,-0.894,4071,11,288,3273,173,1060,236,489,30,0.000,10,1,8.121,0.096,-6.480,-3.560,-3.360,-0.149,0.082,0.983,0.042,0.086,-0.088,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1631,1631,0,29600.832,0.403,0.039,-0.192,-0.894,4065,49,298,3271,149,1063,240,491,30,0.000,10,1,8.612,0.151,-6.480,-3.920,-4.100,-0.160,0.084,0.994,0.148,0.032,-0.088,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1631,1631,0,29605.832,0.403,0.039,-0.191,-0.894,4055,53,307,3271,171,1060,251,501,30,0.000,10,1,10.498,0.156,-7.400,-3.560,-6.540,-0.154,0.098,1.003,0.148,-0.048,0.032,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1650,1650,0,29610.832,0.403,0.039,-0.191,-0.894,4047,53,304,3275,177,1047,259,531,30,0.000,10,1,12.108,0.068,-8.320,-4.360,-7.640,-0.136,0.099,0.994,0.048,-0.048,0.032,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1650,1650,0,29615.832,0.404,0.039,-0.190,-0.894,4039,55,307,3255,182,1042,264,521,30,0.000,10,1,11.724,0.028,-8.200,-3.440,-7.640,-0.131,0.086,0.998,-0.028,0.002,0.028,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1663,1663,0,29620.832,0.404,0.039,-0.189,-0.894,4061,59,327,3245,203,1016,269,526,30,0.000,10,1,12.149,0.112,-8.500,-4.120,-7.640,-0.131,0.072,0.988,-0.028,0.108,0.012,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1663,1663,0,29625.833,0.404,0.039,-0.188,-0.894,4047,59,338,3241,208,1002,283,539,30,0.000,10,1,12.245,0.182,-8.560,-3.560,-8.000,-0.128,0.065,0.987,0.074,0.166,-0.084,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1663,1663,0,29630.832,0.405,0.039,-0.188,-0.894,4041,60,349,3247,181,1047,290,539,30,0.000,10,1,12.130,0.225,-8.620,-3.680,-7.700,-0.120,0.065,0.982,0.074,0.212,-0.104,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,1663,1663,0,29635.832,0.405,0.039,-0.187,-0.894,4021,74,351,3229,176,1039,296,540,30,0.000,10,1,11.489,0.244,-8.440,-3.740,-6.840,-0.114,0.068,0.981,0.032,0.242,-0.162,0.000,0.000,1.049,1.134,2,NULL,NULL,0,0,0,7,255,0,250,0,0
