condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
prep,0,0,0,1592627.411,0.962,-0.029,-0.066,0.263,2361,0,111,2397,3708,1093,57,662,49,0.742,1113,0,6.858,0.677,5.700,2.880,2.500,-0.125,-0.028,0.991,0.328,-0.592,-0.098,0.000,0.000,0.696,0.876,0,2,0,2,7,255,816,300,0,0
prep,0,0,0,1592632.411,0.962,-0.029,-0.066,0.263,2359,0,112,2395,3723,1095,56,661,49,0.742,1113,0,6.848,0.657,6.060,2.760,1.600,-0.132,-0.037,0.992,0.244,-0.610,-0.098,0.000,0.000,0.696,0.876,0,2,0,2,7,255,816,300,0,0
prep,15,15,0,1592637.411,0.962,-0.029,-0.066,0.263,2361,0,119,2383,3733,1093,62,647,49,0.742,1113,0,6.578,0.674,5.880,2.760,1.040,-0.121,-0.028,0.993,0.244,-0.628,-0.090,0.000,0.000,0.696,0.876,0,2,0,2,7,255,816,300,0,0
prep,15,15,0,1592642.411,0.962,-0.029,-0.066,0.263,2365,0,123,2397,3739,1097,61,667,49,0.742,1113,0,6.664,0.688,5.460,2.940,2.440,-0.105,-0.010,0.988,0.282,-0.628,-0.090,0.000,0.000,0.696,0.876,0,2,0,2,7,255,816,300,0,0
prep,31,31,0,1592647.411,0.962,-0.029,-0.066,0.263,2371,0,116,2403,3731,1097,61,667,49,0.742,1113,0,6.978,0.671,5.400,2.940,3.300,-0.119,-0.021,0.991,0.326,-0.586,-0.106,0.000,0.000,0.696,0.876,0,2,0,2,7,255,816,300,0,0
prep,31,31,0,1592652.411,0.962,-0.029,-0.066,0.262,2350,0,119,2395,3743,1086,59,665,49,0.742,1113,0,6.484,0.671,5.580,2.700,1.900,-0.133,-0.042,0.996,0.326,-0.586,-0.106,0.000,0.000,0.696,0.876,0,2,0,2,7,255,816,300,0,0
prep,31,31,0,1592657.411,0.962,-0.029,-0.066,0.262,2357,0,115,2394,3723,1097,65,661,49,0.742,1113,0,6.560,0.662,5.760,2.700,1.600,-0.127,-0.032,0.989,0.204,-0.630,-0.106,0.000,0.000,0.696,0.876,0,2,0,2,7,255,816,300,0,0
prep,31,31,0,1592662.411,0.962,-0.029,-0.066,0.262,2371,0,115,2397,3750,1095,59,665,49,0.742,1113,0,6.927,0.662,6.140,2.940,1.280,-0.120,-0.020,0.989,0.204,-0.630,-0.114,0.000,0.000,0.696,0.876,0,2,0,2,7,255,816,300,0,0
prep,63,63,0,1592667.411,0.962,-0.029,-0.066,0.262,2357,0,109,2393,3739,1069,59,664,49,0.742,1113,0,6.162,0.649,4.840,2.880,2.500,-0.100,-0.006,0.993,0.318,-0.566,-0.114,0.000,0.000,0.696,0.876,0,2,0,2,7,255,816,300,0,0
prep,63,63,0,1592672.411,0.962,-0.029,-0.066,0.262,2363,0,117,2403,3739,1088,59,666,49,0.742,1113,0,7.489,0.649,5.640,2.640,4.160,-0.134,-0.035,0.988,0.318,-0.566,-0.114,0.000,0.000,0.696,0.876,0,2,0,2,7,255,816,300,0,0
