condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,6608,6608,0,532848.829,0.887,0.089,-0.040,-0.451,329,0,683,1071,19,743,522,752,1,0.000,3,0,0.066,0.002,0.060,0.020,-0.020,-0.156,-0.117,0.983,-0.002,0.000,-0.006,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,6608,6608,0,532853.830,0.887,0.089,-0.040,-0.451,330,0,681,1075,17,746,511,759,1,0.000,3,0,0.082,0.003,0.060,-0.040,0.040,-0.156,-0.118,0.984,-0.002,-0.002,-0.006,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,6639,6639,0,532858.829,0.887,0.089,-0.040,-0.451,323,0,685,1072,19,750,519,761,1,0.000,3,0,0.066,0.003,0.060,0.020,-0.020,-0.157,-0.116,0.983,-0.002,-0.002,-0.002,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,6639,6639,0,532863.829,0.887,0.089,-0.040,-0.451,330,0,683,1077,21,746,519,761,1,0.000,3,0,0.066,0.003,0.060,0.020,-0.020,-0.157,-0.118,0.984,0.002,-0.002,0.004,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,6639,6639,0,532868.829,0.887,0.089,-0.040,-0.451,328,0,686,1072,17,745,520,759,1,0.000,3,0,0.123,0.010,0.120,0.020,-0.020,-0.157,-0.118,0.984,0.002,-0.010,0.006,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,6639,6639,0,532873.829,0.887,0.089,-0.040,-0.451,327,0,687,1077,20,744,520,760,1,0.000,3,0,0.128,0.010,0.120,0.020,0.040,-0.155,-0.117,0.984,0.002,-0.010,0.008,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,6639,6639,0,532878.829,0.887,0.089,-0.040,-0.451,325,0,687,1069,23,744,519,757,1,0.000,3,0,0.075,0.011,0.060,0.020,0.040,-0.157,-0.118,0.985,0.004,-0.010,0.010,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,6655,6655,0,532883.829,0.887,0.089,-0.040,-0.451,319,0,681,1077,22,744,519,757,1,0.000,3,0,0.075,0.007,0.060,0.020,0.040,-0.156,-0.116,0.984,0.004,0.006,0.008,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,6655,6655,0,532888.830,0.887,0.089,-0.040,-0.451,326,0,681,1077,23,748,512,760,1,0.000,3,0,0.082,0.006,0.060,-0.040,0.040,-0.155,-0.117,0.984,0.002,0.006,0.006,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
baseline,6655,6655,0,532893.829,0.887,0.089,-0.040,-0.451,317,0,685,1070,20,749,522,757,1,0.000,3,0,0.082,0.006,0.060,-0.040,0.040,-0.156,-0.117,0.984,0.002,0.006,0.006,0.000,0.000,0.000,0.000,1,0,0,0,7,255,0,250,0,0
