condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
prep,23,23,0,2063778.442,0.716,-0.106,0.042,0.688,27,521,1432,3247,1251,0,423,974,55,0.887,1272,0,23.412,0.268,-17.240,-12.720,9.440,-0.452,-0.102,0.988,-0.036,0.266,0.732,0.000,0.000,0.916,1.051,3,2,0,2,7,255,1013,300,0,0
prep,23,23,0,2063783.441,0.717,-0.106,0.042,0.688,17,588,1525,3203,1419,0,427,971,55,0.887,1272,0,22.475,0.605,-13.380,-16.140,8.100,-0.458,-0.041,1.019,0.076,0.600,0.910,0.000,0.000,0.916,1.051,3,2,0,2,7,255,1013,300,0,0
prep,31,31,0,2063788.441,0.717,-0.105,0.043,0.688,10,552,1527,3111,1368,0,429,1016,55,0.887,1272,0,26.054,0.930,-16.260,-19.920,4.200,-0.442,0.007,1.056,0.710,0.600,1.154,0.000,0.000,0.916,1.051,3,2,0,2,7,255,1013,300,0,0
prep,31,31,0,2063793.441,0.718,-0.104,0.043,0.687,0,555,1511,3027,1241,0,445,1019,55,0.887,1272,0,29.755,0.903,-20.960,-20.900,3.040,-0.479,-0.072,1.101,0.710,0.558,1.384,0.000,0.000,0.916,1.051,3,2,0,2,7,255,1013,300,0,0
prep,31,31,0,2063798.442,0.718,-0.102,0.043,0.687,0,553,1577,2928,1289,0,469,1069,55,0.887,1272,0,35.710,0.968,-24.920,-25.100,4.920,-0.458,-0.042,1.112,0.870,0.424,2.000,0.000,0.000,0.916,1.051,3,2,0,2,7,255,1013,300,0,0
prep,31,31,0,2063803.442,0.719,-0.101,0.043,0.686,0,563,1600,2798,1229,0,499,1081,55,0.887,1272,0,43.024,0.965,-29.260,-31.400,-3.000,-0.444,0.063,1.107,0.870,0.418,2.000,0.000,0.000,0.916,1.051,3,2,0,2,7,255,1013,300,0,0
prep,47,47,0,2063808.441,0.719,-0.099,0.043,0.686,0,555,1661,2695,1400,0,532,1067,55,0.887,1272,0,47.560,1.665,-35.120,-31.220,-7.340,-0.413,0.028,1.108,1.622,0.378,1.792,0.000,0.000,0.916,1.051,3,2,0,2,7,255,1013,300,0,0
prep,47,47,0,2063813.441,0.720,-0.096,0.043,0.686,0,563,1655,2503,1405,0,536,1101,55,0.887,1272,0,51.861,1.665,-42.380,-29.140,-6.660,-0.446,-0.108,1.091,1.622,0.374,1.792,0.000,0.000,0.916,1.051,3,2,0,2,7,255,1013,300,0,0
prep,81,81,0,2063818.442,0.721,-0.094,0.042,0.686,0,543,1699,2383,1420,0,553,1141,55,0.887,1272,0,52.330,0.319,-41.340,-32.060,1.260,-0.397,-0.126,1.040,0.296,0.120,1.730,0.000,0.000,0.916,1.051,3,2,0,2,7,255,1013,300,0,0
prep,81,81,0,2063823.441,0.721,-0.092,0.043,0.685,0,548,1716,2283,1483,0,567,1165,55,0.887,1272,0,55.016,0.440,-37.320,-40.420,-0.500,-0.420,0.006,1.094,0.296,0.326,1.632,0.000,0.000,0.916,1.051,3,2,0,2,7,255,1013,300,0,0
