condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
prep,15,15,0,6827982.087,0.568,-0.121,0.015,0.814,2888,71,507,3124,623,1157,111,1268,9,0.765,2895,1,2.724,0.047,1.420,-1.420,1.840,-0.186,0.160,0.978,-0.020,0.042,0.032,0.882,0.766,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,31,31,0,6827987.088,0.568,-0.121,0.015,0.814,2807,59,525,3131,651,1142,119,1279,9,0.765,2895,1,2.720,0.047,1.900,-1.920,0.320,-0.179,0.167,0.981,-0.020,0.042,0.054,0.912,0.794,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,31,31,0,6827992.087,0.568,-0.121,0.015,0.814,2773,69,540,3125,687,1128,121,1312,9,0.765,2895,1,3.580,0.047,2.640,-2.400,-0.300,-0.191,0.135,0.986,-0.020,0.042,0.080,0.942,0.824,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,31,31,0,6827997.087,0.568,-0.120,0.015,0.814,2837,77,541,3112,645,1161,137,1369,9,0.765,2895,1,4.007,0.282,3.120,-2.220,1.180,-0.188,0.132,0.987,-0.236,0.154,0.100,0.970,0.850,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,31,31,0,6828002.087,0.568,-0.120,0.016,0.814,2847,77,551,3123,665,1159,143,1375,9,0.765,2895,1,4.362,0.282,3.680,-2.340,-0.100,-0.170,0.175,0.973,-0.236,0.154,0.100,0.990,0.870,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,31,31,0,6828007.087,0.568,-0.120,0.015,0.814,2857,81,565,3109,697,1165,157,1389,9,0.765,2895,1,4.050,0.252,3.240,-2.400,0.380,-0.195,0.136,0.981,-0.200,0.154,0.062,1.000,0.880,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,31,31,0,6828012.087,0.568,-0.120,0.015,0.814,2857,84,583,3109,778,1161,165,1387,9,0.765,2895,1,5.629,0.254,3.860,-1.920,3.620,-0.187,0.126,0.996,-0.200,0.156,0.062,1.002,0.880,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,31,31,0,6828017.087,0.568,-0.120,0.016,0.814,2827,91,605,3103,698,1155,184,1395,9,0.765,2895,1,6.271,0.254,5.380,-2.460,2.080,-0.176,0.157,0.981,-0.200,0.156,0.062,0.996,0.872,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,31,31,0,6828022.087,0.568,-0.120,0.016,0.814,2772,102,621,3111,737,1122,201,1431,9,0.765,2895,1,6.656,0.372,5.020,-2.160,3.800,-0.193,0.121,0.980,-0.338,0.156,0.054,0.982,0.856,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,48,48,0,6828027.087,0.568,-0.120,0.016,0.814,2804,110,663,3113,4095,1130,239,1440,9,0.765,2895,1,7.346,0.079,5.020,-2.040,4.960,-0.181,0.172,0.980,-0.072,-0.032,0.054,0.966,0.840,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,48,48,0,6828032.087,0.568,-0.120,0.016,0.814,2791,127,677,3107,4095,1121,253,1464,9,0.765,2895,1,8.256,0.060,5.800,-2.220,5.440,-0.178,0.156,0.975,-0.060,0.006,0.022,0.956,0.830,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,67,67,0,6828037.087,0.568,-0.120,0.017,0.814,2823,136,685,3103,4095,1129,279,1525,9,0.765,2895,1,8.262,0.088,5.200,-1.740,6.180,-0.164,0.177,0.962,0.080,-0.036,-0.004,0.958,0.828,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,67,67,0,6828042.087,0.568,-0.120,0.017,0.814,2825,149,712,3113,4095,1108,297,1465,9,0.765,2895,1,5.814,0.017,4.160,-2.160,3.440,-0.177,0.164,0.970,0.006,-0.016,-0.040,0.970,0.840,0.864,0.746,3,2,0,3,7,255,971,250,0,0
prep,67,67,0,6828047.087,0.569,-0.120,0.017,0.814,2816,170,745,3099,4095,1102,325,1352,9,0.765,2895,1,7.373,0.017,4.040,-1.860,5.880,-0.181,0.160,0.976,0.006,-0.016,-0.040,0.992,0.862,0.864,0.746,3,2,0,3,7,255,971,250,0,0
