condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,178593,178593,0,453924.811,-0.093,0.194,-0.094,-0.972,3467,333,217,3087,0,1689,745,941,51,1.288,178,0,44.024,0.197,10.600,-3.320,42.600,-0.403,0.043,0.915,-0.110,0.164,-0.538,0.024,0.028,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178593,178593,0,453929.811,-0.094,0.194,-0.095,-0.972,3481,342,259,3083,0,1704,741,955,51,1.288,178,0,26.251,1.149,17.120,-0.020,19.900,-0.406,0.029,0.966,1.148,0.034,-0.172,0.024,0.032,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178618,178618,0,453934.811,-0.094,0.195,-0.095,-0.972,3480,352,280,3049,0,1712,731,966,51,1.288,178,0,15.328,1.149,15.300,-0.560,0.740,-0.331,-0.021,0.994,1.148,0.034,0.312,0.026,0.034,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178618,178618,0,453939.811,-0.093,0.195,-0.096,-0.972,3466,348,279,3024,0,1716,719,979,51,1.288,178,0,14.484,0.451,12.240,0.220,-7.740,-0.279,-0.039,0.981,0.274,0.358,0.312,0.026,0.036,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178620,178620,0,453944.811,-0.093,0.195,-0.096,-0.972,3467,345,301,2980,0,1725,687,981,51,1.288,178,0,16.245,0.360,11.520,1.460,-11.360,-0.291,-0.019,0.978,-0.040,0.358,0.064,0.028,0.038,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178620,178620,0,453949.811,-0.092,0.195,-0.096,-0.972,3455,344,313,2951,0,1740,668,991,51,1.288,178,0,19.442,0.263,11.080,2.360,-15.800,-0.304,0.016,0.975,-0.040,0.260,0.064,0.030,0.040,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178626,178626,0,453954.811,-0.091,0.195,-0.097,-0.972,3480,988,331,2911,0,1747,659,994,51,1.288,178,0,23.012,0.058,11.820,2.540,-19.580,-0.286,0.033,0.969,0.040,-0.042,0.064,0.030,0.040,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178626,178626,0,453959.811,-0.090,0.195,-0.097,-0.972,3452,1041,371,2869,0,1751,619,1011,51,1.288,178,1,22.469,0.235,12.980,2.420,-18.180,-0.282,0.049,0.971,0.040,-0.232,0.000,0.034,0.044,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178629,178629,0,453964.811,-0.090,0.195,-0.098,-0.972,3450,1083,367,2815,1,1759,612,1017,51,1.288,178,1,21.549,0.390,13.520,2.000,-16.660,-0.296,0.078,0.998,0.040,-0.388,0.000,0.038,0.044,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178629,178629,0,453969.811,-0.089,0.195,-0.098,-0.972,3449,1115,380,2740,5,1763,590,1019,51,1.288,178,1,19.191,0.635,10.480,1.760,-15.980,-0.308,0.081,1.028,0.136,-0.620,0.298,0.046,0.044,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178653,178653,0,453974.811,-0.088,0.195,-0.099,-0.972,3465,1132,381,2695,4,1770,583,1018,51,1.288,178,1,17.144,0.642,5.280,0.600,-16.300,-0.316,0.087,1.019,0.152,-0.624,0.546,0.054,0.046,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178653,178653,0,453979.811,-0.087,0.195,-0.099,-0.972,3440,1131,405,2631,8,1775,554,1024,51,1.288,178,1,19.041,0.706,-0.140,-0.140,-19.040,-0.328,0.097,1.029,0.266,-0.654,0.610,0.060,0.046,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178653,178653,0,453984.811,-0.086,0.194,-0.099,-0.972,3447,1117,376,2601,10,1780,539,1031,51,1.288,178,1,23.547,0.768,-6.680,0.040,-22.580,-0.315,0.095,1.042,0.266,-0.720,0.670,0.068,0.048,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178653,178653,0,453989.811,-0.085,0.194,-0.098,-0.972,3443,1132,387,2579,8,1780,542,1029,51,1.288,178,1,27.711,0.746,-14.680,0.360,-23.500,-0.279,0.083,1.051,0.194,-0.720,0.718,0.072,0.048,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178681,178681,0,453994.811,-0.085,0.194,-0.097,-0.973,3431,1139,394,2547,3,1785,553,1039,51,1.288,178,1,28.692,0.723,-22.240,0.540,-18.120,-0.247,0.057,1.029,-0.180,-0.700,0.718,0.078,0.048,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178681,178681,0,453999.811,-0.085,0.193,-0.096,-0.973,3432,1139,440,2542,8,1789,567,1039,51,1.288,178,1,28.957,0.679,-27.980,-0.500,-7.440,-0.242,0.028,1.010,-0.444,-0.514,0.406,0.082,0.048,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178684,178684,0,454004.811,-0.085,0.193,-0.095,-0.973,3429,1129,477,2532,13,1789,589,1051,51,1.288,178,1,32.565,0.519,-32.440,-1.660,2.320,-0.283,0.024,1.000,-0.444,-0.268,0.218,0.086,0.048,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178684,178684,0,454009.811,-0.085,0.193,-0.093,-0.973,3433,1177,477,2516,16,1803,594,1043,51,1.288,178,1,36.640,0.185,-36.220,-2.820,4.760,-0.315,0.022,0.988,-0.064,-0.174,0.198,0.092,0.048,1.305,1.322,1,0,0,0,7,255,0,250,0,0
baseline,178693,178693,0,454014.812,-0.086,0.193,-0.091,-0.973,3421,1183,541,2475,14,1800,595,1059,51,1.288,178,1,38.697,0.184,-38.300,-3.980,3.840,-0.302,-0.009,0.970,0.146,-0.112,0.198,0.098,0.050,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178693,178693,0,454019.811,-0.086,0.192,-0.089,-0.973,3413,1207,565,2445,24,1812,599,1069,51,1.288,178,1,39.157,0.197,-38.540,-5.620,4.040,-0.285,-0.032,0.957,0.146,0.132,-0.010,0.106,0.050,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178701,178701,0,454024.811,-0.087,0.192,-0.088,-0.974,3404,1280,579,2445,22,1808,601,1088,51,1.288,178,1,38.095,0.297,-37.200,-6.600,4.880,-0.290,-0.059,0.935,0.056,0.292,-0.186,0.116,0.050,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178701,178701,0,454029.811,-0.087,0.191,-0.086,-0.974,3390,1306,623,2428,6,1811,620,1107,51,1.288,178,1,34.394,0.531,-33.220,-7.880,4.160,-0.291,-0.067,0.922,0.056,0.528,-0.380,0.124,0.052,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178701,178701,0,454034.811,-0.087,0.191,-0.084,-0.974,3384,1344,664,2441,5,1835,619,1117,51,1.288,178,1,28.850,0.583,-27.560,-7.760,3.540,-0.283,-0.078,0.914,0.056,0.580,-0.490,0.136,0.056,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178718,178718,0,454039.811,-0.088,0.190,-0.083,-0.974,3397,1420,679,2424,8,1848,624,1132,51,1.288,178,1,25.222,0.641,-23.580,-8.560,2.620,-0.278,-0.091,0.932,0.040,0.640,-0.490,0.148,0.060,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178718,178718,0,454044.811,-0.088,0.190,-0.082,-0.974,3387,1495,712,2415,13,1855,619,1144,51,1.288,178,1,23.391,0.673,-21.580,-8.860,1.720,-0.279,-0.090,0.938,-0.066,0.670,-0.416,0.160,0.068,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178718,178718,0,454049.811,-0.088,0.189,-0.080,-0.975,3369,1604,747,2397,19,1868,632,1169,51,1.288,178,1,23.800,0.674,-22.000,-9.040,0.860,-0.277,-0.093,0.951,-0.070,0.670,-0.354,0.172,0.076,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178749,178749,0,454054.811,-0.088,0.188,-0.079,-0.975,3363,1639,763,2407,21,1872,629,1175,51,1.288,178,1,23.807,0.661,-21.320,-10.580,-0.540,-0.274,-0.089,0.929,-0.066,0.658,-0.354,0.186,0.084,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178749,178749,0,454059.811,-0.089,0.188,-0.077,-0.975,3356,1658,780,2410,59,1877,637,1188,51,1.288,178,1,21.800,0.601,-18.040,-12.040,-2.200,-0.271,-0.088,0.925,-0.056,0.598,-0.442,0.198,0.092,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178749,178749,0,454064.811,-0.089,0.187,-0.076,-0.975,3351,1705,796,2365,80,1885,634,1221,51,1.288,178,1,17.469,0.601,-13.580,-10.940,-1.040,-0.255,-0.099,0.916,-0.056,0.598,-0.482,0.212,0.100,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178750,178750,0,454069.812,-0.089,0.186,-0.076,-0.976,3356,1800,823,2416,89,1891,655,1221,51,1.288,178,1,12.841,0.579,-8.260,-9.540,2.380,-0.242,-0.084,0.930,-0.176,0.552,-0.502,0.226,0.108,1.305,1.322,2,0,0,0,7,255,0,250,0,0
baseline,178750,178750,0,454074.811,-0.089,0.186,-0.075,-0.976,3348,1881,851,2411,97,1899,667,1227,51,1.288,178,1,13.807,0.502,-6.620,-9.960,6.900,-0.247,-0.084,0.958,-0.286,0.412,-0.502,0.242,0.118,1.305,1.322,2,0,0,0,7,255,0,250,0,0
