condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
prep,41,41,0,3671342.173,0.466,0.115,-0.000,0.877,3544,523,752,3053,461,717,720,985,33,0.000,2506,1,1.114,0.038,0.240,0.920,-0.580,0.157,0.329,0.936,0.020,-0.032,0.012,0.000,0.000,0.027,0.004,2,2,0,2,7,255,910,300,0,0
prep,41,41,0,3671347.172,0.466,0.115,-0.000,0.877,3537,515,750,3059,469,719,727,985,33,0.000,2506,1,0.883,0.037,0.360,0.800,-0.100,0.155,0.330,0.929,0.014,0.034,0.012,0.000,0.000,0.027,0.004,2,2,0,2,7,255,910,300,0,0
prep,41,41,0,3671352.172,0.466,0.115,-0.000,0.877,3531,517,763,3055,459,731,723,985,33,0.000,2506,1,0.467,0.037,0.120,0.440,0.100,0.159,0.335,0.931,0.014,0.034,-0.004,0.000,0.000,0.027,0.004,2,2,0,2,7,255,910,300,0,0
prep,41,41,0,3671357.172,0.466,0.115,-0.000,0.877,3531,517,756,3051,453,730,721,986,33,0.000,2506,1,1.124,0.037,-0.680,0.800,-0.400,0.158,0.324,0.943,0.014,0.034,-0.004,0.000,0.000,0.027,0.004,2,2,0,2,7,255,910,300,0,0
prep,41,41,0,3671362.172,0.466,0.115,-0.000,0.877,3530,508,760,3051,463,727,717,983,33,0.000,2506,1,1.293,0.082,0.180,1.280,0.040,0.156,0.323,0.934,-0.048,0.066,-0.004,0.000,0.000,0.027,0.004,2,2,0,2,7,255,910,300,0,0
prep,41,41,0,3671367.173,0.466,0.115,-0.000,0.877,3529,517,757,3053,454,727,723,987,33,0.000,2506,1,1.398,0.082,1.280,0.560,0.040,0.164,0.353,0.921,-0.048,0.066,-0.026,0.000,0.000,0.027,0.004,2,2,0,2,7,255,910,300,0,0
prep,41,41,0,3671372.172,0.466,0.115,-0.000,0.877,3539,509,760,3064,453,728,723,987,33,0.000,2506,1,1.070,0.082,-0.440,0.260,-0.940,0.158,0.327,0.942,-0.048,0.066,-0.026,0.000,0.000,0.027,0.004,2,2,0,2,7,255,910,300,0,0
prep,41,41,0,3671377.174,0.466,0.115,-0.000,0.877,3531,507,761,3053,457,724,722,983,33,0.000,2506,1,1.462,0.084,-0.620,1.280,0.340,0.154,0.306,0.938,-0.052,0.066,-0.034,0.000,0.000,0.027,0.004,2,2,0,2,7,255,910,300,0,0
prep,46,46,0,3671382.172,0.466,0.115,-0.000,0.877,3532,507,759,3053,461,724,719,984,33,0.000,2506,1,1.286,0.084,1.040,0.740,0.160,0.163,0.358,0.923,-0.052,0.066,0.000,0.000,0.000,0.027,0.004,2,2,0,2,7,255,910,300,0,0
prep,46,46,0,3671387.173,0.466,0.115,-0.000,0.877,3527,509,758,3059,453,722,716,983,33,0.000,2506,1,1.126,0.072,0.120,0.360,-1.060,0.159,0.326,0.938,-0.052,0.050,0.000,0.000,0.000,0.027,0.004,2,2,0,2,7,255,910,300,0,0
