condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
prep,0,0,0,1861243.412,0.618,0.045,0.010,-0.785,2921,0,0,630,0,85,10,3231,14,0.000,1066,0,138.167,12.248,46.100,-120.460,-49.540,-0.935,0.656,-0.604,-4.014,-11.572,-13.568,0.000,0.000,0.243,0.251,0,2,0,3,7,255,1152,250,0,0
prep,0,0,0,1861248.412,0.618,0.045,0.018,-0.784,2963,0,0,819,0,40,7,3357,14,0.000,1066,0,170.094,12.110,-126.500,-106.840,-38.920,-0.704,-0.658,0.017,-3.570,-11.572,-13.568,0.000,0.000,0.243,0.251,0,2,0,3,7,255,1152,250,0,0
prep,0,0,0,1861253.412,0.617,0.048,0.029,-0.785,3029,0,0,1060,0,172,9,3436,14,0.000,1066,0,265.017,9.039,-245.160,-95.860,-30.680,-0.538,-1.565,0.778,7.566,-4.946,-7.282,0.000,0.000,0.243,0.251,0,2,0,3,7,255,1152,250,0,0
prep,2,2,0,1861258.412,0.611,0.055,0.044,-0.788,3097,0,0,1259,0,97,1,3449,14,0.000,1066,0,412.620,13.694,-399.380,-87.620,55.440,-0.384,-1.669,1.392,13.690,0.334,0.570,0.000,0.000,0.243,0.251,1,2,0,3,7,255,1152,250,0,0
prep,13,13,0,1861263.412,0.601,0.057,0.053,-0.795,3141,0,0,1453,0,82,45,3308,14,0.000,1066,0,357.045,13.694,-251.560,-110.560,227.980,-0.761,-0.101,2.117,13.690,0.334,6.566,0.000,0.000,0.243,0.251,1,2,0,3,7,255,1152,250,0,0
prep,13,13,0,1861268.412,0.587,0.053,0.055,-0.806,3194,0,0,1708,0,284,73,3736,14,0.000,1066,0,420.179,3.444,-86.280,-142.300,385.820,-0.524,2.143,2.464,-1.898,-2.874,11.188,0.000,0.000,0.243,0.251,1,2,0,3,7,255,1152,250,0,0
prep,13,13,0,1861273.412,0.570,0.049,0.051,-0.819,3235,0,2,1960,0,559,131,3795,14,0.000,1066,0,509.643,18.848,37.080,-68.760,503.620,0.265,1.417,2.309,-18.628,-2.874,11.188,0.000,0.000,0.243,0.251,1,2,0,3,7,255,1152,250,0,0
prep,13,13,0,1861278.412,0.557,0.044,0.041,-0.829,3285,0,185,2225,0,588,256,3896,14,0.000,1066,0,452.592,18.682,157.500,18.040,423.920,0.879,-0.658,1.637,-18.628,1.420,9.318,0.000,0.000,0.243,0.251,1,2,0,3,7,255,1152,250,0,0
prep,63,63,0,1861283.412,0.549,0.040,0.029,-0.834,3301,0,236,2440,0,749,300,3903,10,0.000,1067,0,359.469,13.105,223.660,73.080,271.760,1.283,-0.973,0.980,-0.358,13.100,4.408,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,63,63,0,1861288.412,0.547,0.038,0.020,-0.836,3307,0,315,2653,85,922,335,3883,10,0.000,1067,0,202.435,13.295,168.900,48.000,100.740,1.276,-0.308,0.450,-0.358,13.290,-2.688,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,63,63,0,1861293.412,0.550,0.036,0.020,-0.834,3319,0,360,2744,139,915,377,4095,10,0.000,1067,0,90.626,13.385,50.800,-21.580,-71.880,0.826,-0.199,0.216,-1.596,13.290,-8.448,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,63,63,0,1861298.412,0.557,0.037,0.025,-0.830,3347,0,377,2839,170,915,398,4095,10,0.000,1067,0,215.895,8.615,-75.100,-41.840,-198.040,0.189,-0.485,0.375,-1.596,8.466,-8.448,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861303.412,0.564,0.041,0.033,-0.824,3351,0,439,2907,174,1019,419,4095,10,0.000,1067,0,282.722,5.102,-150.540,-19.680,-238.500,-0.325,-0.354,0.708,2.900,4.198,-6.286,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861308.412,0.569,0.045,0.041,-0.820,3357,0,409,2952,251,1015,431,4095,10,0.000,1067,0,265.096,2.921,-159.220,-10.400,-211.700,-0.661,0.349,1.120,2.900,-0.348,-1.976,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861313.413,0.573,0.048,0.046,-0.817,3361,116,477,3006,299,825,442,4095,10,0.000,1067,0,175.082,6.183,-115.140,-7.180,-131.700,-0.870,0.568,1.526,-3.398,-5.166,1.860,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861318.412,0.574,0.048,0.048,-0.816,3355,186,441,3027,355,768,441,4095,10,0.000,1067,0,46.775,6.224,-28.960,-2.300,-36.660,-0.790,0.251,1.615,-3.398,-5.214,5.806,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861323.412,0.573,0.047,0.046,-0.817,3349,182,472,3037,376,805,446,4095,10,0.000,1067,0,65.002,6.205,46.360,-0.580,45.560,-0.585,-0.121,1.282,-3.364,-5.214,5.806,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861328.412,0.570,0.045,0.043,-0.819,3328,188,504,3095,381,944,443,4095,10,0.000,1067,0,104.744,2.678,63.740,-1.680,83.100,-0.307,-0.203,0.827,0.182,-2.672,3.788,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861333.412,0.568,0.044,0.041,-0.821,3315,168,481,3083,421,1054,460,4095,10,0.000,1067,0,85.168,1.255,30.540,-0.820,79.500,-0.063,-0.266,0.591,1.084,-0.632,-1.042,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861338.412,0.566,0.044,0.041,-0.822,3302,157,507,3109,423,1077,442,4095,10,0.000,1067,0,44.929,1.970,-15.780,7.460,41.400,0.070,-0.441,0.678,1.398,1.388,-3.026,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861343.412,0.566,0.045,0.043,-0.822,3257,66,487,3120,420,991,415,4095,10,0.000,1067,0,41.219,3.760,-39.600,6.060,-9.700,0.059,-0.422,0.957,1.672,3.368,-3.026,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861348.412,0.567,0.046,0.044,-0.821,3159,139,467,3143,425,975,414,4051,10,0.000,1067,0,54.326,3.760,-36.060,-2.060,-40.580,-0.129,-0.268,1.113,1.672,3.368,-0.382,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861353.412,0.569,0.047,0.045,-0.820,3150,179,529,3144,425,991,419,4041,10,0.000,1067,0,46.862,1.807,-11.460,4.460,-45.220,-0.335,-0.227,1.173,0.640,1.690,1.338,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
prep,97,97,0,1861358.412,0.570,0.047,0.045,-0.819,3193,185,496,3177,421,1043,399,4095,10,0.000,1067,0,26.663,0.675,13.140,0.980,-23.180,-0.447,-0.261,1.089,0.640,-0.214,1.838,0.000,0.000,0.243,0.251,2,2,0,3,7,255,1152,250,0,0
