condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,5982,5982,0,60973.799,0.994,0.019,0.110,-0.003,48,63,83,43,26,0,62,43,0,0.000,0,0,0.028,0.007,-0.020,-0.020,0.000,0.007,-0.048,1.001,0.006,-0.004,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5982,5982,0,60978.797,0.994,0.019,0.110,-0.003,75,88,57,41,51,31,44,16,0,0.000,0,0,0.066,0.004,-0.020,-0.020,-0.060,0.007,-0.049,1.000,0.002,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5998,5998,0,60983.797,0.994,0.019,0.110,-0.003,81,91,53,43,47,9,48,18,0,0.000,0,0,0.045,0.008,0.040,-0.020,0.000,0.006,-0.049,0.999,0.002,-0.008,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,5998,5998,0,61048.797,0.994,0.019,0.110,-0.003,79,91,55,63,45,19,41,27,0,0.000,0,0,0.108,0.006,0.100,0.040,0.000,0.007,-0.047,1.000,0.006,-0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,6013,6013,0,61058.797,0.994,0.019,0.110,-0.003,72,83,55,73,43,26,39,26,0,0.000,0,0,0.028,0.003,-0.020,-0.020,0.000,0.006,-0.048,1.000,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,6013,6013,0,61063.797,0.994,0.019,0.110,-0.003,51,59,88,41,37,22,73,35,0,0.000,0,0,0.057,0.003,0.040,0.040,0.000,0.007,-0.049,1.000,0.002,0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,6013,6013,0,61068.797,0.994,0.019,0.110,-0.003,48,93,79,40,52,21,69,19,0,0.000,0,0,0.045,0.004,0.040,-0.020,0.000,0.007,-0.048,1.000,0.002,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,6013,6013,0,61073.799,0.994,0.019,0.110,-0.003,73,91,61,43,52,19,71,19,0,0.000,0,0,0.045,0.004,0.040,-0.020,0.000,0.006,-0.048,1.001,0.002,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,6013,6013,0,61078.797,0.994,0.019,0.110,-0.003,91,103,61,61,21,0,41,44,0,0.000,0,0,0.057,0.003,0.040,0.040,0.000,0.007,-0.047,1.001,0.002,0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,6077,6077,0,61083.797,0.994,0.019,0.110,-0.003,74,93,59,61,37,26,49,45,0,0.000,0,0,0.082,0.007,0.040,0.040,-0.060,0.006,-0.047,1.000,-0.004,0.006,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
