condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,3663,3663,0,23663.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.060,0.002,-0.060,0.000,0.000,0.000,0.050,1.001,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3663,3663,0,23668.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.000,0.002,0.000,0.000,0.000,0.000,0.051,1.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3679,3679,0,23673.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.060,0.002,0.000,0.000,-0.060,0.000,0.051,1.001,0.000,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3679,3679,0,23678.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.000,0.002,0.000,0.000,0.000,0.000,0.051,1.001,0.000,0.002,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3679,3679,0,23683.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.060,0.006,-0.060,0.000,0.000,0.000,0.052,1.001,0.006,0.002,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3679,3679,0,23688.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.000,0.006,0.000,0.000,0.000,0.000,0.051,1.001,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3695,3695,0,23693.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.000,0.006,0.000,0.000,0.000,0.000,0.050,1.002,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3695,3695,0,23698.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.000,0.002,0.000,0.000,0.000,-0.001,0.051,1.001,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3727,3727,0,23703.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.085,0.002,0.000,-0.060,-0.060,0.000,0.051,1.002,0.000,-0.002,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3727,3727,0,23708.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.060,0.002,0.000,0.000,0.060,0.000,0.052,1.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3727,3727,0,23713.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.000,0.013,0.000,0.000,0.000,0.000,0.052,1.001,0.006,0.012,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3727,3727,0,23718.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.104,0.012,0.060,-0.060,0.060,0.000,0.051,1.001,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3727,3727,0,23723.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.000,0.002,0.000,0.000,0.000,-0.001,0.051,1.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3727,3727,0,23728.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.085,0.004,0.060,0.000,-0.060,-0.001,0.051,1.001,-0.004,-0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3744,3744,0,23733.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.000,0.004,0.000,0.000,0.000,0.000,0.051,1.000,-0.004,-0.002,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3744,3744,0,23738.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.060,0.002,-0.060,0.000,0.000,0.000,0.051,1.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3744,3744,0,23743.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.060,0.002,0.000,0.000,0.060,-0.001,0.052,1.002,0.000,0.002,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3744,3744,0,23748.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.000,0.010,0.000,0.000,0.000,-0.002,0.052,1.003,-0.008,0.006,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3744,3744,0,23753.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.060,0.010,-0.060,0.000,0.000,-0.001,0.052,1.002,-0.008,0.006,0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3761,3761,0,23758.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.085,0.010,0.060,-0.060,0.000,0.000,0.051,1.001,-0.008,0.006,0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3761,3761,0,23763.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.060,0.002,0.060,0.000,0.000,0.000,0.051,1.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3761,3761,0,23768.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.134,0.003,-0.120,-0.060,0.000,0.000,0.053,1.000,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3775,3775,0,23773.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.216,0.002,-0.180,0.000,-0.120,-0.001,0.050,1.002,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3775,3775,0,23778.825,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.573,0.009,0.560,0.000,0.120,-0.002,0.043,1.002,-0.004,-0.008,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3775,3775,0,23783.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.306,0.009,-0.300,-0.060,0.000,0.001,0.071,0.999,-0.004,-0.008,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3791,3791,0,23788.825,0.992,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,0.566,0.076,-0.480,0.000,-0.300,-0.002,0.021,1.005,-0.018,-0.074,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3791,3791,0,23793.824,0.991,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,1.449,0.193,1.360,0.000,0.500,0.001,0.082,0.997,0.016,0.192,-0.014,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
baseline,3791,3791,0,23798.825,0.992,-0.126,-0.034,-0.001,0,0,0,0,0,0,0,0,0,0.000,0,0,2.049,0.259,-1.940,0.000,-0.660,-0.002,0.025,1.005,-0.018,-0.258,0.018,0.000,0.000,0.000,0.000,0,NULL,NULL,0,0,0,7,255,0,250,0,0
