experiment_id,experiment_type,subject_id,note,random_seed,created_at,order_index,block_index,condition_id,mode,direction_percent,first_half_direction_percent,second_half_direction_percent,pulse_duration_ms,pulse_phase,sine_amplitude_percent,sine_period_steps
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,1,0,B01,baseline,,,,,,,
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,2,1,S02,sine,,,,,P_end,20,240
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,3,1,S01,sine,,,,,P_start,20,240
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,4,1,S11,sine,,,,,P_end,20,240
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,5,1,S06,sine,,,,,P_mid,20,240
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,6,1,S10,sine,,,,,P_start,20,240
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,7,1,S04,sine,,,,,P_start,20,240
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,8,2,S07,sine,,,,,P_start,20,240
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,9,2,S08,sine,,,,,P_end,20,240
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,10,2,S03,sine,,,,,P_mid,20,240
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,11,2,S12,sine,,,,,P_mid,20,240
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,12,2,S05,sine,,,,,P_end,20,240
EX0602-095724,experiment_2,霍智浩,,438837,2026-06-02T09:57:24.381212,13,2,S09,sine,,,,,P_mid,20,240
