condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,38,38,0,38,163069.451,0.624,0.063,-0.095,-0.773,0,0,0,0,8,0,0,39,42,0.000,1,VALID,25,0,152.579,5.688,73.938,128.625,35.625,0.215,0.074,1.445,-2.133,5.273,3.301,0.000,0.000,1.002,1.061,0,NULL,NULL,1108.000,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,163074.453,0.623,0.065,-0.101,-0.773,0,0,0,0,13,0,0,47,42,0.000,1,VALID,25,0,149.864,5.845,70.500,125.750,40.938,0.207,0.043,1.438,-2.105,5.453,3.281,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,48,48,0,48,163079.451,0.621,0.067,-0.106,-0.773,0,0,0,0,17,0,0,49,42,0.000,1,VALID,25,0,146.686,5.959,66.938,123.875,41.125,0.215,0.078,1.387,-2.055,5.594,3.164,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,53,53,0,53,163084.453,0.620,0.069,-0.112,-0.774,0,0,0,0,12,0,0,47,42,0.000,1,VALID,25,0,145.379,5.878,65.188,121.625,45.750,0.191,0.012,1.395,-1.770,5.605,2.695,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,58,58,0,58,163089.453,0.618,0.072,-0.118,-0.774,0,0,0,0,17,0,0,47,42,0.000,1,VALID,25,0,141.687,6.051,61.438,119.875,43.938,0.234,0.094,1.313,-2.055,5.691,2.602,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,63,163094.453,0.617,0.074,-0.123,-0.774,0,0,0,0,17,0,0,55,42,0.000,1,VALID,25,0,142.220,5.937,62.000,116.563,52.875,0.250,-0.008,1.344,-1.316,5.789,1.898,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,68,68,0,68,163099.453,0.615,0.076,-0.129,-0.774,0,0,0,0,14,0,0,56,42,0.000,1,VALID,25,0,139.687,6.493,58.188,114.938,54.000,0.281,0.086,1.215,-2.051,6.160,1.730,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,73,73,0,73,163104.452,0.613,0.078,-0.134,-0.775,0,0,0,0,19,0,0,56,42,0.000,1,VALID,25,0,140.412,6.517,61.500,110.750,60.563,0.281,-0.020,1.234,-1.195,6.406,0.645,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,78,163109.453,0.610,0.080,-0.139,-0.776,0,0,0,0,17,0,0,61,42,0.000,1,VALID,25,0,138.522,6.630,58.375,108.500,63.313,0.309,0.070,1.121,-1.902,6.352,0.559,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,83,83,0,83,163114.453,0.608,0.081,-0.145,-0.776,0,0,0,0,18,0,0,63,42,0.000,1,VALID,25,0,141.375,6.676,66.688,104.438,68.063,0.316,-0.020,1.078,-1.070,6.590,-0.508,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,88,88,0,88,163119.453,0.606,0.082,-0.150,-0.777,0,0,0,0,22,0,0,69,42,0.000,1,VALID,25,0,143.425,6.688,69.375,101.125,74.375,0.320,-0.004,1.063,-1.164,6.586,-1.031,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,93,93,0,93,163124.453,0.603,0.083,-0.156,-0.778,0,0,0,0,24,0,0,72,42,0.000,1,VALID,25,0,147.277,6.692,76.750,97.313,79.563,0.336,-0.004,1.074,-1.164,6.590,-1.254,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,98,98,0,98,163129.452,0.600,0.084,-0.162,-0.779,0,0,0,0,27,0,0,71,42,0.000,1,VALID,25,0,149.076,6.979,78.375,95.000,84.000,0.363,0.047,1.043,-1.180,6.879,-1.266,0.000,0.000,1.002,1.061,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
