condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,5,5,0,5,396209.453,-0.289,-0.011,-0.001,0.957,1587,974,1934,1603,2035,1236,1023,1945,0,0.000,0,WARMING_UP,148,1,0.829,0.031,0.250,0.250,-0.750,-0.074,-0.090,1.000,-0.023,-0.020,0.023,0.000,0.000,0.000,0.000,2,NULL,NULL,1108.000,2,0,2,7,255,1108,200,0,0
pre_stim,10,10,0,10,396214.453,-0.289,-0.011,-0.001,0.957,1595,974,1935,1610,2037,1227,1031,1945,0,0.000,0,WARMING_UP,148,1,1.092,0.059,-0.438,0.000,1.000,-0.070,-0.102,0.992,0.023,0.055,-0.023,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1108,200,0,0
pre_stim,15,15,0,15,396219.453,-0.289,-0.011,-0.001,0.957,1599,982,1939,1611,2036,1237,1030,1943,0,0.000,0,WARMING_UP,148,1,0.619,0.043,0.500,0.313,-0.188,-0.074,-0.086,0.992,-0.004,-0.043,-0.023,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1108,200,0,0
pre_stim,20,20,0,20,396224.453,-0.289,-0.011,-0.001,0.957,1605,977,1934,1613,2035,1240,1023,1941,0,0.000,0,WARMING_UP,148,1,0.258,0.045,0.000,0.063,0.250,-0.070,-0.098,0.996,0.012,0.043,-0.023,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1108,200,0,0
pre_stim,25,25,0,25,396229.453,-0.289,-0.011,-0.001,0.957,1608,965,1935,1622,2041,1243,1032,1967,0,0.000,0,WARMING_UP,148,1,0.519,0.012,0.438,0.250,0.125,-0.070,-0.090,0.992,-0.004,-0.012,-0.031,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1108,200,0,0
pre_stim,30,30,0,30,396234.453,-0.289,-0.011,-0.001,0.957,1619,981,1932,1621,2039,1247,1024,1947,0,0.000,0,WARMING_UP,148,1,0.415,0.033,-0.125,0.125,0.375,-0.078,-0.102,0.992,0.012,0.031,0.000,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1108,200,0,0
pre_stim,35,35,0,35,396239.453,-0.289,-0.011,-0.000,0.957,1625,983,1933,1621,2035,1247,1035,1947,0,0.000,0,WARMING_UP,148,1,1.070,0.045,1.000,0.063,-0.375,-0.066,-0.082,0.992,-0.043,-0.012,-0.031,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1108,200,0,0
pre_stim,39,39,0,39,396244.452,-0.289,-0.011,-0.000,0.957,1631,983,1936,1626,2038,1261,1033,1953,0,0.000,0,WARMING_UP,148,1,0.385,0.016,0.125,0.188,0.313,-0.074,-0.094,1.008,0.000,-0.016,0.000,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1108,200,0,0
pre_stim,44,44,0,44,396249.452,-0.289,-0.011,-0.001,0.957,1639,984,1935,1628,2039,1253,1033,1944,0,0.000,0,WARMING_UP,148,1,0.685,0.016,-0.625,0.250,0.125,-0.074,-0.102,0.977,0.000,-0.016,-0.051,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1108,200,0,0
pre_stim,50,50,0,50,396254.453,-0.289,-0.011,-0.000,0.957,1644,987,1932,1629,2041,1256,1030,1943,0,0.000,0,WARMING_UP,148,1,1.770,0.016,1.688,0.188,-0.500,-0.070,-0.082,1.000,0.000,-0.016,0.039,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1108,200,0,0
