condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,11,11,0,11,897009.453,0.708,0.008,-0.013,-0.706,581,45,13,603,467,379,535,701,0,0.000,0,WARMING_UP,305,0,0.685,0.072,-0.625,-0.125,0.250,-0.086,-0.086,0.992,0.066,-0.027,-0.027,0.000,0.000,0.000,0.000,3,NULL,NULL,1108.000,2,0,2,1,255,1108,200,0,0
pre_stim,16,16,0,16,897014.453,0.708,0.008,-0.013,-0.706,583,43,10,603,463,381,533,699,0,0.000,0,WARMING_UP,305,0,0.904,0.086,0.875,0.188,0.125,-0.082,-0.070,1.000,-0.086,0.008,0.031,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1108,200,0,0
pre_stim,20,20,0,20,897019.452,0.708,0.008,-0.013,-0.706,583,45,12,601,467,381,534,702,0,0.000,0,WARMING_UP,305,0,0.590,0.088,-0.563,-0.125,0.125,-0.082,-0.086,0.988,0.086,-0.020,-0.027,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1108,200,0,0
pre_stim,25,25,0,25,897024.452,0.708,0.008,-0.013,-0.706,585,46,9,615,444,379,525,702,0,0.000,0,WARMING_UP,305,0,1.125,0.065,1.000,0.125,0.500,-0.082,-0.074,1.000,-0.063,0.020,0.043,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1108,200,0,0
pre_stim,31,31,0,31,897029.453,0.708,0.008,-0.013,-0.706,583,45,11,601,462,379,533,701,0,0.000,0,WARMING_UP,305,0,0.758,0.040,-0.688,0.063,-0.313,-0.086,-0.082,0.988,0.035,-0.020,-0.051,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1108,200,0,0
pre_stim,36,36,0,36,897034.453,0.708,0.008,-0.013,-0.706,583,45,11,601,461,381,531,700,0,0.000,0,WARMING_UP,305,0,1.417,0.020,1.063,0.000,0.938,-0.078,-0.078,1.000,0.000,0.020,0.051,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1108,200,0,0
pre_stim,41,41,0,41,897039.453,0.708,0.008,-0.013,-0.706,581,43,10,600,463,381,523,703,0,0.000,0,WARMING_UP,305,0,0.773,0.039,-0.625,0.125,-0.438,-0.086,-0.078,0.988,0.000,-0.039,-0.051,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1108,200,0,0
pre_stim,46,46,0,46,897044.453,0.708,0.008,-0.013,-0.706,584,47,9,604,461,379,532,701,0,0.000,0,WARMING_UP,305,0,1.033,0.035,0.813,-0.125,0.625,-0.078,-0.078,1.000,0.000,0.035,0.027,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1108,200,0,0
pre_stim,51,51,0,51,897049.454,0.708,0.008,-0.013,-0.706,583,43,13,603,462,380,533,701,0,0.000,0,WARMING_UP,305,0,0.385,0.012,-0.313,0.125,0.188,-0.082,-0.078,0.996,0.012,0.000,0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1108,200,0,0
pre_stim,56,56,0,56,897054.453,0.708,0.008,-0.013,-0.706,582,47,13,601,461,379,531,699,0,0.000,0,WARMING_UP,305,0,0.337,0.012,0.313,0.000,-0.125,-0.086,-0.074,0.992,0.012,0.000,0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1108,200,0,0
