condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,10,10,0,10,1072764.453,0.678,-0.006,-0.031,-0.735,1093,0,0,901,192,493,25,811,0,0.000,0,WARMING_UP,305,0,1.222,0.434,0.438,-0.188,-1.125,-0.125,-0.051,0.953,0.219,-0.375,-0.379,0.000,0.000,0.000,0.000,3,NULL,NULL,1108.000,2,0,2,4,255,1108,200,0,0
pre_stim,14,14,0,14,1072769.452,0.678,-0.006,-0.031,-0.735,1083,0,0,902,203,489,25,815,0,0.000,0,WARMING_UP,305,0,1.004,0.449,0.063,0.063,1.000,-0.043,0.000,1.039,-0.215,0.395,0.367,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1108,200,0,0
pre_stim,20,20,0,20,1072774.453,0.678,-0.006,-0.031,-0.735,1085,0,0,903,203,493,25,820,0,0.000,0,WARMING_UP,305,0,0.552,0.470,-0.438,0.125,-0.313,-0.129,-0.066,0.949,0.262,-0.391,-0.379,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1108,200,0,0
pre_stim,25,25,0,25,1072779.453,0.678,-0.006,-0.031,-0.735,1083,0,0,901,203,492,23,815,0,0.000,0,WARMING_UP,305,0,1.329,0.527,1.250,-0.250,-0.375,-0.039,0.012,1.043,-0.320,0.418,0.387,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1108,200,0,0
pre_stim,29,29,0,29,1072784.452,0.678,-0.006,-0.031,-0.735,1085,0,0,901,203,492,26,819,0,0.000,0,WARMING_UP,305,0,2.409,0.602,-1.688,0.563,1.625,-0.129,-0.070,0.957,0.414,-0.438,-0.355,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1108,200,0,0
pre_stim,35,35,0,35,1072789.453,0.678,-0.006,-0.031,-0.735,1083,0,0,902,206,494,23,821,0,0.000,0,WARMING_UP,305,0,3.275,0.470,2.313,-0.563,-2.250,-0.051,0.000,1.027,-0.332,0.332,0.246,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1108,200,0,0
pre_stim,40,40,0,40,1072794.453,0.678,-0.006,-0.031,-0.735,1083,0,0,902,203,491,23,821,0,0.000,0,WARMING_UP,305,0,3.512,0.164,-1.938,0.563,2.875,-0.102,-0.035,0.988,0.070,-0.148,-0.082,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1108,200,0,0
pre_stim,44,44,0,44,1072799.452,0.678,-0.006,-0.031,-0.735,1085,0,0,904,203,492,24,816,0,0.000,0,WARMING_UP,305,0,2.563,0.127,1.500,-0.250,-2.063,-0.098,-0.051,0.984,0.070,-0.105,-0.082,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1108,200,0,0
pre_stim,50,50,0,50,1072804.453,0.678,-0.006,-0.031,-0.735,1085,0,0,903,203,493,26,820,0,0.000,0,WARMING_UP,305,0,0.753,0.127,-0.063,0.000,0.750,-0.051,0.012,1.023,0.070,-0.105,-0.082,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1108,200,0,0
pre_stim,55,55,0,55,1072809.453,0.678,-0.006,-0.031,-0.735,1085,0,0,903,205,493,24,816,0,0.000,0,WARMING_UP,305,0,1.466,0.253,-0.625,0.188,1.313,-0.121,-0.066,0.969,0.230,-0.105,-0.117,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1108,200,0,0
pre_stim,59,59,0,59,1072814.452,0.678,-0.006,-0.031,-0.735,1091,0,0,903,201,493,23,819,0,0.000,0,WARMING_UP,305,0,2.467,0.205,1.125,-0.188,-2.188,-0.066,-0.023,1.004,-0.082,0.188,0.059,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1108,200,0,0
pre_stim,65,65,0,65,1072819.453,0.678,-0.006,-0.031,-0.735,1085,0,0,903,203,491,23,815,0,0.000,0,WARMING_UP,305,0,2.017,0.131,-0.250,0.063,2.000,-0.074,-0.004,1.008,-0.082,0.102,0.059,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1108,200,0,0
