condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,5,5,0,5,3482259.453,0.978,-0.017,-0.020,0.205,791,0,0,969,0,0,60,0,0,0.000,0,WARMING_UP,1745,1,21.917,0.373,5.688,14.000,-15.875,-0.117,0.012,1.008,0.125,0.352,0.113,0.000,0.000,0.000,0.000,2,NULL,NULL,1076.000,2,0,2,2,255,1076,200,0,0
pre_stim,9,9,0,9,3482264.452,0.978,-0.017,-0.021,0.205,783,0,0,959,0,0,51,0,0,0.000,0,WARMING_UP,1745,1,22.886,0.373,2.375,15.875,-16.313,-0.156,-0.055,1.020,0.125,0.352,0.289,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1076,200,0,0
pre_stim,15,15,0,15,3482269.453,0.978,-0.018,-0.021,0.206,753,0,0,936,0,0,42,0,0,0.000,0,WARMING_UP,1745,1,26.121,0.696,6.875,15.250,-20.063,-0.148,0.039,1.008,-0.031,0.695,0.133,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1076,200,0,0
pre_stim,20,20,0,20,3482274.453,0.978,-0.018,-0.022,0.207,723,0,0,905,0,0,39,0,0,0.000,0,WARMING_UP,1745,1,28.373,0.890,3.438,16.688,-22.688,-0.211,-0.020,1.004,-0.461,0.762,0.172,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1076,200,0,0
pre_stim,25,25,0,25,3482279.453,0.978,-0.019,-0.023,0.209,701,0,0,855,0,0,40,0,0,0.000,0,WARMING_UP,1745,1,33.701,1.078,7.125,16.188,-28.688,-0.184,0.070,1.047,-0.125,1.070,0.172,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1076,200,0,0
pre_stim,29,29,0,29,3482284.452,0.977,-0.019,-0.024,0.210,655,0,0,814,0,0,36,0,0,0.000,0,WARMING_UP,1745,1,39.280,1.414,0.813,17.813,-35.000,-0.234,0.016,0.984,-0.809,1.160,0.172,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1076,200,0,0
pre_stim,35,35,0,35,3482289.453,0.977,-0.019,-0.024,0.212,622,0,0,767,0,0,35,0,0,0.000,0,WARMING_UP,1745,1,42.809,1.348,6.188,17.250,-38.688,-0.203,0.039,0.977,-0.496,1.254,0.000,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1076,200,0,0
pre_stim,39,39,0,39,3482294.452,0.976,-0.020,-0.025,0.214,570,0,0,717,0,0,31,0,0,0.000,0,WARMING_UP,1745,1,45.730,1.455,5.875,17.563,-41.813,-0.250,0.004,0.969,-0.879,1.160,-0.121,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1076,200,0,0
pre_stim,45,45,0,45,3482299.453,0.976,-0.020,-0.026,0.216,495,0,0,661,0,0,22,0,0,0.000,0,WARMING_UP,1745,1,49.429,1.378,9.750,16.500,-45.563,-0.246,0.102,0.984,-0.570,1.254,-0.121,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1076,200,0,0
pre_stim,49,49,0,49,3482304.452,0.975,-0.021,-0.026,0.218,471,0,0,603,0,0,21,0,0,0.000,0,WARMING_UP,1745,1,54.938,1.956,6.813,16.563,-51.938,-0.305,0.043,0.988,-1.047,1.652,-0.047,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1076,200,0,0
