condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,40,40,0,40,49057.481,0.945,-0.008,0.012,0.327,3309,1647,1743,2795,2441,2567,1415,2715,0,0.000,0,WARMING_UP,7,1,1.396,0.060,-1.313,0.438,-0.188,0.008,0.000,1.000,-0.051,-0.031,-0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,1131.000,0,0,0,7,255,0,250,0,0
baseline,45,45,0,45,49062.481,0.945,-0.008,0.012,0.327,3310,1647,1749,2809,2452,2555,1416,2701,0,0.000,0,WARMING_UP,7,1,1.554,0.030,-1.438,0.500,-0.313,0.008,0.004,0.996,0.012,0.027,-0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,50,50,0,50,49067.481,0.945,-0.008,0.012,0.327,3301,1647,1739,2799,2445,2552,1407,2695,0,0.000,0,WARMING_UP,7,1,1.603,0.030,-1.500,0.563,-0.063,0.008,-0.012,1.000,0.012,0.027,-0.016,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,55,55,0,55,49072.481,0.945,-0.008,0.012,0.327,3307,1655,1743,2807,2429,2554,1408,2692,0,0.000,0,WARMING_UP,7,1,1.176,0.056,-1.063,0.438,0.250,0.004,-0.008,1.012,-0.055,-0.012,-0.016,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,60,49077.481,0.945,-0.008,0.012,0.327,3299,1651,1741,2807,2451,2552,1415,2701,0,0.000,0,WARMING_UP,7,1,1.209,0.056,-1.188,0.188,0.125,0.004,0.016,1.004,-0.055,-0.012,0.039,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,65,65,0,65,49082.481,0.945,-0.008,0.012,0.327,3299,1655,1747,2763,2432,2553,1407,2684,0,0.000,0,WARMING_UP,7,1,2.017,0.022,-2.000,0.250,0.063,0.008,0.000,0.988,0.016,0.016,0.039,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,70,70,0,70,49087.481,0.945,-0.008,0.012,0.327,3302,1655,1749,2806,2443,2551,1407,2687,0,0.000,0,WARMING_UP,7,1,1.795,0.022,-1.750,0.313,0.250,0.004,-0.020,1.008,0.016,0.016,0.039,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,75,75,0,75,49092.481,0.945,-0.008,0.012,0.327,3309,1647,1748,2805,2443,2553,1406,2697,0,0.000,0,WARMING_UP,7,1,1.128,0.022,-1.125,0.063,-0.063,0.008,0.008,1.012,0.016,0.016,0.074,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,80,80,0,80,49097.481,0.945,-0.008,0.012,0.327,3303,1652,1755,2800,2443,2551,1408,2687,0,0.000,0,WARMING_UP,7,1,2.010,0.024,-2.000,0.188,0.063,0.004,-0.008,0.980,-0.023,-0.004,0.074,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,85,85,0,85,49102.481,0.945,-0.008,0.012,0.327,3308,1653,1749,2807,2438,2551,1417,2681,0,0.000,0,WARMING_UP,7,1,1.823,0.024,-1.813,0.188,0.063,0.008,-0.012,1.012,-0.023,-0.004,0.094,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,90,90,0,90,49107.481,0.945,-0.008,0.012,0.327,3303,1648,1745,2807,2437,2543,1408,2694,0,0.000,0,WARMING_UP,7,1,1.204,0.024,-1.188,-0.063,-0.188,0.008,0.008,1.004,-0.023,-0.004,0.023,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,95,95,0,95,49112.481,0.945,-0.008,0.012,0.327,3302,1655,1745,2805,2443,2551,1417,2685,0,0.000,0,WARMING_UP,7,1,2.067,0.056,-2.063,0.063,0.125,0.004,-0.012,0.992,-0.043,-0.035,0.023,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,100,100,0,100,49117.481,0.945,-0.008,0.012,0.327,3308,1653,1747,2809,2441,2544,1417,2701,0,0.000,0,WARMING_UP,7,1,1.526,0.103,-1.500,-0.250,-0.125,0.008,0.008,1.016,0.063,0.082,0.023,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,105,105,0,105,49122.481,0.945,-0.008,0.012,0.327,3295,1645,1747,2809,2447,2551,1413,2685,0,0.000,0,WARMING_UP,7,1,1.822,0.079,-1.813,-0.188,0.000,0.004,-0.012,0.992,-0.070,-0.035,-0.098,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,110,110,0,110,49127.481,0.945,-0.008,0.012,0.327,3308,1654,1751,2805,2440,2548,1413,2687,0,0.000,0,WARMING_UP,7,1,1.701,0.060,-1.625,-0.438,-0.250,0.008,0.000,1.008,0.031,0.051,0.070,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,115,115,0,115,49132.481,0.945,-0.007,0.012,0.327,3299,1657,1755,2799,2429,2540,1416,2685,0,0.000,0,WARMING_UP,7,1,1.734,0.066,-1.688,-0.313,-0.250,0.004,-0.012,0.992,-0.059,-0.031,-0.086,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
