condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,0,0,0,0,286957.481,0.214,-0.019,-0.007,0.977,3420,1560,1431,2983,1772,2421,1471,2121,0,0.000,0,NO_ZUPT,117,0,0.742,0.138,-0.125,-0.250,-0.688,-0.039,-0.055,1.016,-0.137,0.020,-0.090,0.000,0.000,0.000,0.000,4,NULL,NULL,1131.000,2,0,2,2,255,1131,200,0,0
pre_stim,5,5,0,5,286962.481,0.214,-0.019,-0.007,0.977,3410,1562,1421,2979,1779,2415,1461,2112,0,0.000,0,NO_ZUPT,117,0,2.266,0.134,-0.938,0.000,-2.063,-0.051,-0.012,0.988,0.133,0.020,-0.090,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,10,10,0,10,286967.481,0.214,-0.019,-0.007,0.977,3413,1562,1433,2980,1772,2419,1462,2116,0,0.000,0,NO_ZUPT,117,0,1.454,0.130,-1.313,0.000,-0.625,-0.059,-0.074,1.004,-0.086,0.098,0.059,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,15,15,0,15,286972.481,0.214,-0.019,-0.007,0.977,3415,1563,1433,2985,1773,2411,1460,2119,0,0.000,0,NO_ZUPT,117,0,2.708,0.132,0.875,-0.563,-2.500,-0.047,-0.023,1.004,0.027,-0.129,0.051,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,20,20,0,20,286977.481,0.214,-0.019,-0.007,0.977,3407,1559,1419,2971,1767,2411,1454,2095,0,0.000,0,NO_ZUPT,117,0,1.431,0.132,-1.125,-0.125,-0.875,-0.063,-0.047,0.996,0.027,0.129,0.051,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,25,25,0,25,286982.481,0.214,-0.019,-0.007,0.977,3415,1557,1413,2979,1770,2419,1451,2100,0,0.000,0,NO_ZUPT,117,0,2.714,0.120,0.875,-0.813,-2.438,-0.039,-0.031,1.020,0.027,-0.117,0.051,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,30,30,0,30,286987.481,0.214,-0.019,-0.007,0.977,3403,1547,1395,2971,1753,2407,1445,2093,0,0.000,0,NO_ZUPT,117,0,1.396,0.109,-0.938,-0.438,-0.938,-0.066,-0.035,0.988,0.094,0.055,-0.008,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,35,35,0,35,286992.481,0.214,-0.019,-0.007,0.977,3403,1548,1383,2965,1748,2404,1437,2093,0,0.000,0,NO_ZUPT,117,0,2.659,0.114,0.938,-1.063,-2.250,-0.039,-0.031,1.023,-0.059,-0.098,0.207,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,40,40,0,40,286997.481,0.214,-0.018,-0.007,0.977,3407,1525,1362,2967,1739,2405,1442,2077,0,0.000,0,NO_ZUPT,117,0,1.501,0.129,-0.750,-0.750,-1.063,-0.063,-0.039,0.988,0.117,0.055,-0.082,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,45,45,0,45,287002.481,0.213,-0.018,-0.007,0.977,3407,1512,1337,2961,1723,2389,1432,2085,0,0.000,0,NO_ZUPT,117,0,2.780,0.100,0.938,-1.438,-2.188,-0.043,-0.027,1.020,-0.020,-0.098,0.180,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,50,50,0,50,287007.481,0.213,-0.018,-0.007,0.977,3387,1497,1321,2969,1711,2380,1420,2057,0,0.000,0,NO_ZUPT,117,0,1.474,0.089,-0.375,-1.125,-0.875,-0.059,-0.039,1.000,0.066,0.059,0.020,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,55,55,0,55,287012.481,0.213,-0.018,-0.007,0.977,3391,1487,1307,2961,1705,2377,1419,2045,0,0.000,0,NO_ZUPT,117,0,2.721,0.125,0.875,-1.625,-2.000,-0.047,-0.027,1.008,0.031,-0.121,0.086,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,60,60,0,60,287017.481,0.213,-0.018,-0.007,0.977,3384,1469,1292,2949,1687,2365,1407,2031,0,0.000,0,NO_ZUPT,117,0,1.842,0.053,-0.125,-1.500,-1.063,-0.055,-0.039,1.008,0.039,0.035,0.086,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,65,65,0,65,287022.481,0.213,-0.018,-0.007,0.977,3384,1475,1291,2931,1672,2365,1399,2021,0,0.000,0,NO_ZUPT,117,0,2.612,0.070,0.688,-1.750,-1.813,-0.051,-0.031,1.000,0.031,-0.063,0.086,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,70,70,0,70,287027.481,0.213,-0.018,-0.007,0.977,3385,1453,1279,2931,1655,2341,1388,2009,0,0.000,0,NO_ZUPT,117,0,2.134,0.070,0.375,-1.813,-1.063,-0.047,-0.031,1.016,0.031,-0.063,0.086,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,75,75,0,75,287032.481,0.213,-0.018,-0.007,0.977,3365,1445,1275,2919,1631,2323,1373,1981,0,0.000,0,NO_ZUPT,117,0,2.453,0.070,0.250,-1.875,-1.563,-0.055,-0.031,1.000,0.031,-0.063,0.020,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,80,80,0,80,287037.482,0.213,-0.018,-0.007,0.977,3359,1435,1273,2911,1609,2303,1363,1965,0,0.000,0,NO_ZUPT,117,0,2.538,0.090,0.438,-2.000,-1.500,-0.043,-0.023,1.012,0.027,-0.086,0.102,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,85,85,0,85,287042.481,0.213,-0.018,-0.007,0.977,3358,1421,1271,2910,1594,2285,1357,1961,0,0.000,0,NO_ZUPT,117,0,2.213,0.082,-0.125,-1.938,-1.063,-0.055,-0.031,1.004,0.070,-0.043,0.039,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,90,90,0,90,287047.481,0.213,-0.018,-0.007,0.977,3350,1401,1269,2899,1577,2264,1341,1929,0,0.000,0,NO_ZUPT,117,0,2.785,0.069,0.063,-2.000,-1.938,-0.047,-0.031,1.000,0.020,-0.066,0.039,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,95,95,0,95,287052.481,0.213,-0.018,-0.007,0.977,3354,1399,1256,2904,1565,2253,1353,1910,0,0.000,0,NO_ZUPT,117,0,2.541,0.069,-0.125,-2.000,-1.563,-0.039,-0.035,1.004,0.020,-0.066,0.039,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,100,100,0,100,287057.481,0.213,-0.018,-0.007,0.977,3355,1387,1255,2891,1531,2218,1335,1891,0,0.000,0,NO_ZUPT,117,0,2.456,0.069,-0.375,-2.000,-1.375,-0.051,-0.039,0.992,0.020,-0.066,0.004,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,105,105,0,105,287062.481,0.213,-0.018,-0.007,0.977,3337,1389,1250,2893,1509,2205,1333,1869,0,0.000,0,NO_ZUPT,117,0,2.785,0.061,-0.063,-2.000,-1.938,-0.047,-0.031,1.004,0.016,-0.059,0.027,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,110,110,0,110,287067.481,0.213,-0.017,-0.007,0.977,3332,1385,1235,2875,1497,2183,1319,1843,0,0.000,0,NO_ZUPT,117,0,2.671,0.061,-0.313,-1.938,-1.813,-0.043,-0.027,1.008,0.016,-0.059,0.027,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,115,115,0,115,287072.481,0.213,-0.017,-0.007,0.977,3345,1374,1239,2872,1485,2165,1312,1831,0,0.000,0,NO_ZUPT,117,0,2.547,0.061,-0.750,-1.813,-1.625,-0.051,-0.031,0.996,0.016,-0.059,0.027,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,120,120,0,120,287077.481,0.212,-0.017,-0.007,0.977,3321,1369,1231,2861,1467,2147,1301,1791,0,0.000,0,NO_ZUPT,117,0,3.019,0.043,-0.500,-1.875,-2.313,-0.055,-0.051,1.000,0.004,-0.043,0.008,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,125,125,0,125,287082.481,0.212,-0.017,-0.007,0.977,3309,1361,1223,2853,1447,2109,1278,1771,0,0.000,0,NO_ZUPT,117,0,3.242,0.043,-0.063,-1.813,-2.688,-0.035,-0.035,0.996,-0.004,-0.043,-0.016,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,130,130,0,130,287087.481,0.212,-0.017,-0.007,0.977,3303,1337,1224,2859,1419,2101,1267,1749,0,0.000,0,NO_ZUPT,117,0,2.550,0.024,-0.375,-1.875,-1.688,-0.051,-0.035,1.012,-0.004,-0.023,0.008,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,135,135,0,135,287092.481,0.212,-0.017,-0.007,0.977,3292,1325,1225,2835,1395,2056,1259,1723,0,0.000,0,NO_ZUPT,117,0,3.416,0.063,-0.438,-2.063,-2.688,-0.055,-0.039,1.000,0.059,-0.023,-0.004,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,140,140,0,140,287097.481,0.212,-0.017,-0.007,0.977,3282,1316,1223,2813,1371,2027,1243,1658,0,0.000,0,NO_ZUPT,117,0,3.422,0.065,-0.188,-2.188,-2.625,-0.047,-0.043,1.004,0.059,0.027,0.059,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,145,145,0,145,287102.481,0.212,-0.017,-0.007,0.977,3263,1309,1221,2813,1354,2005,1229,1677,0,0.000,0,NO_ZUPT,117,0,3.641,0.053,0.000,-2.313,-2.813,-0.051,-0.039,1.000,0.039,0.035,0.012,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,150,150,0,150,287107.481,0.212,-0.017,-0.007,0.977,3263,1301,1221,2801,1332,1963,1207,1627,0,0.000,0,NO_ZUPT,117,0,3.591,0.059,0.188,-2.375,-2.688,-0.047,-0.043,1.000,0.000,0.059,0.012,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,155,155,0,155,287112.481,0.212,-0.017,-0.007,0.977,3247,1289,1215,2777,1296,1918,1173,1608,0,0.000,0,NO_ZUPT,117,0,3.890,0.063,0.500,-2.500,-2.938,-0.051,-0.047,1.000,0.000,0.063,0.012,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,160,160,0,160,287117.481,0.212,-0.016,-0.007,0.977,3229,1268,1191,2760,1269,1887,1143,1576,0,0.000,0,NO_ZUPT,117,0,4.090,0.090,0.938,-2.688,-2.938,-0.047,-0.047,1.000,0.000,0.090,0.012,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,165,165,0,165,287122.481,0.211,-0.016,-0.007,0.977,3211,1253,1189,2743,1243,1853,1123,1547,0,0.000,0,NO_ZUPT,117,0,4.383,0.090,1.250,-2.875,-3.063,-0.051,-0.047,1.004,0.000,0.090,0.023,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
pre_stim,170,170,0,170,287127.481,0.211,-0.016,-0.007,0.977,3190,1234,1167,2716,1209,1815,1094,1503,0,0.000,0,NO_ZUPT,117,0,4.752,0.088,1.625,-3.063,-3.250,-0.051,-0.043,1.004,0.020,0.086,0.035,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1131,200,0,0
