condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,0,0,0,0,715652.481,0.064,-0.031,0.023,0.997,3352,1611,1977,2792,2379,2493,1429,2589,0,0.000,0,WARMING_UP,410,1,0.783,0.004,0.688,0.375,0.000,-0.070,0.020,0.996,0.000,0.004,-0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,1131.000,2,0,2,7,255,,200,0,0
pre_stim,5,5,0,5,715657.481,0.064,-0.031,0.023,0.997,3347,1605,1964,2779,2376,2486,1429,2581,0,0.000,0,WARMING_UP,410,1,0.875,0.004,0.750,0.375,-0.250,-0.070,0.020,0.996,0.000,0.004,0.000,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1131,200,0,0
pre_stim,10,10,0,10,715662.481,0.064,-0.031,0.023,0.997,3352,1607,1964,2802,2381,2485,1427,2585,0,0.000,0,WARMING_UP,410,1,0.946,0.012,0.750,0.375,-0.438,-0.066,0.020,0.996,-0.004,0.012,0.000,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1131,200,0,0
pre_stim,15,15,0,15,715667.481,0.064,-0.031,0.023,0.997,3347,1605,1960,2796,2367,2480,1425,2580,0,0.000,0,WARMING_UP,410,1,1.115,0.012,1.063,0.313,-0.125,-0.070,0.020,0.996,0.004,0.012,-0.016,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1131,200,0,0
pre_stim,20,20,0,20,715672.481,0.064,-0.031,0.023,0.997,3345,1608,1958,2787,2367,2480,1421,2579,0,0.000,0,WARMING_UP,410,1,1.036,0.044,0.938,0.438,-0.063,-0.066,0.016,1.000,-0.039,0.020,-0.016,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1131,200,0,0
pre_stim,25,25,0,25,715677.481,0.064,-0.031,0.023,0.997,3351,1597,1961,2791,2358,2489,1405,2577,0,0.000,0,WARMING_UP,410,1,1.092,0.020,1.000,0.438,0.000,-0.070,0.020,0.996,0.004,0.020,-0.016,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1131,200,0,0
pre_stim,30,30,0,30,715682.481,0.064,-0.031,0.023,0.997,3349,1605,1956,2789,2373,2484,1413,2581,0,0.000,0,WARMING_UP,410,1,1.035,0.017,0.938,0.438,0.000,-0.070,0.020,1.000,-0.012,0.012,0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1131,200,0,0
pre_stim,35,35,0,35,715687.481,0.064,-0.031,0.023,0.997,3349,1607,1952,2784,2359,2482,1401,2577,0,0.000,0,WARMING_UP,410,1,1.181,0.012,1.063,0.500,-0.125,-0.070,0.020,0.996,-0.004,0.012,-0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1131,200,0,0
pre_stim,40,40,0,40,715692.481,0.064,-0.031,0.023,0.997,3341,1593,1945,2789,2351,2476,1396,2567,0,0.000,0,WARMING_UP,410,1,1.095,0.012,0.938,0.563,0.063,-0.070,0.020,0.996,-0.004,0.012,-0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1131,200,0,0
pre_stim,45,45,0,45,715697.481,0.064,-0.031,0.023,0.997,3349,1595,1943,2794,2355,2485,1391,2571,0,0.000,0,WARMING_UP,410,1,1.179,0.006,1.000,0.625,0.000,-0.066,0.020,0.996,-0.004,-0.004,-0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1131,200,0,0
pre_stim,50,50,0,50,715702.481,0.064,-0.031,0.023,0.997,3347,1598,1933,2799,2349,2471,1389,2575,0,0.000,0,WARMING_UP,410,1,1.181,0.011,1.000,0.625,0.063,-0.070,0.020,0.996,-0.008,-0.008,-0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1131,200,0,0
pre_stim,55,55,0,55,715707.481,0.064,-0.031,0.023,0.997,3349,1597,1927,2793,2349,2477,1391,2556,0,0.000,0,WARMING_UP,410,1,1.154,0.011,1.000,0.563,0.125,-0.070,0.020,0.996,-0.008,-0.008,-0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1131,200,0,0
