condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,0,0,0,0,1144422.481,0.027,-0.055,0.038,0.997,3228,1637,2137,2663,2657,2675,1907,2899,0,0.000,1,VALID,744,1,4.083,0.075,-2.875,2.875,0.375,-0.117,0.012,0.984,-0.027,0.070,-0.078,0.000,0.000,0.585,0.534,2,NULL,NULL,1131.000,2,0,2,1,255,1131,200,0,0
pre_stim,5,5,0,5,1144427.481,0.027,-0.055,0.038,0.997,3230,1641,2123,2670,2647,2668,1899,2894,0,0.000,1,VALID,744,1,3.760,0.075,-1.875,2.750,-1.750,-0.098,0.063,0.984,-0.027,0.070,-0.078,0.000,0.000,0.585,0.534,2,NULL,NULL,,2,0,2,1,255,1131,200,0,0
pre_stim,10,10,0,10,1144432.481,0.027,-0.055,0.038,0.997,3231,1637,2090,2669,2624,2665,1891,2880,0,0.000,1,VALID,744,1,4.313,0.184,-2.750,3.250,-0.688,-0.133,0.031,0.980,-0.004,0.184,-0.078,0.000,0.000,0.585,0.534,2,NULL,NULL,,2,0,2,1,255,1131,200,0,0
pre_stim,15,15,0,15,1144437.481,0.027,-0.055,0.038,0.997,3245,1639,2076,2691,2627,2668,1881,2885,0,0.000,1,VALID,744,1,3.668,0.152,-1.375,3.250,-1.000,-0.102,0.051,1.004,-0.152,0.004,-0.074,0.000,0.000,0.585,0.534,2,NULL,NULL,,2,0,2,1,255,1131,200,0,0
pre_stim,20,20,0,20,1144442.481,0.027,-0.055,0.038,0.997,3245,1635,2063,2693,2607,2663,1874,2874,0,0.000,1,VALID,744,1,4.871,0.043,-3.000,3.313,-1.938,-0.121,0.070,0.984,0.043,0.004,-0.066,0.000,0.000,0.585,0.534,2,NULL,NULL,,2,0,2,1,255,1131,200,0,0
pre_stim,25,25,0,25,1144447.481,0.027,-0.056,0.038,0.997,3255,1628,2043,2703,2592,2651,1855,2861,0,0.000,1,VALID,744,1,4.625,0.012,-3.063,3.438,-0.438,-0.117,0.039,1.000,-0.012,0.004,0.082,0.000,0.000,0.585,0.534,2,NULL,NULL,,2,0,2,1,255,1131,200,0,0
pre_stim,30,30,0,30,1144452.481,0.027,-0.056,0.037,0.997,3253,1625,2021,2703,2583,2659,1849,2860,0,0.000,1,VALID,744,1,5.070,0.079,-3.250,3.375,-1.938,-0.113,0.059,0.984,-0.012,-0.078,-0.059,0.000,0.000,0.585,0.534,2,NULL,NULL,,2,0,2,1,255,1131,200,0,0
pre_stim,35,35,0,35,1144457.481,0.027,-0.056,0.037,0.997,3260,1619,2008,2712,2567,2655,1837,2852,0,0.000,1,VALID,744,1,5.677,0.118,-4.375,3.563,-0.625,-0.125,0.035,0.992,-0.012,0.117,0.016,0.000,0.000,0.585,0.534,2,NULL,NULL,,2,0,2,1,255,1131,200,0,0
pre_stim,40,40,0,40,1144462.481,0.027,-0.056,0.037,0.997,3259,1608,1994,2713,2547,2659,1835,2839,0,0.000,1,VALID,744,1,5.282,0.079,-3.750,3.375,-1.563,-0.121,0.070,1.004,0.008,-0.078,0.016,0.000,0.000,0.585,0.534,2,NULL,NULL,,2,0,2,1,255,1131,200,0,0
pre_stim,45,45,0,45,1144467.481,0.027,-0.056,0.037,0.997,3275,1603,1975,2717,2535,2657,1818,2837,0,0.000,1,VALID,744,1,6.293,0.111,-5.188,3.438,-0.938,-0.129,0.039,0.992,0.059,0.094,0.023,0.000,0.000,0.585,0.534,2,NULL,NULL,,2,0,2,1,255,1131,200,0,0
pre_stim,50,50,0,50,1144472.481,0.027,-0.056,0.037,0.997,3277,1609,1959,2720,2529,2646,1807,2827,0,0.000,1,VALID,744,1,5.530,0.032,-4.375,3.000,-1.563,-0.121,0.051,1.004,0.008,-0.031,0.121,0.000,0.000,0.585,0.534,2,NULL,NULL,,2,0,2,1,255,1131,200,0,0
