condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,6,6,0,6,1573052.481,0.006,-0.052,0.039,0.998,247,0,0,0,0,0,0,176,0,0.000,0,NO_ZUPT,1053,0,30.465,3.141,25.875,15.750,-3.250,-0.422,0.074,0.848,3.141,0.012,-1.063,0.000,0.000,0.000,0.000,0,NULL,NULL,1131.000,2,0,2,4,255,1131,200,0,0
pre_stim,11,11,0,11,1573057.481,0.005,-0.053,0.040,0.998,239,0,0,0,0,0,0,173,0,0.000,0,NO_ZUPT,1053,0,34.055,3.141,28.750,16.438,-7.938,-0.402,0.043,0.867,3.141,0.016,-1.063,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,4,255,1131,200,0,0
pre_stim,16,16,0,16,1573062.481,0.005,-0.053,0.041,0.998,238,0,0,0,0,0,0,173,0,0.000,0,NO_ZUPT,1053,0,36.110,3.223,29.125,18.063,-11.375,-0.422,0.070,0.859,3.215,-0.227,-0.922,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,4,255,1131,200,0,0
pre_stim,21,21,0,21,1573067.481,0.004,-0.054,0.043,0.998,235,0,0,0,0,0,0,179,0,0.000,0,NO_ZUPT,1053,0,39.218,3.219,31.438,19.125,-13.563,-0.434,0.066,0.879,3.215,-0.160,-0.871,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,4,255,1131,200,0,0
pre_stim,26,26,0,26,1573072.481,0.003,-0.055,0.044,0.998,237,0,0,0,0,0,0,181,0,0.000,0,NO_ZUPT,1053,0,43.323,3.219,33.375,19.688,-19.375,-0.414,0.051,0.875,3.215,-0.160,-0.770,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,4,255,1131,200,0,0
pre_stim,31,31,0,31,1573077.481,0.002,-0.056,0.045,0.997,233,0,0,0,0,0,0,178,0,0.000,0,NO_ZUPT,1053,0,46.258,3.113,35.125,20.938,-21.625,-0.422,0.078,0.902,3.109,-0.160,-0.715,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,4,255,1131,200,0,0
pre_stim,36,36,0,36,1573082.481,0.001,-0.057,0.047,0.997,235,0,0,0,0,0,0,176,0,0.000,0,NO_ZUPT,1053,0,50.689,3.070,37.750,21.938,-25.750,-0.395,0.059,0.922,3.070,-0.008,-0.477,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,4,255,1131,200,0,0
pre_stim,41,41,0,41,1573087.481,-0.001,-0.058,0.049,0.997,235,0,0,0,0,0,0,181,0,0.000,0,NO_ZUPT,1053,0,53.543,2.794,38.313,23.313,-29.250,-0.398,0.078,0.941,2.789,-0.168,-0.324,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,4,255,1131,200,0,0
pre_stim,46,46,0,46,1573092.481,-0.002,-0.060,0.050,0.997,235,0,0,0,0,0,0,175,0,0.000,0,NO_ZUPT,1053,0,57.698,2.785,40.688,25.250,-32.188,-0.375,0.066,0.949,2.785,-0.020,-0.129,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,4,255,1131,200,0,0
pre_stim,51,51,0,51,1573097.481,-0.004,-0.061,0.052,0.997,238,0,0,0,0,0,0,181,0,0.000,0,NO_ZUPT,1053,0,61.870,2.524,42.125,27.438,-36.063,-0.344,0.063,0.969,2.523,-0.020,-0.059,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,2,4,255,1131,200,0,0
