condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,4,4,0,4,197122.451,0.992,0.033,0.027,-0.122,2695,9,2399,2343,2031,723,0,2510,0,0.000,0,WARMING_UP,38,0,6.090,0.484,-5.625,2.313,-0.313,0.195,-0.152,1.039,-0.301,0.379,0.293,0.000,0.000,0.000,0.000,3,NULL,NULL,1138.000,0,0,0,7,255,0,250,0,0
baseline,9,9,0,9,197127.451,0.992,0.034,0.027,-0.122,2693,12,2428,2340,2055,717,0,2518,0,0.000,0,WARMING_UP,38,0,9.551,0.430,-8.875,-1.375,-3.250,0.211,-0.211,1.039,-0.203,0.379,0.625,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,14,14,0,14,197132.451,0.992,0.034,0.027,-0.122,2685,14,2457,2331,2069,715,0,2519,0,0.000,0,WARMING_UP,38,0,20.746,0.387,-17.500,-0.625,11.125,0.270,-0.137,1.000,0.078,0.379,0.625,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,19,19,0,19,197137.451,0.991,0.036,0.027,-0.122,2681,16,2477,2329,2085,714,0,2523,0,0.000,0,WARMING_UP,38,0,24.709,0.128,-22.063,-0.125,11.125,0.160,-0.188,0.957,0.078,-0.102,0.395,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,24,24,0,24,197142.451,0.991,0.036,0.027,-0.122,2677,21,2502,2328,2103,713,0,2531,0,0.000,0,WARMING_UP,38,0,13.884,0.190,-13.063,-3.000,3.625,0.160,-0.199,0.918,-0.160,-0.102,-0.141,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,29,29,0,29,197147.451,0.991,0.037,0.027,-0.123,2671,39,2520,2326,2117,715,0,2537,0,0.000,0,WARMING_UP,38,0,14.337,0.247,-11.563,-0.813,8.438,0.191,-0.203,0.926,-0.160,-0.188,-0.363,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,34,34,0,34,197152.451,0.991,0.037,0.027,-0.123,2666,47,2536,2317,2134,715,0,2541,0,0.000,0,WARMING_UP,38,0,6.199,0.295,-5.438,-1.875,2.313,0.152,-0.262,0.934,-0.137,-0.262,-0.363,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,39,39,0,39,197157.451,0.991,0.037,0.028,-0.123,2657,51,2551,2313,2147,713,0,2550,0,0.000,0,WARMING_UP,38,0,3.314,0.206,-0.438,-3.063,-1.188,0.227,-0.188,0.926,0.086,-0.188,-0.328,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,44,44,0,44,197162.451,0.991,0.037,0.028,-0.123,2643,59,2568,2301,2157,715,0,2557,0,0.000,0,WARMING_UP,38,0,8.967,0.392,3.500,-0.313,8.250,0.250,-0.172,0.934,0.391,0.035,-0.250,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,49,197167.451,0.991,0.037,0.028,-0.124,2628,67,2581,2293,2165,718,0,2571,0,0.000,0,WARMING_UP,38,0,12.390,0.392,4.500,-3.500,11.000,0.234,-0.215,1.008,0.391,0.035,-0.227,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,54,54,0,54,197172.451,0.991,0.037,0.028,-0.124,2617,69,2595,2283,2172,723,0,2579,0,0.000,0,WARMING_UP,38,0,22.243,0.333,-2.125,-2.500,22.000,0.191,-0.188,1.016,0.320,0.090,0.457,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,197177.451,0.991,0.037,0.028,-0.125,2601,71,2604,2271,2188,723,0,2585,0,0.000,0,WARMING_UP,38,0,17.352,0.160,-7.000,-5.875,14.750,0.117,-0.160,1.027,-0.133,0.090,0.457,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,64,197182.451,0.991,0.038,0.028,-0.125,2587,73,2616,2251,2201,723,0,2595,0,0.000,0,WARMING_UP,38,0,14.956,0.915,-13.250,-3.688,5.875,0.117,-0.137,0.988,-0.898,0.176,0.371,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,69,69,0,69,197187.451,0.991,0.039,0.028,-0.125,2569,73,2623,2233,2207,724,0,2603,0,0.000,0,WARMING_UP,38,0,15.376,0.915,-14.188,-4.375,-4.000,0.164,-0.176,0.984,-0.898,0.176,0.098,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,74,74,0,74,197192.451,0.991,0.039,0.029,-0.125,2544,75,2635,2214,2219,724,0,2613,0,0.000,0,WARMING_UP,38,0,16.690,0.364,-15.813,-4.500,-2.875,0.215,-0.238,0.965,-0.352,0.094,0.098,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,197197.451,0.991,0.040,0.029,-0.125,2525,76,2645,2195,2231,723,0,2620,0,0.000,0,WARMING_UP,38,0,16.317,0.464,-14.063,-6.688,4.875,0.234,-0.242,0.934,0.289,-0.363,0.098,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,84,84,0,84,197202.451,0.991,0.040,0.029,-0.125,2501,77,2651,2173,2250,723,0,2631,0,0.000,0,WARMING_UP,38,0,13.896,0.464,-8.188,-7.188,8.625,0.203,-0.215,0.914,0.289,-0.363,-0.109,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,89,89,0,89,197207.451,0.991,0.040,0.030,-0.126,2475,79,2659,2153,2263,717,0,2635,0,0.000,0,WARMING_UP,38,0,9.866,0.333,-2.750,-5.625,7.625,0.168,-0.211,0.914,0.215,-0.254,-0.422,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,94,94,0,94,197212.451,0.991,0.040,0.030,-0.126,2455,83,2665,2131,2249,713,0,2617,0,0.000,0,WARMING_UP,38,0,6.583,0.274,3.125,-5.438,2.000,0.168,-0.211,0.938,-0.113,-0.250,-0.422,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,99,99,0,99,197217.451,0.991,0.040,0.030,-0.126,2427,79,2670,2105,2283,711,0,2647,0,0.000,0,WARMING_UP,38,0,7.141,0.274,5.125,-4.813,-1.250,0.188,-0.203,0.961,-0.113,-0.250,-0.281,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,104,104,0,104,197222.451,0.991,0.040,0.030,-0.126,2407,85,2677,2087,2295,692,0,2652,0,0.000,0,WARMING_UP,38,0,6.421,0.111,4.313,-4.688,-0.813,0.223,-0.188,0.980,-0.059,-0.094,-0.031,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,109,109,0,109,197227.451,0.991,0.040,0.030,-0.126,2381,83,2683,2059,2301,667,0,2653,0,0.000,0,WARMING_UP,38,0,5.669,0.219,2.125,-4.750,2.250,0.230,-0.176,0.992,0.164,0.145,0.188,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,114,114,0,114,197232.451,0.991,0.040,0.030,-0.126,2361,92,2697,2035,2313,654,0,2659,0,0.000,0,WARMING_UP,38,0,7.598,0.360,-2.063,-4.438,5.813,0.223,-0.172,1.000,0.164,0.320,0.309,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,119,119,0,119,197237.451,0.991,0.040,0.031,-0.126,2336,93,2702,2009,2319,620,0,2660,0,0.000,0,WARMING_UP,38,0,10.776,0.332,-6.688,-4.125,7.375,0.203,-0.180,1.000,0.086,0.320,0.344,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,124,124,0,124,197242.451,0.991,0.041,0.031,-0.127,2317,99,2709,1990,2324,575,0,2657,0,0.000,0,WARMING_UP,38,0,12.357,0.226,-10.563,-3.938,5.063,0.191,-0.184,0.984,-0.070,0.215,0.344,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,129,129,0,129,197247.451,0.991,0.041,0.031,-0.127,2293,101,2713,1972,2319,503,0,2645,0,0.000,0,WARMING_UP,38,0,12.880,0.186,-12.563,-2.375,1.563,0.211,-0.184,0.961,-0.070,0.172,0.168,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,134,134,0,134,197252.451,0.991,0.042,0.031,-0.126,2287,105,2725,1965,2300,467,0,2619,0,0.000,0,WARMING_UP,38,0,12.569,0.166,-12.563,0.188,0.375,0.254,-0.195,0.938,0.082,0.145,-0.035,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,139,139,0,139,197257.451,0.991,0.042,0.031,-0.127,2279,109,2735,1961,2281,441,0,2589,0,0.000,0,WARMING_UP,38,0,11.063,0.592,-9.438,3.188,4.813,0.293,-0.207,0.922,0.574,0.145,-0.121,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,144,144,0,144,197262.451,0.990,0.043,0.031,-0.127,2277,111,2743,1963,2258,403,0,2552,0,0.000,0,WARMING_UP,38,0,17.955,0.864,-6.375,4.438,16.188,0.277,-0.219,0.930,0.852,0.145,-0.133,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,149,149,0,149,197267.451,0.990,0.043,0.031,-0.128,2271,110,2747,1956,2231,346,0,2523,0,0.000,0,WARMING_UP,38,0,26.247,0.852,-4.750,5.063,25.313,0.195,-0.234,0.961,0.852,-0.008,-0.133,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
