condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,12,12,0,12,678177.454,0.337,0.108,-0.020,-0.935,3157,477,1395,2697,1581,1465,435,2053,0,0.000,0,WARMING_UP,212,0,8.271,0.223,-6.750,-2.063,-4.313,-0.207,-0.078,0.957,0.000,0.223,-0.063,0.000,0.000,0.000,0.000,3,NULL,NULL,1148.000,2,0,2,4,255,1148,200,0,0
pre_stim,17,17,0,17,678182.455,0.337,0.107,-0.020,-0.935,3145,471,1371,2687,1554,1439,413,2031,0,0.000,0,WARMING_UP,212,0,5.601,0.247,-3.063,-1.688,-4.375,-0.207,-0.055,0.980,-0.129,0.211,-0.063,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1148,200,0,0
pre_stim,22,22,0,22,678187.455,0.337,0.107,-0.019,-0.935,3131,442,1327,2671,1487,1399,365,2008,0,0.000,0,WARMING_UP,212,0,5.677,0.087,-5.188,-1.938,-1.250,-0.223,-0.063,1.000,-0.070,0.051,0.043,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1148,200,0,0
pre_stim,27,27,0,27,678192.455,0.337,0.108,-0.019,-0.935,3123,411,1241,2654,1437,1371,328,1975,0,0.000,0,WARMING_UP,212,0,8.980,0.188,-6.125,-0.938,-6.500,-0.227,-0.039,1.004,-0.188,0.008,0.254,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1148,200,0,0
pre_stim,32,32,0,32,678197.455,0.338,0.108,-0.019,-0.935,3107,399,1174,2641,1371,1326,261,1929,0,0.000,0,WARMING_UP,212,0,8.791,0.156,-7.750,-1.313,-3.938,-0.203,-0.066,0.992,-0.156,0.008,0.254,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1148,200,0,0
pre_stim,37,37,0,37,678202.454,0.338,0.108,-0.018,-0.935,3093,359,1075,2619,1312,1271,219,1881,0,0.000,0,WARMING_UP,212,0,8.181,0.224,-6.625,-0.688,-4.750,-0.203,-0.074,1.008,-0.160,0.156,0.277,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1148,200,0,0
pre_stim,42,42,0,42,678207.455,0.338,0.108,-0.018,-0.935,3063,317,965,2595,1225,1207,185,1824,0,0.000,0,WARMING_UP,212,0,8.183,0.221,-8.063,-1.250,-0.625,-0.234,-0.059,1.016,-0.156,0.156,0.313,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1148,200,0,0
pre_stim,47,47,0,47,678212.454,0.338,0.108,-0.018,-0.935,3036,281,825,2556,1163,1111,109,1772,0,0.000,0,WARMING_UP,212,0,7.481,0.188,-6.750,-1.188,-3.000,-0.258,0.020,1.031,-0.160,-0.098,0.422,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1148,200,0,0
pre_stim,52,52,0,52,678217.455,0.338,0.108,-0.017,-0.935,2999,215,693,2511,1085,1019,59,1711,0,0.000,0,WARMING_UP,212,0,10.947,0.876,-8.875,-2.250,-6.000,-0.277,0.023,1.066,-0.363,-0.797,0.563,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1148,200,0,0
pre_stim,57,57,0,57,678222.454,0.338,0.108,-0.017,-0.935,2954,182,591,2456,1022,920,16,1620,0,0.000,0,WARMING_UP,212,0,16.647,1.023,-13.813,-2.313,-9.000,-0.270,0.043,1.098,-0.391,-0.945,0.938,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1148,200,0,0
