condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,0,0,0,0,1581537.455,0.188,0.109,-0.006,-0.976,2933,1768,2390,2587,2677,2533,2266,2895,42,0.585,1,VALID,705,1,11.979,0.177,8.625,-8.313,0.063,-0.230,-0.074,0.973,-0.117,0.133,0.000,0.056,0.028,0.660,0.808,2,NULL,NULL,1148.000,2,0,2,7,255,,200,0,0
pre_stim,4,4,0,4,1581542.454,0.188,0.109,-0.006,-0.976,2974,1770,2415,2553,2679,2535,2277,2913,42,0.585,1,VALID,705,1,11.826,0.159,7.813,-8.750,-1.500,-0.230,-0.074,0.980,0.082,0.137,0.000,0.058,0.028,0.660,0.808,2,NULL,NULL,,2,0,2,7,255,,200,0,0
pre_stim,9,9,0,9,1581547.454,0.189,0.108,-0.006,-0.976,2975,1771,2441,2531,2697,2531,2293,2909,42,0.585,1,VALID,705,1,12.660,0.156,8.188,-9.375,-2.313,-0.223,-0.063,0.973,0.082,0.133,0.000,0.058,0.030,0.660,0.808,2,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,15,15,0,15,1581552.455,0.189,0.108,-0.007,-0.976,2958,1773,2455,2505,2707,2523,2301,2916,42,0.585,1,VALID,705,1,12.621,0.086,8.500,-9.313,-0.563,-0.211,-0.063,0.969,0.004,0.086,-0.020,0.060,0.030,0.660,0.808,2,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,19,19,0,19,1581557.453,0.189,0.108,-0.007,-0.976,2943,1767,2471,2487,2720,2523,2319,2922,42,0.585,1,VALID,705,1,13.587,0.086,8.875,-10.188,1.438,-0.227,-0.070,0.969,0.004,0.086,-0.059,0.060,0.030,0.660,0.808,2,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,24,24,0,24,1581562.454,0.189,0.107,-0.007,-0.976,2922,1765,2486,2461,2741,2522,2345,2930,42,0.585,1,VALID,705,1,14.724,0.124,9.813,-10.875,1.500,-0.238,-0.055,0.977,0.090,0.086,-0.059,0.062,0.032,0.660,0.808,2,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,29,29,0,29,1581567.453,0.189,0.106,-0.008,-0.976,2893,1763,2494,2439,2759,2517,2362,2931,42,0.585,1,VALID,705,1,14.617,0.153,9.188,-11.313,-1.125,-0.242,-0.063,0.973,0.152,-0.008,0.020,0.062,0.032,0.660,0.808,2,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,35,35,0,35,1581572.455,0.189,0.106,-0.008,-0.976,2861,1769,2467,2403,2759,2514,2383,2943,42,0.585,1,VALID,705,1,15.246,0.153,9.063,-11.750,-3.500,-0.215,-0.063,0.973,0.152,-0.008,0.020,0.064,0.034,0.660,0.808,2,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,39,39,0,39,1581577.454,0.189,0.105,-0.008,-0.976,2847,1758,2523,2363,2772,2505,2405,2951,42,0.585,1,VALID,705,1,15.214,0.102,9.188,-11.750,-3.000,-0.191,-0.070,0.973,0.012,0.102,-0.020,0.064,0.034,0.660,0.808,2,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,44,44,0,44,1581582.454,0.189,0.105,-0.008,-0.976,2851,1753,2533,2317,2779,2494,2411,2951,42,0.585,1,VALID,705,1,14.421,0.286,9.250,-11.063,-0.125,-0.184,-0.074,0.969,-0.152,0.242,-0.102,0.066,0.034,0.660,0.808,2,NULL,NULL,,2,0,2,7,255,1148,200,0,0
