condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,5,5,0,5,171657.401,0.767,0.096,0.046,0.632,0,3,3065,0,3321,474,2505,3189,42,0.786,1,VALID,18,0,144.672,2.752,-26.875,-138.563,31.750,-0.055,-0.063,1.348,0.430,2.719,2.371,0.040,0.062,1.097,1.136,3,NULL,NULL,1148.000,2,0,2,7,255,1148,200,0,0
pre_stim,10,10,0,10,171662.401,0.768,0.101,0.049,0.631,0,0,3054,0,3334,409,2519,3183,42,0.786,1,VALID,18,0,150.287,3.116,-34.188,-144.250,24.688,-0.051,-0.074,1.379,0.125,3.113,3.059,0.044,0.066,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,15,15,0,15,171667.401,0.768,0.106,0.053,0.630,0,0,3047,0,3315,363,2519,3141,42,0.786,1,VALID,18,0,155.421,3.278,-30.500,-150.875,21.500,-0.043,-0.121,1.465,0.043,3.277,3.313,0.050,0.072,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,20,20,0,20,171672.401,0.768,0.111,0.057,0.628,0,0,3033,0,3308,329,2533,3129,42,0.786,1,VALID,18,0,164.912,3.508,-37.563,-159.063,22.000,-0.102,-0.012,1.484,0.043,3.508,4.035,0.056,0.078,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,25,25,0,25,171677.401,0.768,0.117,0.062,0.627,0,0,3021,0,3307,272,2531,3089,42,0.786,1,VALID,18,0,174.244,4.518,-43.938,-168.000,14.375,-0.094,0.063,1.445,0.637,4.473,4.035,0.064,0.086,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,29,29,0,29,171682.400,0.767,0.124,0.066,0.626,0,0,2989,0,3304,204,2535,3047,42,0.786,1,VALID,18,0,183.585,4.665,-46.625,-177.563,1.063,0.023,0.055,1.457,1.324,4.473,3.855,0.072,0.094,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,35,35,0,35,171687.401,0.766,0.130,0.071,0.625,0,0,2969,0,3303,125,2543,3025,42,0.786,1,VALID,18,0,194.896,4.102,-50.188,-188.250,5.250,0.086,0.055,1.375,1.523,3.809,3.543,0.082,0.104,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,40,40,0,40,171692.401,0.766,0.137,0.077,0.623,0,0,2935,0,3295,94,2547,2976,42,0.786,1,VALID,18,0,202.971,4.102,-38.125,-198.875,13.875,0.012,0.016,1.586,1.523,3.809,3.855,0.088,0.110,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,45,45,0,45,171697.401,0.765,0.145,0.082,0.622,0,0,2894,0,3284,54,2543,2939,42,0.786,1,VALID,18,0,217.695,4.939,-52.938,-210.500,16.688,-0.074,0.137,1.660,1.590,4.676,4.945,0.096,0.118,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,50,50,0,50,171702.401,0.765,0.153,0.088,0.620,0,0,2843,0,3275,10,2549,2905,42,0.786,1,VALID,18,0,228.809,6.608,-57.875,-220.938,13.813,-0.129,0.148,1.730,2.234,6.219,5.129,0.106,0.128,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,55,55,0,55,171707.401,0.763,0.161,0.094,0.618,0,0,2797,0,3261,0,2539,2863,42,0.786,1,VALID,18,0,241.776,7.564,-70.313,-231.313,2.500,-0.066,0.109,1.809,2.234,7.227,5.445,0.114,0.138,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,60,60,0,60,171712.401,0.762,0.170,0.099,0.617,0,0,2711,0,3243,0,2539,2809,42,0.786,1,VALID,18,0,252.878,7.542,-76.000,-241.188,-0.188,-0.027,0.039,1.883,2.117,7.238,6.254,0.126,0.148,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,65,65,0,65,171717.401,0.760,0.180,0.105,0.615,0,0,2597,0,3215,0,2535,2774,42,0.786,1,VALID,18,0,272.333,7.695,-91.250,-256.563,3.813,-0.023,0.129,1.770,2.117,7.398,6.254,0.136,0.160,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,70,70,0,70,171722.401,0.759,0.191,0.112,0.613,0,0,2473,0,3173,0,2508,2681,42,0.786,1,VALID,18,0,286.203,7.840,-87.125,-272.563,5.563,-0.016,0.215,1.707,2.469,7.441,5.684,0.150,0.172,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,75,75,0,75,171727.401,0.757,0.201,0.119,0.611,0,0,2357,0,3125,0,2493,2573,42,0.786,1,VALID,18,0,299.930,8.323,-81.500,-288.625,3.375,0.039,0.246,1.871,3.273,7.652,5.684,0.166,0.188,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,79,79,0,79,171732.400,0.754,0.212,0.127,0.608,0,0,2259,0,3089,0,2475,2493,42,0.786,1,VALID,18,0,313.676,9.003,-84.313,-302.063,6.500,0.004,0.188,2.074,3.383,8.344,6.219,0.184,0.206,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,85,85,0,85,171737.401,0.752,0.223,0.135,0.606,0,0,2095,0,3039,0,2455,2411,42,0.786,1,VALID,18,0,327.451,10.660,-93.688,-313.750,-2.750,0.117,0.289,2.273,3.828,9.949,7.656,0.202,0.226,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,90,90,0,90,171742.401,0.748,0.234,0.143,0.604,0,0,1914,0,2975,0,2415,2303,42,0.786,1,VALID,18,0,330.013,10.816,-97.875,-313.000,-36.875,0.465,-0.133,2.777,3.383,10.273,9.406,0.222,0.246,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,95,95,0,95,171747.401,0.744,0.248,0.150,0.602,0,0,1745,0,2875,0,2359,2181,42,0.786,1,VALID,18,0,352.758,11.532,-142.688,-322.375,-12.375,0.453,0.121,2.711,4.473,10.629,14.328,0.242,0.266,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,100,100,0,100,171752.401,0.740,0.262,0.156,0.599,0,0,1531,0,2793,0,2300,2073,42,0.786,1,VALID,18,0,374.526,12.034,-171.563,-332.875,5.500,-0.121,0.539,2.063,4.473,11.172,14.328,0.264,0.288,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,105,105,0,105,171757.401,0.735,0.276,0.163,0.597,0,0,1373,0,2683,0,2183,1954,42,0.786,1,VALID,18,0,390.505,12.034,-173.000,-347.750,-40.438,-0.148,0.195,1.633,4.473,11.172,4.828,0.290,0.314,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,110,110,0,110,171762.401,0.729,0.290,0.172,0.596,0,0,1155,0,2571,0,2017,1865,42,0.786,1,VALID,18,0,396.311,11.454,-147.750,-360.063,-74.750,0.422,-0.379,1.605,3.164,11.008,4.828,0.320,0.344,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,115,115,0,115,171767.403,0.724,0.303,0.181,0.593,0,0,941,0,2414,0,1755,1735,42,0.786,1,VALID,18,0,380.916,6.757,-106.063,-364.563,-30.688,0.652,-0.172,1.797,1.762,6.523,5.625,0.352,0.376,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,120,120,0,120,171772.401,0.720,0.315,0.190,0.588,0,0,763,0,2236,0,1437,1620,42,0.786,1,VALID,18,0,373.045,6.757,-85.688,-362.813,13.688,0.281,-0.074,2.035,1.762,6.523,6.621,0.386,0.410,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,125,125,0,125,171777.401,0.716,0.328,0.198,0.584,0,0,619,0,2013,0,968,1439,42,0.786,1,VALID,18,0,385.120,11.612,-101.188,-371.250,15.875,-0.063,0.129,1.980,2.113,11.418,6.621,0.424,0.448,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
pre_stim,130,130,0,130,171782.401,0.711,0.341,0.207,0.580,0,0,425,0,1693,0,412,1237,42,0.786,1,VALID,18,0,395.700,12.077,-116.938,-377.375,-22.188,-0.027,0.051,1.641,2.223,11.871,3.113,0.464,0.488,1.097,1.136,3,NULL,NULL,,2,0,2,7,255,1148,200,0,0
