condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,6,6,0,6,2012543.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.108,0.012,-0.063,0.063,-0.063,-0.008,-0.027,1.000,-0.012,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,1111.000,5,0,1,1,255,0,250,0,0
baseline,11,11,0,11,2012548.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.012,-0.063,0.063,0.000,-0.008,-0.031,1.000,-0.012,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,16,16,0,16,2012553.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.125,0.012,-0.125,0.000,0.000,-0.008,-0.031,1.000,0.012,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,21,21,0,21,2012558.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.000,0.012,0.000,0.000,0.000,-0.012,-0.027,1.000,0.012,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,26,26,0,26,2012563.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.140,0.012,-0.125,0.063,0.000,-0.008,-0.031,1.000,0.012,-0.004,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,31,31,0,31,2012568.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.012,-0.063,0.000,-0.063,-0.008,-0.027,1.000,-0.012,0.004,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,36,36,0,36,2012573.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.006,0.000,0.063,0.000,-0.008,-0.031,1.000,-0.004,0.004,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,41,41,0,41,2012578.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.125,0.006,-0.125,0.000,0.000,-0.008,-0.031,1.000,-0.004,0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,46,46,0,46,2012583.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.004,-0.063,0.000,0.000,-0.008,-0.027,1.000,-0.004,0.000,-0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,51,51,0,51,2012588.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.006,-0.063,0.000,0.000,-0.008,-0.031,1.000,-0.004,-0.004,-0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,56,56,0,56,2012593.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.125,0.004,-0.125,0.000,0.000,-0.008,-0.031,1.000,-0.004,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,61,61,0,61,2012598.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.140,0.006,-0.125,0.000,-0.063,-0.008,-0.031,1.000,-0.004,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,66,66,0,66,2012603.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.006,-0.063,0.000,-0.063,-0.008,-0.031,1.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,71,71,0,71,2012608.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.140,0.004,-0.125,0.000,0.063,-0.008,-0.031,1.000,0.004,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,76,76,0,76,2012613.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.125,0.006,-0.125,0.000,0.000,-0.008,-0.031,1.000,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,81,81,0,81,2012618.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.004,-0.063,0.000,-0.063,-0.008,-0.031,1.000,-0.004,0.000,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,86,86,0,86,2012623.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.009,-0.063,0.000,0.000,-0.012,-0.031,1.000,-0.008,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,91,91,0,91,2012628.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.009,-0.063,0.000,0.000,-0.008,-0.031,1.000,-0.008,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,96,96,0,96,2012633.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.006,0.000,0.000,-0.063,-0.008,-0.031,1.000,-0.004,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,101,101,0,101,2012638.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.006,-0.063,0.000,-0.063,-0.008,-0.031,1.000,0.004,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,106,106,0,106,2012643.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.108,0.006,-0.063,0.063,-0.063,-0.008,-0.031,1.000,-0.004,-0.004,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,111,111,0,111,2012648.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.006,-0.063,0.000,-0.063,-0.008,-0.031,1.000,-0.004,-0.004,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,116,116,0,116,2012653.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.006,-0.063,0.063,0.000,-0.008,-0.031,1.000,-0.004,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,121,121,0,121,2012658.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.153,0.006,-0.125,0.063,-0.063,-0.012,-0.031,1.000,-0.004,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,126,126,0,126,2012663.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.000,0.000,0.000,-0.063,-0.008,-0.031,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,131,131,0,131,2012668.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.000,0.000,0.000,0.000,0.000,-0.008,-0.031,1.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,136,136,0,136,2012673.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.000,-0.063,0.063,0.000,-0.012,-0.031,1.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,141,141,0,141,2012678.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.125,0.004,-0.125,0.000,0.000,-0.008,-0.031,1.000,0.000,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,146,146,0,146,2012683.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.004,0.000,0.000,-0.063,-0.008,-0.031,1.000,0.000,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,151,151,0,151,2012688.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.140,0.000,-0.125,0.000,-0.063,-0.008,-0.031,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,156,156,0,156,2012693.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.000,0.000,0.000,0.000,0.000,-0.008,-0.031,1.000,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,161,161,0,161,2012698.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.004,-0.063,0.000,0.000,-0.008,-0.027,1.000,-0.004,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,166,166,0,166,2012703.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.008,-0.063,0.000,0.000,-0.008,-0.027,1.000,-0.008,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,171,171,0,171,2012708.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.125,0.009,-0.125,0.000,0.000,-0.008,-0.031,1.000,-0.008,0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,176,176,0,176,2012713.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.000,0.009,0.000,0.000,0.000,-0.008,-0.031,1.000,0.008,0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,181,181,0,181,2012718.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.009,-0.063,0.063,0.000,-0.008,-0.027,1.000,0.008,0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,186,186,0,186,2012723.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.009,-0.063,0.000,-0.063,-0.008,-0.031,1.000,0.008,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,191,191,0,191,2012728.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.009,-0.063,0.000,-0.063,-0.008,-0.031,1.000,0.008,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,196,196,0,196,2012733.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.009,-0.063,0.000,-0.063,-0.008,-0.031,1.000,0.008,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,201,201,0,201,2012738.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.011,0.000,0.063,-0.063,-0.008,-0.027,1.000,0.008,0.008,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,206,206,0,206,2012743.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.011,-0.063,0.000,0.000,-0.008,-0.031,1.000,0.008,0.008,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,211,211,0,211,2012748.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.108,0.004,-0.063,0.063,-0.063,-0.008,-0.031,1.000,0.000,0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,216,216,0,216,2012753.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.004,0.000,0.000,-0.063,-0.008,-0.031,1.000,0.000,0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,221,221,0,221,2012758.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.004,0.000,0.000,-0.063,-0.008,-0.031,1.000,0.000,0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,226,226,0,226,2012763.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.000,-0.063,0.000,-0.063,-0.008,-0.031,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,231,231,0,231,2012768.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.000,-0.063,0.063,0.000,-0.008,-0.031,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,236,236,0,236,2012773.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.009,-0.063,0.000,0.000,-0.008,-0.031,1.000,0.008,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,241,241,0,241,2012778.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.000,0.009,0.000,0.000,0.000,-0.008,-0.031,1.000,0.008,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,246,246,0,246,2012783.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.009,0.000,0.000,-0.063,-0.008,-0.031,1.000,-0.008,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,251,251,0,251,2012788.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.108,0.008,-0.063,0.063,-0.063,-0.008,-0.031,1.000,-0.008,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,256,256,0,256,2012793.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.009,-0.063,0.000,0.000,-0.008,-0.031,1.000,0.008,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,261,261,0,261,2012798.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.008,-0.063,0.000,0.000,-0.008,-0.027,1.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,266,266,0,266,2012803.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.009,-0.063,0.000,-0.063,-0.008,-0.031,1.000,0.008,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,271,271,0,271,2012808.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.000,-0.063,0.000,-0.063,-0.008,-0.031,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,276,276,0,276,2012813.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.140,0.000,-0.125,0.000,-0.063,-0.008,-0.031,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,281,281,0,281,2012818.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.000,-0.063,0.000,-0.063,-0.008,-0.031,1.000,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,286,286,0,286,2012823.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.000,0.000,0.063,0.000,-0.008,-0.031,1.000,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,291,291,0,291,2012828.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.004,-0.063,0.000,0.000,-0.008,-0.031,1.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,296,296,0,296,2012833.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.088,0.004,-0.063,0.000,-0.063,-0.008,-0.027,1.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,301,301,0,301,2012838.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.004,-0.063,0.000,0.000,-0.008,-0.031,1.000,0.000,0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
baseline,306,306,0,306,2012843.558,-0.792,-0.000,-0.001,0.610,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,1269,0,0.063,0.004,-0.063,0.000,0.000,-0.008,-0.031,1.000,0.000,0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,1,1,255,0,250,0,0
