condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,46,46,0,46,34108.558,0.997,0.052,0.063,-0.006,2627,1252,2316,2387,2461,2209,996,2585,0,0.000,1,VALID,3,1,0.619,0.020,-0.500,-0.188,-0.313,0.121,-0.125,0.988,-0.012,0.016,0.016,0.000,0.000,0.447,0.911,2,NULL,NULL,1107.000,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,34113.558,0.997,0.052,0.063,-0.006,2620,1255,2321,2381,2462,2203,995,2575,0,0.000,1,VALID,3,1,0.519,0.025,-0.500,-0.063,0.125,0.117,-0.129,0.984,0.020,0.016,0.004,0.000,0.000,0.447,0.911,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,56,56,0,56,34118.560,0.997,0.052,0.063,-0.006,2619,1255,2325,2383,2471,2204,995,2580,0,0.000,1,VALID,3,1,0.515,0.025,-0.500,0.000,0.125,0.113,-0.125,0.988,0.020,0.016,-0.023,0.000,0.000,0.447,0.911,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,61,61,0,61,34123.558,0.997,0.052,0.063,-0.006,2615,1255,2329,2379,2471,2203,995,2575,0,0.000,1,VALID,3,1,0.500,0.016,-0.500,0.000,0.000,0.117,-0.121,0.992,0.000,0.016,-0.023,0.000,0.000,0.447,0.911,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,66,66,0,66,34128.558,0.997,0.052,0.063,-0.006,2613,1255,2325,2373,2467,2203,997,2577,0,0.000,1,VALID,3,1,0.763,0.047,-0.500,-0.375,0.438,0.121,-0.121,0.996,0.000,0.047,0.031,0.000,0.000,0.447,0.911,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,34133.558,0.997,0.052,0.063,-0.006,2611,1255,2329,2375,2467,2200,999,2580,0,0.000,1,VALID,3,1,0.956,0.052,-0.438,-0.500,0.688,0.121,-0.121,0.988,0.023,0.047,0.031,0.000,0.000,0.447,0.911,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,76,76,0,76,34138.559,0.997,0.052,0.063,-0.006,2615,1255,2325,2375,2463,2201,997,2578,0,0.000,1,VALID,3,1,0.795,0.039,-0.688,-0.313,0.250,0.113,-0.129,0.980,0.023,0.031,0.012,0.000,0.000,0.447,0.911,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,81,81,0,81,34143.558,0.997,0.052,0.063,-0.006,2615,1253,2329,2374,2470,2204,997,2581,0,0.000,1,VALID,3,1,0.978,0.053,-0.750,0.063,-0.625,0.109,-0.129,0.984,-0.043,-0.031,-0.063,0.000,0.000,0.447,0.911,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,86,86,0,86,34148.560,0.997,0.052,0.063,-0.006,2615,1257,2327,2373,2467,2204,1001,2581,0,0.000,1,VALID,3,1,0.508,0.053,-0.500,-0.063,0.063,0.121,-0.125,0.992,-0.043,-0.031,-0.063,0.000,0.000,0.447,0.911,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,91,91,0,91,34153.558,0.997,0.052,0.063,-0.006,2611,1255,2329,2375,2471,2205,999,2585,0,0.000,1,VALID,3,1,1.115,0.031,-0.125,-0.313,1.063,0.117,-0.133,0.992,0.004,-0.031,0.020,0.000,0.000,0.447,0.911,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
