condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,9,9,0,9,268388.558,-0.978,-0.039,-0.066,0.194,2971,501,0,2695,172,1071,440,1271,0,0.000,0,RECOVERING,131,1,3.361,0.063,2.063,2.563,-0.688,0.102,-0.164,0.984,0.004,0.063,0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,1107.000,2,0,2,1,255,1107,200,0,0
pre_stim,14,14,0,14,268393.558,-0.978,-0.039,-0.066,0.194,2981,495,0,2692,160,1063,441,1269,0,0.000,0,RECOVERING,131,1,4.196,0.068,3.063,0.563,2.813,0.109,-0.094,1.012,-0.027,0.063,0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,19,19,0,19,268398.558,-0.978,-0.039,-0.066,0.194,2976,501,0,2697,165,1051,439,1261,0,0.000,0,RECOVERING,131,1,2.921,0.128,0.875,1.875,-2.063,0.086,-0.121,0.980,-0.121,-0.043,0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,24,24,0,24,268403.558,-0.978,-0.039,-0.066,0.194,2984,493,0,2696,165,1041,431,1251,0,0.000,0,RECOVERING,131,1,2.109,0.122,1.563,1.063,0.938,0.117,-0.133,1.008,-0.121,-0.012,0.168,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,29,29,0,29,268408.558,-0.978,-0.039,-0.066,0.194,2991,500,0,2697,165,1021,441,1241,0,0.000,0,RECOVERING,131,1,2.442,0.047,1.563,1.625,-0.938,0.102,-0.129,0.969,0.020,-0.043,-0.121,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,34,34,0,34,268413.558,-0.978,-0.039,-0.066,0.194,2991,489,0,2693,169,1007,416,1227,0,0.000,0,RECOVERING,131,1,3.027,0.023,2.125,1.063,1.875,0.102,-0.125,1.000,0.020,-0.012,0.117,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,39,39,0,39,268418.558,-0.978,-0.039,-0.066,0.194,2988,487,0,2701,164,1001,408,1213,0,0.000,0,RECOVERING,131,1,3.330,0.035,2.125,1.813,-1.813,0.102,-0.117,0.988,-0.035,-0.004,-0.027,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,44,44,0,44,268423.558,-0.978,-0.038,-0.065,0.194,2995,485,0,2703,165,998,395,1211,0,0.000,0,RECOVERING,131,1,1.804,0.054,0.875,0.875,1.313,0.098,-0.121,0.992,-0.051,0.020,0.039,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,49,49,0,49,268428.558,-0.978,-0.038,-0.065,0.194,2997,487,0,2699,169,985,391,1197,0,0.000,0,RECOVERING,131,1,3.650,0.075,2.188,1.938,-2.188,0.102,-0.117,0.996,-0.051,0.055,0.039,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,54,54,0,54,268433.558,-0.978,-0.038,-0.065,0.194,2997,484,0,2700,165,975,392,1192,0,0.000,0,RECOVERING,131,1,0.984,0.086,-0.375,0.875,0.250,0.098,-0.117,0.992,-0.074,0.043,0.039,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,59,59,0,59,268438.558,-0.978,-0.038,-0.065,0.194,3005,483,0,2701,171,967,390,1179,0,0.000,0,RECOVERING,131,1,3.141,0.075,1.813,1.750,-1.875,0.109,-0.117,0.996,-0.047,0.059,0.043,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,64,64,0,64,268443.558,-0.978,-0.038,-0.065,0.194,3003,483,0,2709,169,959,381,1178,0,0.000,0,RECOVERING,131,1,1.986,0.058,-1.313,1.250,-0.813,0.094,-0.137,0.980,-0.039,0.043,0.031,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,69,69,0,69,268448.558,-0.978,-0.038,-0.065,0.194,3015,475,0,2711,171,954,373,1176,0,0.000,0,RECOVERING,131,1,3.042,0.081,2.375,1.313,-1.375,0.113,-0.105,0.992,0.020,0.078,0.016,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
pre_stim,74,74,0,74,268453.558,-0.978,-0.038,-0.065,0.194,3016,479,0,2713,171,955,367,1175,0,0.000,0,RECOVERING,131,1,2.540,0.161,-1.625,1.500,-1.250,0.098,-0.148,0.992,0.020,-0.160,0.016,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,1,255,1107,200,0,0
