condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,2,2,0,2,691273.558,-0.918,-0.047,-0.009,0.393,2013,1071,2317,2013,2513,1435,1307,2760,0,0.000,1,VALID,412,1,3.106,0.025,2.000,1.375,1.938,-0.031,-0.121,0.988,0.008,-0.023,-0.012,0.000,0.000,0.349,0.139,2,NULL,NULL,1107.000,2,0,2,7,255,1107,200,0,0
pre_stim,7,7,0,7,691278.558,-0.918,-0.047,-0.009,0.393,2027,1059,2301,2023,2509,1445,1299,2751,0,0.000,1,VALID,412,1,2.502,0.026,1.438,1.750,1.063,-0.035,-0.121,0.992,-0.012,-0.023,-0.027,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,12,12,0,12,691283.558,-0.918,-0.047,-0.009,0.393,2056,1061,2299,2041,2495,1455,1289,2758,0,0.000,1,VALID,412,1,3.192,0.033,2.188,1.375,1.875,-0.023,-0.121,0.996,0.023,-0.023,-0.027,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,17,17,0,17,691288.558,-0.918,-0.047,-0.009,0.393,2077,1062,2293,2059,2493,1464,1275,2758,0,0.000,1,VALID,412,1,3.008,0.060,1.813,1.875,1.500,-0.039,-0.125,0.988,-0.012,-0.059,-0.027,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,22,22,0,22,691293.558,-0.918,-0.046,-0.009,0.393,2104,1059,2285,2078,2488,1465,1261,2751,0,0.000,1,VALID,412,1,3.362,0.064,2.313,1.563,1.875,-0.027,-0.113,1.000,-0.012,0.063,0.000,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,27,27,0,27,691298.558,-0.918,-0.046,-0.008,0.394,2130,1067,2277,2163,2485,1483,1237,2745,0,0.000,1,VALID,412,1,2.857,0.020,1.688,1.938,1.250,-0.035,-0.117,0.992,-0.020,-0.004,-0.008,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,32,32,0,32,691303.558,-0.918,-0.046,-0.008,0.394,2151,1064,2271,2213,2473,1485,1225,2746,0,0.000,1,VALID,412,1,3.032,0.073,1.750,1.688,1.813,-0.027,-0.117,1.000,-0.020,0.070,0.035,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,37,37,0,37,691308.558,-0.918,-0.046,-0.008,0.394,2185,1061,2263,2249,2468,1495,1205,2745,0,0.000,1,VALID,412,1,2.787,0.016,1.500,2.125,1.000,-0.031,-0.121,0.988,0.016,-0.004,-0.008,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,42,42,0,42,691313.558,-0.918,-0.046,-0.008,0.394,2203,1054,2259,2265,2457,1497,1184,2735,0,0.000,1,VALID,412,1,3.420,0.016,1.750,1.813,2.313,-0.023,-0.129,0.992,0.016,0.004,-0.027,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,47,47,0,47,691318.558,-0.918,-0.046,-0.008,0.394,2227,1061,2237,2285,2451,1503,1175,2735,0,0.000,1,VALID,412,1,3.704,0.016,2.375,2.375,1.563,-0.035,-0.113,0.992,0.016,0.004,-0.043,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,52,52,0,52,691323.558,-0.918,-0.046,-0.008,0.394,2261,1057,2224,2311,2437,1511,1156,2735,0,0.000,1,VALID,412,1,3.626,0.028,1.813,2.125,2.313,-0.027,-0.117,1.004,0.027,0.008,-0.027,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,57,57,0,57,691328.558,-0.918,-0.046,-0.008,0.394,2282,1045,2211,2327,2424,1516,1127,2725,0,0.000,1,VALID,412,1,3.385,0.056,1.625,2.563,1.500,-0.035,-0.109,0.992,-0.031,0.047,-0.043,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,62,62,0,62,691333.558,-0.918,-0.046,-0.008,0.394,2317,1047,2223,2347,2408,1524,1110,2719,0,0.000,1,VALID,412,1,3.351,0.054,1.563,2.438,1.688,-0.027,-0.129,0.996,0.027,0.047,0.031,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
pre_stim,67,67,0,67,691338.558,-0.918,-0.046,-0.007,0.394,2341,1050,2173,2365,2389,1540,1083,2717,0,0.000,1,VALID,412,1,3.804,0.064,1.750,2.625,2.125,-0.031,-0.109,0.988,-0.043,0.047,-0.051,0.000,0.000,0.349,0.139,2,NULL,NULL,,2,0,2,7,255,1107,200,0,0
