condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,2,2,0,2,1114108.558,0.770,0.025,0.042,-0.636,1071,67,0,1197,0,0,0,86,0,0.000,0,RECOVERING,708,1,1.693,0.024,-1.438,0.813,-0.375,0.023,-0.117,0.984,-0.023,0.004,0.043,0.000,0.000,0.000,0.000,2,NULL,NULL,1107.000,2,0,2,2,255,1107,200,0,0
pre_stim,7,7,0,7,1114113.558,0.770,0.025,0.042,-0.636,1065,57,0,1191,0,0,0,72,0,0.000,0,RECOVERING,708,1,2.305,0.024,-1.750,1.500,0.000,0.020,-0.133,1.000,-0.023,0.004,0.043,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,12,12,0,12,1114118.558,0.770,0.025,0.041,-0.636,1049,57,0,1187,0,0,0,73,0,0.000,0,RECOVERING,708,1,1.869,0.024,0.438,1.188,-1.375,0.035,-0.109,1.008,-0.023,0.004,0.047,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,17,17,0,17,1114123.558,0.770,0.025,0.041,-0.636,1044,47,0,1180,0,0,0,67,0,0.000,0,RECOVERING,708,1,1.875,0.056,-1.250,1.375,-0.250,0.023,-0.113,0.984,-0.055,0.012,0.047,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,22,22,0,22,1114128.558,0.770,0.025,0.041,-0.636,1035,31,0,1174,0,0,0,59,0,0.000,0,RECOVERING,708,1,3.110,0.056,-1.625,2.625,-0.375,0.023,-0.145,1.004,-0.055,0.012,0.098,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,27,27,0,27,1114133.558,0.770,0.025,0.041,-0.636,1019,26,0,1171,0,0,0,61,0,0.000,0,RECOVERING,708,1,2.237,0.056,1.250,1.563,-1.000,0.027,-0.090,1.000,-0.055,0.012,0.027,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,32,32,0,32,1114138.558,0.770,0.026,0.041,-0.636,1015,23,0,1161,0,0,0,59,0,0.000,0,RECOVERING,708,1,3.919,0.112,-2.563,2.813,-0.938,0.000,-0.137,0.984,0.105,-0.039,0.027,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,37,37,0,37,1114143.558,0.771,0.026,0.041,-0.636,1007,25,0,1152,0,0,0,57,0,0.000,0,RECOVERING,708,1,3.952,0.123,0.313,2.625,-2.938,0.039,-0.117,1.016,-0.047,0.113,0.027,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,42,42,0,42,1114148.558,0.771,0.026,0.041,-0.635,1002,22,0,1146,0,0,0,37,0,0.000,0,RECOVERING,708,1,3.671,0.049,-0.750,2.750,-2.313,0.016,-0.102,0.980,-0.047,-0.016,-0.082,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,47,47,0,47,1114153.558,0.771,0.026,0.041,-0.635,995,21,0,1141,0,0,0,39,0,0.000,0,RECOVERING,708,1,5.220,0.048,-1.500,4.000,-3.000,0.023,-0.133,1.027,-0.047,-0.008,0.211,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,52,52,0,52,1114158.558,0.771,0.026,0.041,-0.635,985,19,0,1139,0,0,0,40,0,0.000,0,RECOVERING,708,1,4.296,0.199,-1.000,2.625,-3.250,0.016,-0.098,0.969,-0.199,-0.008,-0.164,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,57,57,0,57,1114163.558,0.771,0.026,0.041,-0.635,969,16,0,1129,0,0,0,37,0,0.000,0,RECOVERING,708,1,5.563,0.059,-1.563,4.188,-3.313,0.020,-0.156,1.012,0.059,-0.008,0.195,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,62,62,0,62,1114168.558,0.771,0.026,0.041,-0.635,967,12,0,1119,0,0,0,29,0,0.000,0,RECOVERING,708,1,4.083,0.223,0.125,2.625,-3.125,0.012,-0.078,0.984,-0.223,0.008,-0.145,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,67,67,0,67,1114173.558,0.771,0.026,0.041,-0.635,946,8,0,1103,0,0,0,36,0,0.000,0,RECOVERING,708,1,6.840,0.309,-2.000,4.563,-4.688,0.027,-0.156,1.016,0.309,0.008,0.195,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,72,72,0,72,1114178.558,0.771,0.026,0.041,-0.635,940,7,0,1113,0,0,0,28,0,0.000,0,RECOVERING,708,1,3.906,0.192,-0.375,3.125,-2.313,0.016,-0.102,0.973,-0.191,0.020,-0.145,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,77,77,0,77,1114183.558,0.771,0.027,0.040,-0.635,925,3,0,1111,0,0,0,33,0,0.000,0,RECOVERING,708,1,6.377,0.213,-0.188,4.750,-4.250,0.031,-0.145,1.016,0.211,0.027,0.227,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,82,82,0,82,1114188.558,0.771,0.027,0.040,-0.635,915,3,0,1100,0,0,0,30,0,0.000,0,RECOVERING,708,1,4.154,0.165,-1.063,3.750,-1.438,-0.004,-0.109,0.980,-0.164,0.020,-0.160,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,87,87,0,87,1114193.558,0.772,0.027,0.040,-0.634,907,0,0,1094,0,0,0,26,0,0.000,0,RECOVERING,708,1,7.248,0.125,1.125,5.125,-5.000,0.035,-0.113,1.012,-0.094,0.082,0.168,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,92,92,0,92,1114198.558,0.772,0.027,0.040,-0.634,889,0,0,1077,0,0,0,29,0,0.000,0,RECOVERING,708,1,6.457,0.203,-1.438,5.750,-2.563,-0.004,-0.152,0.988,-0.094,-0.180,-0.031,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,97,97,0,97,1114203.558,0.772,0.027,0.040,-0.634,873,0,0,1052,0,0,0,30,0,0.000,0,RECOVERING,708,1,9.775,0.130,2.938,7.188,-5.938,0.023,-0.102,0.980,-0.094,0.090,-0.031,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,102,102,0,102,1114208.558,0.772,0.027,0.039,-0.634,857,0,0,1018,0,0,0,29,0,0.000,0,RECOVERING,708,1,9.882,0.299,2.500,8.625,-4.125,0.008,-0.156,1.008,0.270,-0.129,-0.031,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,107,107,0,107,1114213.558,0.772,0.027,0.039,-0.634,831,0,0,986,0,0,0,40,0,0.000,0,RECOVERING,708,1,11.825,0.218,3.625,9.563,-5.938,-0.016,-0.086,0.988,-0.176,-0.129,-0.121,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,112,112,0,112,1114218.558,0.772,0.027,0.038,-0.633,823,0,0,934,0,0,0,41,0,0.000,0,RECOVERING,708,1,16.863,0.393,6.125,11.688,-10.500,0.023,-0.066,1.051,-0.371,-0.129,0.172,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,117,117,0,117,1114223.558,0.773,0.028,0.038,-0.633,761,0,0,880,0,0,0,36,0,0.000,0,RECOVERING,708,1,16.293,0.599,1.188,13.000,-9.750,-0.020,-0.070,1.031,-0.563,-0.207,0.297,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,122,122,0,122,1114228.558,0.773,0.028,0.037,-0.632,738,0,0,809,0,0,0,43,0,0.000,0,RECOVERING,708,1,19.335,0.625,2.688,14.000,-13.063,-0.055,-0.051,1.008,-0.590,-0.207,0.297,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,127,127,0,127,1114233.558,0.774,0.028,0.037,-0.632,715,0,0,799,0,0,0,43,0,0.000,0,RECOVERING,708,1,23.473,0.838,3.563,15.375,-17.375,-0.031,-0.047,1.035,-0.793,-0.270,0.285,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,132,132,0,132,1114238.558,0.774,0.029,0.036,-0.631,685,0,0,764,0,0,0,41,0,0.000,0,RECOVERING,708,1,24.367,0.979,3.250,16.375,-17.750,-0.066,-0.031,1.074,-0.840,-0.504,0.285,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,137,137,0,137,1114243.558,0.775,0.029,0.035,-0.630,667,0,0,722,0,0,0,41,0,0.000,0,RECOVERING,708,1,30.215,1.096,3.375,17.875,-24.125,-0.059,0.059,1.199,-1.063,-0.270,0.645,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,142,142,0,142,1114248.558,0.776,0.029,0.034,-0.629,638,0,0,689,0,0,0,35,0,0.000,0,RECOVERING,708,1,35.714,2.068,-6.813,20.063,-28.750,-0.031,0.145,1.238,-2.051,-0.270,1.758,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,147,147,0,147,1114253.558,0.777,0.030,0.034,-0.628,596,0,0,661,0,0,0,23,0,0.000,0,RECOVERING,708,1,42.197,2.158,-16.063,21.875,-32.313,-0.082,0.066,1.176,-2.141,-0.270,1.758,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,152,152,0,152,1114258.558,0.778,0.031,0.034,-0.627,551,0,0,633,0,0,0,17,0,0.000,0,RECOVERING,708,0,48.941,2.144,-18.688,23.438,-38.688,-0.051,0.051,1.160,-2.141,-0.113,1.520,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,157,157,0,157,1114263.558,0.779,0.033,0.033,-0.625,479,0,0,585,0,0,0,16,0,0.000,0,RECOVERING,708,0,50.963,2.144,-22.875,24.813,-38.188,-0.043,0.105,1.203,-2.141,-0.113,1.520,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,162,162,0,162,1114268.558,0.780,0.034,0.033,-0.624,407,0,0,533,0,0,0,3,0,0.000,0,RECOVERING,708,0,57.756,2.483,-30.125,26.375,-41.625,-0.098,0.113,1.207,-2.480,-0.113,1.762,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,167,167,0,167,1114273.558,0.781,0.036,0.033,-0.622,363,0,0,467,0,0,0,5,0,0.000,0,RECOVERING,708,0,67.642,2.505,-36.563,28.188,-49.438,-0.090,0.070,1.191,-2.480,-0.352,1.762,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,172,172,0,172,1114278.558,0.783,0.038,0.033,-0.620,332,0,0,421,0,0,0,0,0,0.000,0,RECOVERING,708,0,72.228,2.339,-40.438,29.625,-52.000,-0.070,0.070,1.191,-2.313,-0.352,1.676,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,177,177,0,177,1114283.558,0.784,0.040,0.033,-0.618,285,0,0,331,0,0,0,0,0,0.000,0,RECOVERING,708,0,77.434,2.316,-45.375,30.875,-54.625,-0.090,0.117,1.223,-2.313,-0.129,1.676,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,182,182,0,182,1114288.558,0.786,0.042,0.033,-0.616,203,0,0,303,0,0,0,0,0,0.000,0,RECOVERING,708,0,86.629,2.830,-52.563,32.188,-60.875,-0.086,0.145,1.234,-2.828,-0.098,1.887,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,187,187,0,187,1114293.558,0.787,0.045,0.034,-0.614,135,0,0,263,0,0,0,0,0,0.000,0,RECOVERING,708,0,93.483,3.008,-59.750,33.000,-63.875,-0.074,0.129,1.238,-3.008,0.020,1.977,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,192,192,0,192,1114298.558,0.789,0.048,0.034,-0.611,83,0,0,219,0,0,0,0,0,0.000,0,RECOVERING,708,0,98.250,3.058,-65.500,32.750,-65.500,-0.078,0.125,1.246,-3.055,0.148,2.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,197,197,0,197,1114303.558,0.791,0.051,0.035,-0.609,57,0,0,143,0,0,0,0,0,0.000,0,RECOVERING,708,0,104.508,3.061,-71.813,32.750,-68.500,-0.070,0.156,1.270,-3.055,0.191,2.098,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,202,202,0,202,1114308.558,0.793,0.054,0.037,-0.606,28,0,0,89,0,0,0,0,0,0.000,0,RECOVERING,708,0,112.493,3.452,-80.500,33.000,-71.313,-0.082,0.164,1.270,-3.430,0.395,2.219,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1107,200,0,0
pre_stim,207,207,0,207,1114313.558,0.794,0.058,0.038,-0.603,3,0,0,39,0,0,0,0,0,0.000,0,RECOVERING,708,0,121.332,3.639,-88.438,32.813,-76.313,-0.070,0.176,1.262,-3.617,0.402,2.219,0.000,0.000,0.000,0.000,4,NULL,NULL,,2,0,2,2,255,1107,200,0,0
