condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,11,11,0,11,1539963.558,-0.757,-0.015,-0.045,0.652,2937,1967,2585,2567,2799,2667,1779,2953,0,0.000,0,RECOVERING,1000,1,0.198,0.009,-0.063,0.000,0.188,0.039,-0.109,0.996,-0.004,0.008,-0.004,0.000,0.000,0.000,0.000,3,NULL,NULL,1107.000,2,0,2,4,255,1107,200,0,0
pre_stim,16,16,0,16,1539968.558,-0.757,-0.015,-0.045,0.652,2935,1971,2585,2566,2804,2670,1783,2953,0,0.000,0,RECOVERING,1000,1,0.234,0.004,-0.188,-0.063,0.125,0.039,-0.109,0.996,-0.004,0.000,-0.004,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1107,200,0,0
pre_stim,21,21,0,21,1539973.558,-0.757,-0.015,-0.045,0.652,2935,1967,2588,2567,2803,2671,1783,2955,0,0.000,0,RECOVERING,1000,1,0.319,0.011,-0.188,-0.063,0.250,0.039,-0.109,0.996,-0.008,0.008,0.000,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1107,200,0,0
pre_stim,26,26,0,26,1539978.560,-0.757,-0.015,-0.045,0.652,2935,1969,2587,2558,2805,2669,1783,2955,0,0.000,0,RECOVERING,1000,1,0.405,0.008,-0.250,-0.063,0.313,0.039,-0.113,0.996,-0.008,0.000,0.000,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1107,200,0,0
pre_stim,31,31,0,31,1539983.558,-0.757,-0.015,-0.045,0.652,2931,2009,2585,2567,2805,2669,1785,2953,0,0.000,0,RECOVERING,1000,1,0.272,0.012,-0.188,-0.063,0.188,0.039,-0.113,0.992,0.012,0.000,-0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1107,200,0,0
pre_stim,36,36,0,36,1539988.558,-0.757,-0.015,-0.045,0.652,2935,1967,2588,2565,2805,2671,1784,2955,0,0.000,0,RECOVERING,1000,1,0.286,0.017,-0.125,-0.063,0.250,0.039,-0.109,0.996,0.012,-0.012,-0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1107,200,0,0
pre_stim,41,41,0,41,1539993.558,-0.757,-0.015,-0.045,0.652,2933,1967,2589,2565,2804,2671,1785,2953,0,0.000,0,RECOVERING,1000,1,0.359,0.012,-0.250,-0.063,0.250,0.039,-0.109,0.996,-0.004,-0.012,0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1107,200,0,0
pre_stim,46,46,0,46,1539998.558,-0.757,-0.015,-0.046,0.652,2933,2009,2590,2557,2805,2671,1786,2955,0,0.000,0,RECOVERING,1000,1,0.286,0.004,-0.250,-0.063,0.125,0.039,-0.113,0.996,-0.004,0.000,0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1107,200,0,0
pre_stim,51,51,0,51,1540003.558,-0.757,-0.015,-0.046,0.652,2931,1971,2589,2557,2805,2671,1787,2955,0,0.000,0,RECOVERING,1000,1,0.415,0.016,-0.375,-0.125,0.125,0.039,-0.113,0.992,0.016,0.000,-0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1107,200,0,0
pre_stim,56,56,0,56,1540008.558,-0.757,-0.015,-0.046,0.652,2928,1967,2588,2556,2804,2670,1784,2955,0,0.000,0,RECOVERING,1000,1,0.063,0.016,0.000,0.000,0.063,0.039,-0.109,0.996,0.016,0.000,-0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,4,255,1107,200,0,0
