condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,45,45,0,45,686240.545,-0.626,-0.040,0.132,-0.767,0,0,0,0,0,0,74,0,53,1.058,1,VALID,443,0,276.432,3.189,127.063,245.438,5.500,-0.375,-0.203,0.676,0.707,3.109,-3.043,2.580,2.790,1.010,1.180,0,NULL,NULL,1104.000,6,0,3,7,255,0,250,0,0
baseline,50,50,0,50,686245.545,-0.625,-0.028,0.135,-0.768,0,0,0,0,0,0,85,0,53,1.058,1,VALID,443,0,278.863,2.883,131.813,245.313,14.563,-0.395,-0.207,0.734,0.559,2.828,-2.500,2.612,2.822,1.010,1.180,0,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,55,55,0,55,686250.547,-0.625,-0.016,0.137,-0.769,0,0,0,0,0,0,86,0,53,1.058,1,VALID,443,0,281.126,2.821,139.813,242.813,22.938,-0.426,-0.207,0.848,0.559,2.766,-1.852,2.644,2.856,1.010,1.180,0,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,60,60,0,60,686255.545,-0.624,-0.004,0.138,-0.769,0,0,0,0,0,0,89,0,53,1.058,1,VALID,443,0,280.639,2.869,141.813,240.438,28.938,-0.512,-0.242,0.984,0.762,2.766,-0.703,2.676,2.890,1.010,1.180,0,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,65,65,0,65,686260.545,-0.623,0.008,0.140,-0.769,0,0,0,0,0,0,110,0,53,1.058,1,VALID,443,0,275.092,3.194,139.438,235.813,25.000,-0.574,-0.281,1.137,0.762,3.102,0.855,2.706,2.922,1.010,1.180,0,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,70,70,0,70,686265.545,-0.622,0.019,0.142,-0.769,0,0,0,0,0,0,119,0,53,1.058,1,VALID,443,0,262.556,3.179,122.375,230.875,25.625,-0.543,-0.266,1.203,0.695,3.102,2.586,2.736,2.954,1.010,1.180,0,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,75,75,0,75,686270.545,-0.621,0.030,0.145,-0.769,0,0,0,0,0,0,123,0,53,1.058,1,VALID,443,0,255.143,2.594,113.938,226.688,27.000,-0.555,-0.289,1.219,0.664,2.508,3.152,2.766,2.986,1.010,1.180,0,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,80,80,0,80,686275.545,-0.621,0.041,0.147,-0.769,0,0,0,0,0,0,135,0,53,1.058,1,VALID,443,0,245.544,2.403,108.875,217.875,31.125,-0.535,-0.273,1.230,0.363,2.375,3.414,2.796,3.016,1.010,1.180,0,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,85,85,0,85,686280.545,-0.620,0.051,0.150,-0.768,0,0,0,0,0,0,133,0,53,1.058,1,VALID,443,0,239.013,1.979,102.250,211.313,44.938,-0.500,-0.227,1.285,0.363,1.945,3.488,2.824,3.046,1.010,1.180,0,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,90,90,0,90,686285.545,-0.620,0.061,0.151,-0.767,0,0,0,0,0,0,136,0,53,1.058,1,VALID,443,0,233.432,1.256,101.313,202.375,57.188,-0.496,-0.164,1.387,0.559,1.125,3.852,2.852,3.076,1.010,1.180,0,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,95,95,0,95,686290.545,-0.621,0.071,0.154,-0.765,0,0,0,0,0,0,134,0,53,1.058,1,VALID,443,0,229.080,1.200,90.625,197.938,71.313,-0.477,-0.066,1.500,1.109,0.457,4.676,2.880,3.106,1.010,1.180,0,NULL,NULL,,6,0,3,7,255,0,250,0,0
