condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,5,5,0,5,1341695.545,-0.567,0.019,-0.012,-0.823,2525,477,2375,2793,2555,2375,1959,2899,58,0.373,1,VALID,847,0,92.375,0.619,-89.563,-17.313,-14.563,-0.004,0.078,1.043,0.520,-0.336,0.402,0.012,0.028,0.361,0.386,2,NULL,NULL,1104.000,2,0,2,7,255,1104,200,0,0
pre_stim,10,10,0,10,1341700.545,-0.567,0.016,-0.009,-0.823,2463,492,2413,2770,2583,2375,1983,2905,58,0.373,1,VALID,847,0,92.944,0.420,-91.125,-17.688,-4.688,0.000,0.027,0.992,0.344,-0.242,-0.043,0.012,0.028,0.361,0.386,2,NULL,NULL,,2,0,2,7,255,1104,200,0,0
pre_stim,15,15,0,15,1341705.545,-0.567,0.013,-0.007,-0.824,2383,476,2460,2733,2603,2367,2008,2915,58,0.373,1,VALID,847,0,95.498,0.447,-93.375,-17.313,-10.063,0.000,0.039,1.031,0.316,-0.316,0.281,0.014,0.030,0.361,0.386,2,NULL,NULL,,2,0,2,7,255,1104,200,0,0
pre_stim,20,20,0,20,1341710.545,-0.567,0.010,-0.004,-0.824,2295,510,2505,2702,2620,2361,2030,2921,58,0.373,1,VALID,847,0,97.300,0.345,-95.688,-17.625,0.688,-0.008,0.020,0.996,0.246,-0.242,-0.070,0.014,0.032,0.361,0.386,2,NULL,NULL,,2,0,2,7,255,1104,200,0,0
pre_stim,25,25,0,25,1341715.545,-0.567,0.007,-0.001,-0.824,2187,523,2545,2663,2643,2360,2063,2931,58,0.373,1,VALID,847,0,95.719,0.368,-93.875,-18.688,-0.563,-0.055,0.020,1.020,0.316,-0.188,0.199,0.014,0.034,0.361,0.386,2,NULL,NULL,,2,0,2,7,255,1104,200,0,0
pre_stim,30,30,0,30,1341720.545,-0.567,0.004,0.002,-0.824,2045,534,2585,2618,2663,2356,2085,2937,58,0.373,1,VALID,847,0,100.601,0.542,-98.438,-20.750,0.125,-0.066,0.027,1.008,0.484,0.242,0.047,0.016,0.036,0.361,0.386,2,NULL,NULL,,2,0,2,7,255,1104,200,0,0
pre_stim,35,35,0,35,1341725.545,-0.567,0.001,0.005,-0.824,1933,529,2615,2573,2681,2351,2117,2943,58,0.373,1,VALID,847,0,96.976,0.747,-94.125,-22.813,-4.938,-0.070,0.031,0.980,0.684,0.301,0.047,0.016,0.038,0.361,0.386,2,NULL,NULL,,2,0,2,7,255,1104,200,0,0
pre_stim,40,40,0,40,1341730.545,-0.567,-0.002,0.008,-0.824,1831,532,2645,2518,2705,2343,2142,2953,58,0.373,1,VALID,847,0,96.541,0.748,-92.313,-23.750,-15.313,-0.055,-0.008,0.961,0.684,0.305,-0.191,0.016,0.038,0.361,0.386,2,NULL,NULL,,2,0,2,7,255,1104,200,0,0
pre_stim,45,45,0,45,1341735.545,-0.566,-0.005,0.010,-0.824,1691,529,2675,2460,2719,2335,2166,2959,58,0.373,1,VALID,847,0,88.940,0.552,-82.563,-24.750,-21.938,-0.043,-0.102,0.949,0.449,0.320,-0.402,0.016,0.040,0.361,0.386,2,NULL,NULL,,2,0,2,7,255,1104,200,0,0
pre_stim,50,50,0,50,1341740.545,-0.565,-0.008,0.012,-0.825,1525,535,2708,2396,2738,2327,2190,2965,58,0.373,1,VALID,847,0,79.917,0.633,-70.313,-25.938,-27.750,-0.035,-0.152,0.984,-0.355,0.523,-0.402,0.016,0.042,0.361,0.386,2,NULL,NULL,,2,0,2,7,255,1104,200,0,0
