condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,56,56,0,56,771732.555,-0.710,-0.015,0.022,-0.704,2797,1206,1815,2484,2037,1919,2147,2486,0,0.000,1,VALID,402,1,7.306,0.033,-6.188,-3.500,1.688,-0.020,-0.078,1.004,0.031,0.012,0.047,0.000,0.000,0.372,0.570,3,NULL,NULL,1103.000,6,0,3,7,255,0,250,0,0
baseline,61,61,0,61,771737.555,-0.710,-0.016,0.022,-0.704,2781,1199,1823,2477,2037,1911,2143,2477,0,0.000,1,VALID,402,1,7.651,0.033,-7.063,-2.938,-0.188,-0.031,-0.086,0.988,0.031,0.012,0.047,0.000,0.000,0.372,0.570,3,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,66,66,0,66,771742.555,-0.710,-0.016,0.022,-0.704,2787,1199,1831,2471,2040,1907,2154,2478,0,0.000,1,VALID,402,1,7.073,0.082,-6.375,-3.000,-0.625,-0.027,-0.082,0.996,-0.004,0.082,0.000,0.000,0.000,0.372,0.570,3,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,71,71,0,71,771747.555,-0.710,-0.016,0.022,-0.704,2771,1196,1833,2455,2043,1893,2151,2471,0,0.000,1,VALID,402,1,7.491,0.106,-6.563,-2.875,-2.188,-0.004,-0.090,0.984,-0.066,0.082,-0.098,0.000,0.000,0.372,0.570,3,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,76,76,0,76,771752.555,-0.710,-0.017,0.022,-0.704,2765,1199,1843,2453,2043,1877,2155,2461,0,0.000,1,VALID,402,1,7.772,0.125,-7.188,-2.875,0.688,0.008,-0.070,1.012,-0.004,-0.125,0.000,0.000,0.000,0.372,0.570,3,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,81,81,0,81,771757.555,-0.710,-0.017,0.022,-0.704,2744,1195,1848,2440,2045,1875,2166,2459,0,0.000,1,VALID,402,1,6.667,0.143,-5.313,-2.688,3.000,-0.020,-0.090,1.000,-0.070,-0.125,0.031,0.000,0.000,0.372,0.570,3,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,86,86,0,86,771762.555,-0.710,-0.017,0.022,-0.704,2735,1194,1852,2428,2055,1855,2163,2469,0,0.000,1,VALID,402,1,8.813,0.071,-8.313,-1.875,-2.250,-0.039,-0.094,0.984,-0.070,0.012,0.031,0.000,0.000,0.372,0.570,3,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,91,91,0,91,771767.556,-0.710,-0.017,0.022,-0.704,2720,1191,1865,2411,2047,1850,2167,2451,0,0.000,1,VALID,402,1,6.922,0.071,-6.063,-3.188,1.000,-0.004,-0.051,1.027,-0.070,0.012,0.031,0.000,0.000,0.372,0.570,3,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,96,96,0,96,771772.557,-0.710,-0.018,0.022,-0.704,2720,1187,1867,2403,2059,1847,2171,2445,0,0.000,1,VALID,402,1,7.057,0.107,-6.313,-3.125,0.438,-0.008,-0.086,0.992,-0.035,-0.102,-0.051,0.000,0.000,0.372,0.570,3,NULL,NULL,,6,0,3,7,255,0,250,0,0
baseline,101,101,0,101,771777.555,-0.710,-0.018,0.023,-0.704,2707,1183,1869,2391,2063,1819,2171,2449,0,0.000,1,VALID,402,1,7.283,0.107,-6.875,-2.375,0.375,-0.031,-0.090,0.996,-0.035,-0.102,-0.027,0.000,0.000,0.372,0.570,3,NULL,NULL,,6,0,3,7,255,0,250,0,0
