condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,1,1,0,1,1005412.555,-0.995,0.024,0.010,-0.092,3210,1637,1571,2985,1930,2424,1948,2695,41,0.000,1,VALID,540,1,7.492,0.166,6.375,0.688,-3.875,-0.039,0.000,1.004,-0.109,-0.125,0.043,0.000,0.000,0.200,0.157,2,NULL,NULL,1103.000,2,0,2,4,255,1103,200,0,0
pre_stim,6,6,0,6,1005417.555,-0.995,0.024,0.010,-0.092,3199,1635,1587,2983,1937,2420,1947,2694,41,0.000,1,VALID,540,1,7.690,0.256,7.313,0.563,-2.313,-0.020,0.051,1.035,0.031,0.254,0.184,0.000,0.000,0.200,0.157,2,NULL,NULL,,2,0,2,4,255,1103,200,0,0
pre_stim,11,11,0,11,1005422.555,-0.995,0.024,0.010,-0.092,3209,1635,1588,2987,1946,2427,1951,2699,41,0.000,1,VALID,540,1,4.795,0.105,4.375,0.750,-1.813,-0.039,0.027,1.023,-0.047,0.094,0.254,0.000,0.000,0.200,0.157,2,NULL,NULL,,2,0,2,4,255,1103,200,0,0
pre_stim,16,16,0,16,1005427.556,-0.995,0.024,0.010,-0.092,3212,1643,1589,2983,1947,2435,1949,2696,41,0.000,1,VALID,540,1,5.538,0.304,4.750,0.438,-2.813,-0.027,0.059,1.020,0.125,0.277,0.254,0.000,0.000,0.200,0.157,2,NULL,NULL,,2,0,2,4,255,1103,200,0,0
pre_stim,21,21,0,21,1005432.557,-0.995,0.025,0.010,-0.092,3207,1651,1597,2995,1959,2429,1949,2700,41,0.000,1,VALID,540,1,3.840,0.240,3.625,0.438,-1.188,-0.039,0.043,1.039,-0.027,0.238,0.254,0.000,0.000,0.200,0.157,2,NULL,NULL,,2,0,2,4,255,1103,200,0,0
pre_stim,26,26,0,26,1005437.555,-0.995,0.025,0.010,-0.092,3213,1636,1605,2989,1960,2431,1956,2703,41,0.000,1,VALID,540,1,3.440,0.298,1.625,0.438,-3.000,-0.031,0.051,1.004,0.055,0.293,0.223,0.000,0.000,0.200,0.157,2,NULL,NULL,,2,0,2,4,255,1103,200,0,0
pre_stim,31,31,0,31,1005442.555,-0.995,0.025,0.010,-0.092,3209,1645,1612,2989,1961,2440,1951,2703,41,0.000,1,VALID,540,1,3.549,0.238,2.625,0.250,-2.375,-0.035,0.031,1.020,-0.004,0.238,0.211,0.000,0.000,0.200,0.157,2,NULL,NULL,,2,0,2,4,255,1103,200,0,0
pre_stim,36,36,0,36,1005447.555,-0.995,0.025,0.010,-0.092,3207,1653,1617,2997,1971,2431,1955,2711,41,0.000,1,VALID,540,1,1.411,0.112,0.625,0.438,-1.188,-0.023,0.027,1.012,0.055,0.098,0.117,0.000,0.000,0.200,0.157,2,NULL,NULL,,2,0,2,4,255,1103,200,0,0
pre_stim,41,41,0,41,1005452.555,-0.995,0.025,0.010,-0.093,3212,1652,1619,3001,1968,2430,1957,2709,41,0.000,1,VALID,540,1,1.113,0.098,0.688,0.000,-0.875,-0.047,0.043,1.020,-0.004,0.098,0.191,0.000,0.000,0.200,0.157,2,NULL,NULL,,2,0,2,4,255,1103,200,0,0
pre_stim,46,46,0,46,1005457.556,-0.995,0.025,0.010,-0.093,3221,1647,1625,2997,1977,2441,1957,2702,41,0.000,1,VALID,540,1,2.002,0.145,-0.063,0.063,-2.000,-0.020,0.035,1.016,0.090,0.113,0.168,0.000,0.000,0.200,0.157,2,NULL,NULL,,2,0,2,4,255,1103,200,0,0
