condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,2,2,0,2,1427282.556,-0.333,-0.012,0.034,-0.942,1899,699,588,2053,654,1131,1343,1944,0,0.000,1,VALID,808,1,1.066,0.095,-0.063,0.688,0.813,-0.004,-0.074,1.020,0.090,-0.031,0.094,0.000,0.000,0.897,1.181,3,NULL,NULL,1103.000,2,0,2,1,255,1103,200,0,0
pre_stim,6,6,0,6,1427287.555,-0.333,-0.012,0.034,-0.942,1908,699,568,2059,657,1140,1349,1943,0,0.000,1,VALID,808,1,3.958,0.058,0.063,1.063,-3.813,-0.004,-0.098,0.977,-0.055,-0.020,-0.188,0.000,0.000,0.897,1.181,3,NULL,NULL,,2,0,2,1,255,1103,200,0,0
pre_stim,11,11,0,11,1427292.555,-0.333,-0.012,0.034,-0.942,1917,699,533,2065,633,1143,1318,1932,0,0.000,1,VALID,808,1,5.803,0.248,-2.375,2.688,-4.563,0.000,-0.055,1.031,0.117,-0.219,0.195,0.000,0.000,0.897,1.181,3,NULL,NULL,,2,0,2,1,255,1103,200,0,0
pre_stim,16,16,0,16,1427297.555,-0.333,-0.012,0.034,-0.942,1937,696,471,2074,569,1141,1298,1907,0,0.000,1,VALID,808,1,11.233,0.450,-4.875,4.375,-9.125,0.039,-0.023,1.039,0.133,-0.430,0.273,0.000,0.000,0.897,1.181,3,NULL,NULL,,2,0,2,1,255,1103,200,0,0
pre_stim,21,21,0,21,1427302.555,-0.332,-0.012,0.034,-0.943,1961,688,379,2091,471,1139,1249,1865,0,0.000,1,VALID,808,1,18.589,0.812,-10.375,8.000,-13.188,0.086,-0.078,1.039,0.133,-0.801,0.320,0.000,0.000,0.897,1.181,3,NULL,NULL,,2,0,2,1,255,1103,200,0,0
pre_stim,26,26,0,26,1427307.555,-0.332,-0.011,0.035,-0.943,1991,682,297,2105,403,1126,1183,1775,0,0.000,1,VALID,808,1,20.505,1.037,-13.750,11.125,-10.375,0.105,-0.082,1.012,-0.574,-0.863,0.320,0.000,0.000,0.897,1.181,3,NULL,NULL,,2,0,2,1,255,1103,200,0,0
pre_stim,32,32,0,32,1427312.556,-0.331,-0.011,0.036,-0.943,2024,654,205,2135,339,1117,1127,1677,0,0.000,1,VALID,808,1,25.144,1.033,-15.250,14.688,-13.563,0.066,-0.113,0.988,-0.652,-0.801,0.109,0.000,0.000,0.897,1.181,3,NULL,NULL,,2,0,2,1,255,1103,200,0,0
pre_stim,36,36,0,36,1427317.555,-0.330,-0.011,0.037,-0.943,2053,651,103,2151,261,1109,1085,1573,0,0.000,1,VALID,808,1,25.458,0.845,-13.750,16.688,-13.438,0.074,-0.113,0.977,-0.734,-0.418,-0.070,0.000,0.000,0.897,1.181,3,NULL,NULL,,2,0,2,1,255,1103,200,0,0
pre_stim,41,41,0,41,1427322.555,-0.330,-0.010,0.037,-0.943,2077,620,37,2171,230,1078,1020,1507,0,0.000,1,VALID,808,1,23.845,0.835,-7.750,18.063,-13.500,0.113,-0.184,0.973,-0.734,-0.398,-0.172,0.000,0.000,0.897,1.181,3,NULL,NULL,,2,0,2,1,255,1103,200,0,0
pre_stim,47,47,0,47,1427327.556,-0.330,-0.010,0.038,-0.943,2107,589,6,2183,206,998,981,1449,0,0.000,1,VALID,808,1,18.953,0.754,-4.438,18.375,-1.375,0.043,-0.148,0.988,-0.734,-0.172,-0.172,0.000,0.000,0.897,1.181,3,NULL,NULL,,2,0,2,1,255,1103,200,0,0
pre_stim,51,51,0,51,1427332.555,-0.329,-0.009,0.038,-0.943,2117,537,0,2186,181,859,975,1399,0,0.000,1,VALID,808,1,21.093,0.875,1.688,19.313,-8.313,-0.008,-0.234,0.977,-0.875,-0.020,-0.055,0.000,0.000,0.897,1.181,3,NULL,NULL,,2,0,2,1,255,1103,200,0,0
