condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,3,3,0,3,1849152.557,-0.265,-0.011,-0.010,0.964,3035,857,332,2809,985,2132,1518,2505,0,0.000,0,WARMING_UP,1105,0,18.942,1.502,5.438,-4.313,-17.625,0.023,-0.031,0.961,0.566,1.391,-1.191,0.000,0.000,0.000,0.000,2,NULL,NULL,1103.000,2,0,2,2,255,1103,200,0,0
pre_stim,7,7,0,7,1849157.556,-0.265,-0.011,-0.010,0.964,3057,911,417,2815,1017,2170,1541,2540,0,0.000,0,WARMING_UP,1105,0,20.150,0.484,3.563,-1.813,-19.750,0.004,-0.004,1.004,-0.473,0.105,-0.402,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1103,200,0,0
pre_stim,12,12,0,12,1849162.555,-0.266,-0.011,-0.010,0.964,3061,951,493,2837,1051,2197,1546,2567,0,0.000,0,WARMING_UP,1105,1,21.719,0.543,3.000,-0.688,-21.500,0.047,0.047,1.059,-0.492,-0.230,0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1103,200,0,0
pre_stim,17,17,0,17,1849167.555,-0.267,-0.011,-0.010,0.964,3087,1011,551,2851,1079,2229,1549,2585,0,0.000,0,WARMING_UP,1105,1,14.884,1.219,0.063,0.500,-14.875,0.066,0.082,1.086,-1.129,-0.461,0.500,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1103,200,0,0
pre_stim,22,22,0,22,1849172.555,-0.268,-0.011,-0.010,0.963,3098,1032,569,2863,1107,2267,1549,2596,0,0.000,0,WARMING_UP,1105,1,20.374,1.316,-3.313,3.750,-19.750,0.004,0.051,1.082,-1.129,-0.676,0.734,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1103,200,0,0
pre_stim,27,27,0,27,1849177.556,-0.269,-0.011,-0.010,0.963,3103,1075,607,2873,1143,2296,1557,2613,0,0.000,0,WARMING_UP,1105,1,18.162,1.030,-5.813,4.438,-16.625,0.031,0.008,1.035,-0.777,-0.676,0.734,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1103,200,0,0
pre_stim,32,32,0,32,1849182.555,-0.269,-0.011,-0.010,0.963,3112,1097,663,2895,1175,2315,1559,2628,0,0.000,0,WARMING_UP,1105,1,15.961,0.799,-5.563,5.438,-13.938,-0.012,-0.090,0.992,-0.773,-0.199,0.297,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1103,200,0,0
pre_stim,37,37,0,37,1849187.555,-0.270,-0.012,-0.010,0.963,3128,1121,725,2904,1200,2342,1563,2639,0,0.000,0,WARMING_UP,1105,1,14.780,0.407,-3.563,6.063,-13.000,-0.039,-0.113,0.957,0.063,0.402,-0.047,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1103,200,0,0
pre_stim,42,42,0,42,1849192.556,-0.270,-0.012,-0.010,0.963,3130,1152,761,2919,1243,2359,1571,2663,0,0.000,0,WARMING_UP,1105,1,16.049,0.658,0.063,5.000,-15.250,-0.043,-0.137,0.918,0.453,0.477,-0.387,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1103,200,0,0
pre_stim,47,47,0,47,1849197.556,-0.271,-0.012,-0.010,0.962,3142,1177,798,2923,1275,2396,1575,2677,0,0.000,0,WARMING_UP,1105,1,20.488,0.804,5.313,5.938,-18.875,0.012,-0.168,0.938,0.453,0.664,-0.563,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,2,255,1103,200,0,0
