condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,6,6,0,6,2281837.558,0.511,-0.029,-0.018,-0.859,469,701,1143,756,2459,2496,2227,3023,0,0.000,1,VALID,1417,1,21.893,0.968,-18.063,-3.250,11.938,0.047,-0.090,0.902,0.645,0.723,-0.570,0.000,0.000,0.488,0.348,3,NULL,NULL,1103.000,2,0,2,7,255,1103,200,0,0
pre_stim,10,10,0,10,2281842.555,0.511,-0.028,-0.018,-0.859,467,729,1158,765,2469,2510,2227,3041,0,0.000,1,VALID,1417,1,14.492,1.193,-10.438,-2.688,9.688,0.023,-0.129,0.914,0.898,0.785,-0.914,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,15,15,0,15,2281847.556,0.510,-0.028,-0.017,-0.859,469,736,1177,797,2467,2509,2230,3028,0,0.000,1,VALID,1417,1,9.567,1.556,-5.875,-2.313,7.188,0.008,-0.137,0.949,1.344,0.785,-0.914,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,20,20,0,20,2281852.555,0.510,-0.028,-0.017,-0.859,499,747,1183,813,2465,2504,2229,3025,0,0.000,1,VALID,1417,1,5.757,1.672,-5.688,-0.375,0.813,0.008,-0.172,0.883,1.477,0.785,-0.914,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,25,25,0,25,2281857.557,0.510,-0.028,-0.017,-0.859,534,749,1179,825,2473,2509,2223,3022,0,0.000,1,VALID,1417,1,4.451,1.685,3.000,0.500,-3.250,0.059,-0.145,0.859,1.477,0.813,-1.219,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,30,30,0,30,2281862.555,0.511,-0.028,-0.017,-0.859,617,777,1175,855,2469,2523,2221,3025,0,0.000,1,VALID,1417,1,10.787,1.685,9.188,1.750,-5.375,0.082,-0.121,0.887,1.254,1.125,-1.219,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,35,35,0,35,2281867.557,0.511,-0.028,-0.017,-0.859,693,788,1175,932,2476,2521,2221,3043,0,0.000,1,VALID,1417,1,12.605,1.497,10.313,3.563,-6.313,0.109,-0.055,0.926,0.961,1.148,-1.137,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,40,40,0,40,2281872.555,0.511,-0.028,-0.018,-0.859,763,821,1194,1004,2472,2537,2223,3031,0,0.000,1,VALID,1417,1,12.638,1.189,11.188,4.813,-3.375,0.121,0.031,0.918,0.309,1.148,-0.793,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,45,45,0,45,2281877.555,0.511,-0.029,-0.018,-0.859,867,841,1237,1069,2493,2573,2235,3043,0,0.000,1,VALID,1417,1,14.697,0.862,13.625,5.500,-0.313,0.086,0.020,0.941,-0.211,0.836,-0.754,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,50,50,0,50,2281882.555,0.511,-0.029,-0.019,-0.859,981,893,1287,1177,2514,2556,2257,3034,0,0.000,1,VALID,1417,1,16.410,0.660,13.500,3.063,8.813,-0.027,0.027,1.004,-0.211,0.625,-0.574,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,55,55,0,55,2281887.557,0.511,-0.029,-0.020,-0.859,1081,928,1325,1257,2539,2585,2270,3060,0,0.000,1,VALID,1417,1,12.170,0.402,12.063,1.313,0.938,-0.125,0.113,1.012,0.004,-0.402,0.039,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,60,60,0,60,2281892.555,0.511,-0.029,-0.020,-0.859,1171,987,1401,1339,2568,2599,2278,3054,0,0.000,1,VALID,1417,1,18.094,1.266,12.000,-1.063,-13.500,-0.066,0.145,1.020,0.004,-1.266,0.090,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,65,65,0,65,2281897.555,0.512,-0.029,-0.021,-0.858,1241,1023,1444,1435,2573,2600,2295,3055,0,0.000,1,VALID,1417,1,20.756,1.364,12.063,-1.625,-16.813,0.082,0.109,1.059,-0.508,-1.266,0.199,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,70,70,0,70,2281902.555,0.512,-0.030,-0.021,-0.858,1331,1092,1483,1527,2592,2613,2319,3053,0,0.000,1,VALID,1417,1,10.032,0.899,7.563,-0.625,-6.563,0.133,0.117,1.070,-0.879,0.188,0.625,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,76,76,0,76,2281907.558,0.512,-0.030,-0.021,-0.858,1405,1149,1532,1640,2621,2624,2341,3065,0,0.000,1,VALID,1417,1,2.373,1.204,2.313,0.375,-0.375,0.105,0.148,1.023,-1.184,0.223,0.625,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,80,80,0,80,2281912.555,0.512,-0.030,-0.021,-0.858,1511,1233,1583,1739,2647,2637,2361,3067,0,0.000,1,VALID,1417,1,4.478,1.293,3.625,1.250,2.313,0.098,0.148,1.008,-1.273,0.223,0.281,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,85,85,0,85,2281917.555,0.512,-0.030,-0.021,-0.858,1563,1271,1623,1799,2648,2652,2365,3067,0,0.000,1,VALID,1417,1,4.698,1.293,-0.563,2.688,3.813,0.113,0.074,1.070,-1.273,0.223,0.281,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,90,90,0,90,2281922.555,0.511,-0.030,-0.021,-0.859,1613,1322,1671,1855,2666,2682,2387,3089,0,0.000,1,VALID,1417,1,13.102,0.937,-4.250,3.750,11.813,0.113,0.043,1.059,-0.691,0.633,0.582,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,96,96,0,96,2281927.558,0.511,-0.030,-0.021,-0.859,1655,1352,1705,1899,2676,2671,2389,3091,0,0.000,1,VALID,1417,1,19.588,0.765,-6.500,4.438,17.938,0.043,0.043,1.070,-0.430,0.633,0.711,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,100,100,0,100,2281932.555,0.510,-0.029,-0.021,-0.860,1683,1373,1738,1951,2701,2685,2395,3099,0,0.000,1,VALID,1417,1,22.171,0.271,-9.688,3.875,19.563,-0.027,0.090,1.078,-0.199,0.184,0.711,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,105,105,0,105,2281937.555,0.509,-0.029,-0.021,-0.860,1689,1379,1757,1955,2699,2695,2387,3091,0,0.000,1,VALID,1417,1,18.976,0.708,-11.125,2.750,15.125,-0.043,0.102,1.094,-0.199,-0.680,0.789,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,110,110,0,110,2281942.556,0.509,-0.029,-0.020,-0.860,1669,1384,1764,1963,2725,2719,2391,3097,0,0.000,1,VALID,1417,1,22.740,0.825,-13.375,0.750,18.375,-0.047,0.086,1.117,-0.199,-0.801,0.930,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,115,115,0,115,2281947.555,0.508,-0.028,-0.020,-0.861,1641,1379,1771,1945,2716,2711,2383,3113,0,0.000,1,VALID,1417,1,23.649,0.864,-17.313,-1.250,16.063,-0.047,0.098,1.113,-0.168,-0.848,1.102,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,120,120,0,120,2281952.555,0.508,-0.028,-0.019,-0.861,1557,1353,1740,1915,2726,2713,2361,3100,0,0.000,1,VALID,1417,1,22.782,0.885,-17.250,-2.750,14.625,-0.070,0.086,1.090,-0.059,-0.883,1.102,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,125,125,0,125,2281957.557,0.508,-0.027,-0.018,-0.861,1451,1311,1707,1866,2727,2719,2351,3097,0,0.000,1,VALID,1417,1,19.423,1.024,-19.000,-3.938,-0.875,-0.203,0.121,1.125,0.020,-1.023,1.102,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,130,130,0,130,2281962.556,0.509,-0.027,-0.017,-0.860,1301,1214,1636,1789,2729,2720,2327,3113,0,0.000,1,VALID,1417,1,37.931,1.704,-23.438,-5.500,-29.313,-0.145,0.082,1.063,0.328,-1.672,0.871,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
pre_stim,135,135,0,135,2281967.555,0.510,-0.027,-0.016,-0.860,1159,1109,1555,1692,2719,2728,2303,3101,0,0.000,1,VALID,1417,1,35.354,1.710,-23.375,-8.313,-25.188,0.141,-0.102,1.023,0.359,-1.672,0.605,0.000,0.000,0.488,0.348,3,NULL,NULL,,2,0,2,7,255,1103,200,0,0
