condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,78,78,0,78,79243.540,0.976,0.102,-0.131,0.142,3045,1477,2573,3173,2404,1943,2344,1727,0,0.000,0,WARMING_UP,9,1,0.459,0.012,-0.125,-0.063,0.438,-0.242,-0.258,0.945,0.012,-0.004,0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,1162.000,0,0,0,7,255,0,250,0,0
baseline,83,83,0,83,79248.541,0.976,0.102,-0.131,0.142,3001,1479,2559,3171,2413,1941,2342,1725,0,0.000,0,WARMING_UP,9,1,0.919,0.028,0.250,-0.125,-0.875,-0.246,-0.258,0.945,-0.027,0.004,0.051,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,88,88,0,88,79253.541,0.976,0.102,-0.131,0.142,3001,1480,2572,3173,2405,1941,2342,1725,0,0.000,0,WARMING_UP,9,1,0.773,0.028,-0.188,0.000,-0.750,-0.230,-0.238,0.941,-0.027,0.008,0.051,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,93,93,0,93,79258.540,0.976,0.102,-0.131,0.142,3001,1477,2569,3172,2405,1915,2336,1733,0,0.000,0,WARMING_UP,9,1,0.956,0.110,0.188,0.000,0.938,-0.230,-0.250,0.945,0.098,0.051,-0.027,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,98,98,0,98,79263.540,0.976,0.102,-0.131,0.142,3000,1470,2569,3171,2402,1938,2334,1724,0,0.000,0,WARMING_UP,9,1,0.188,0.110,0.000,0.188,0.000,-0.246,-0.277,0.945,0.098,0.051,-0.027,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,103,103,0,103,79268.540,0.976,0.102,-0.131,0.142,3000,1467,2527,3167,2399,1939,2334,1723,0,0.000,0,WARMING_UP,9,1,1.115,0.051,-0.875,0.063,-0.688,-0.238,-0.250,0.938,-0.008,0.051,-0.027,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,108,108,0,108,79273.541,0.976,0.102,-0.131,0.142,2970,1467,2566,3171,2401,1933,2333,1723,0,0.000,0,WARMING_UP,9,1,0.405,0.028,0.063,-0.250,-0.313,-0.234,-0.254,0.945,-0.008,0.027,-0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,113,113,0,113,79278.541,0.976,0.102,-0.131,0.142,2999,1465,2556,3164,2403,1933,2331,1720,0,0.000,0,WARMING_UP,9,1,0.337,0.028,0.313,0.125,0.000,-0.238,-0.266,0.941,-0.008,0.027,-0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,118,118,0,118,79283.540,0.976,0.102,-0.131,0.142,2997,1459,2559,3169,2395,1931,2329,1721,0,0.000,0,WARMING_UP,9,1,0.841,0.042,-0.563,0.000,-0.625,-0.238,-0.262,0.941,-0.016,-0.039,-0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,123,123,0,123,79288.540,0.976,0.102,-0.131,0.142,3000,1459,2553,3166,2393,1930,2326,1718,0,0.000,0,WARMING_UP,9,1,0.631,0.042,-0.625,-0.063,-0.063,-0.230,-0.238,0.934,-0.016,-0.039,-0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,128,128,0,128,79293.541,0.976,0.102,-0.131,0.142,2997,1454,2565,3165,2399,1927,2325,1720,0,0.000,0,WARMING_UP,9,1,1.093,0.042,1.063,-0.063,0.250,-0.238,-0.277,0.945,-0.016,-0.039,-0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,133,133,0,133,79298.542,0.976,0.102,-0.131,0.142,3000,1451,2569,3171,2401,1927,2323,1719,0,0.000,0,WARMING_UP,9,1,1.201,0.044,-0.125,0.125,-1.188,-0.242,-0.258,0.941,-0.043,0.008,-0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,138,138,0,138,79303.540,0.976,0.102,-0.131,0.142,3017,1447,2556,3166,2396,1927,2323,1719,0,0.000,0,WARMING_UP,9,1,0.580,0.044,-0.563,-0.063,0.125,-0.230,-0.246,0.934,-0.043,0.008,-0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,143,143,0,143,79308.540,0.976,0.102,-0.131,0.142,2997,1444,2557,3161,2396,1904,2321,1723,0,0.000,0,WARMING_UP,9,1,0.990,0.044,0.563,0.063,-0.813,-0.242,-0.266,0.949,-0.043,0.008,-0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,148,148,0,148,79313.540,0.976,0.102,-0.131,0.142,2995,1444,2555,3165,2397,1926,2317,1718,0,0.000,0,WARMING_UP,9,1,0.504,0.027,-0.313,0.125,-0.375,-0.230,-0.254,0.934,0.027,0.000,-0.098,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,153,153,0,153,79318.541,0.976,0.102,-0.131,0.142,2995,1447,2554,3165,2395,1926,2317,1717,0,0.000,0,WARMING_UP,9,1,0.822,0.064,0.313,0.125,-0.750,-0.238,-0.266,0.953,-0.016,-0.063,0.078,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,158,158,0,158,79323.541,0.976,0.102,-0.131,0.142,2997,1445,2554,3165,2397,1927,2317,1717,0,0.000,0,WARMING_UP,9,1,0.984,0.027,-0.750,0.125,-0.625,-0.230,-0.238,0.926,0.027,0.000,-0.098,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,163,163,0,163,79328.540,0.976,0.102,-0.131,0.142,2997,1447,2549,3165,2402,1925,2316,1715,0,0.000,0,WARMING_UP,9,1,1.209,0.072,0.875,0.188,-0.813,-0.242,-0.281,0.961,-0.016,-0.070,0.113,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,168,168,0,168,79333.540,0.976,0.102,-0.131,0.142,2971,1445,2554,3165,2394,1925,2317,1715,0,0.000,0,WARMING_UP,9,1,1.447,0.126,-1.125,0.250,-0.875,-0.230,-0.234,0.926,0.055,0.113,-0.215,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,173,173,0,173,79338.541,0.976,0.102,-0.131,0.142,2996,1440,2575,3164,2395,1925,2315,1715,0,0.000,0,WARMING_UP,9,1,0.656,0.125,0.563,0.125,-0.313,-0.238,-0.273,0.953,-0.008,-0.125,0.152,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,178,178,0,178,79343.541,0.976,0.102,-0.131,0.142,2997,1444,2553,3165,2396,1925,2312,1717,0,0.000,0,WARMING_UP,9,1,0.824,0.047,-0.438,0.313,-0.625,-0.238,-0.250,0.934,-0.004,0.047,-0.094,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,183,183,0,183,79348.542,0.976,0.102,-0.131,0.142,2997,1445,2553,3164,2396,1925,2314,1715,0,0.000,0,WARMING_UP,9,1,0.679,0.031,-0.188,0.188,-0.625,-0.234,-0.258,0.945,-0.004,-0.031,0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,188,188,0,188,79353.540,0.976,0.102,-0.131,0.142,2997,1446,2553,3165,2394,1925,2312,1716,0,0.000,0,WARMING_UP,9,1,0.293,0.035,0.188,0.188,-0.125,-0.234,-0.262,0.945,0.016,-0.031,0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,193,193,0,193,79358.541,0.976,0.102,-0.131,0.142,2995,1440,2555,3171,2401,1925,2315,1715,0,0.000,0,WARMING_UP,9,1,0.455,0.035,-0.250,0.063,0.375,-0.242,-0.250,0.930,0.016,-0.031,0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
