condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,25,25,0,899643.803,0.018,0.063,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,14.789,1.337,7.360,11.380,5.920,-0.117,0.377,0.954,-0.838,1.042,-0.304,0.000,0.000,1.307,0.979,2,NULL,NULL,1062.000,4,0,0,7,255,,0,0,0
stim,25,25,0,899648.802,0.017,0.063,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,17.301,1.508,9.920,9.320,10.680,-0.095,0.339,0.929,-0.838,1.254,-0.478,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,25,25,0,899653.802,0.017,0.063,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,17.345,1.508,7.860,13.280,7.920,-0.135,0.311,0.922,-0.838,1.254,-0.478,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,25,25,0,899658.803,0.017,0.063,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,14.641,1.580,7.420,9.680,8.100,-0.104,0.367,0.958,-0.962,1.254,-0.478,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,25,25,0,899663.802,0.016,0.063,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,17.270,1.621,10.660,10.420,8.720,-0.112,0.318,0.920,-0.800,1.410,-0.590,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,25,25,0,899668.802,0.016,0.064,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,16.735,1.471,5.420,12.740,9.400,-0.126,0.342,0.929,-0.800,1.234,-0.416,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,25,25,0,899673.802,0.015,0.064,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,15.747,1.547,11.340,8.940,6.280,-0.101,0.347,0.962,-0.800,1.324,-0.416,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,25,25,0,899678.802,0.015,0.064,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,17.866,1.470,5.540,11.940,12.080,-0.127,0.321,0.900,-0.694,1.296,-0.416,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,25,25,0,899683.802,0.015,0.064,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,16.025,1.632,10.840,11.140,3.900,-0.104,0.365,0.967,-0.992,1.296,-0.152,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,25,25,0,899688.802,0.014,0.064,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,17.916,1.459,6.260,9.500,13.840,-0.124,0.301,0.914,-0.670,1.296,-0.724,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,25,25,0,899693.802,0.014,0.064,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,16.298,1.539,9.620,12.800,3.040,-0.104,0.391,0.950,-0.978,1.188,-0.066,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,25,25,0,899698.802,0.013,0.064,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,17.999,1.668,7.860,8.880,13.540,-0.130,0.268,0.929,-0.670,1.528,-0.718,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,25,25,0,899703.802,0.013,0.064,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,15.456,1.322,7.860,12.480,4.620,-0.098,0.424,0.945,-0.978,0.890,-0.066,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,47,47,0,899708.802,0.013,0.064,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,16.709,1.991,8.900,9.560,10.420,-0.136,0.246,0.924,-0.620,1.892,-0.718,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,47,47,0,899713.802,0.012,0.064,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,16.238,1.193,8.100,11.140,8.600,-0.099,0.427,0.955,-1.040,0.584,0.024,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,47,47,0,899718.802,0.012,0.065,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,14.406,1.779,6.700,10.960,6.520,-0.132,0.283,0.911,-0.584,1.680,-0.812,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,47,47,0,899723.802,0.011,0.065,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,18.652,1.588,11.400,9.800,11.040,-0.107,0.351,0.960,-0.940,1.280,-0.140,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,67,67,0,899728.802,0.011,0.065,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,13.594,1.465,4.320,11.580,5.660,-0.125,0.366,0.918,-0.712,1.280,-0.408,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,68,68,0,899733.802,0.011,0.065,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,17.757,1.542,9.860,9.740,11.100,-0.108,0.292,0.936,-0.860,1.280,-0.408,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,68,68,0,899738.802,0.010,0.065,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,15.948,1.258,10.040,11.200,5.300,-0.123,0.382,0.951,-0.792,0.978,-0.408,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,68,68,0,899743.802,0.010,0.065,-0.223,-0.973,0,0,0,0,0,0,0,0,44,1.158,392,0,15.514,1.659,3.880,9.920,11.280,-0.118,0.312,0.920,-0.792,1.458,-0.598,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,79,79,0,899748.802,0.010,0.065,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,16.994,1.395,10.540,11.020,7.500,-0.107,0.355,0.939,-0.792,1.148,-0.304,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,79,79,0,899753.802,0.009,0.065,-0.224,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,15.533,1.569,10.040,10.540,5.420,-0.129,0.333,0.944,-0.754,1.376,-0.318,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,112,112,0,899758.803,0.009,0.065,-0.223,-0.973,0,0,0,0,0,0,0,0,44,1.158,392,0,17.353,1.616,4.860,9.620,13.600,-0.112,0.325,0.937,-0.848,1.376,-0.318,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,112,112,0,899763.802,0.008,0.065,-0.223,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,15.296,1.616,7.920,11.700,5.860,-0.112,0.378,0.927,-0.848,1.376,-0.318,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,112,112,0,899768.802,0.008,0.065,-0.223,-0.972,0,0,0,0,0,0,0,0,44,1.158,392,0,16.470,1.644,11.400,10.420,5.720,-0.123,0.311,0.939,-0.848,1.408,-0.446,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,112,112,0,899773.802,0.008,0.065,-0.223,-0.973,0,0,0,0,0,0,0,0,44,1.158,392,0,17.755,1.684,7.300,9.560,13.060,-0.117,0.327,0.954,-0.836,1.462,-0.304,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,112,112,0,899778.802,0.007,0.065,-0.223,-0.973,0,0,0,0,0,0,0,0,44,1.158,392,0,14.652,1.671,5.160,11.520,7.440,-0.118,0.384,0.931,-0.810,1.462,-0.276,0.000,0.000,1.307,0.979,2,NULL,NULL,,4,0,0,7,255,,0,0,0
