condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,14,14,0,1451446.822,0.100,0.008,-0.008,0.995,0,0,0,0,0,0,0,0,7,0.010,158,0,3.698,0.238,-2.100,3.040,-0.160,0.002,-0.004,1.001,-0.122,-0.204,0.006,0.000,0.000,0.014,0.008,2,NULL,NULL,1014.000,4,0,0,7,255,,0,0,0
stim,14,14,0,1451451.821,0.100,0.008,-0.008,0.995,0,0,0,0,0,0,0,0,7,0.010,158,0,3.927,0.188,-2.400,3.100,-0.220,0.001,0.005,1.001,-0.118,-0.146,-0.024,0.000,0.000,0.014,0.008,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,46,46,0,1451456.821,0.100,0.008,-0.008,0.995,0,0,0,0,0,0,0,0,7,0.010,158,0,3.555,0.194,-1.840,3.040,-0.100,0.004,0.010,1.007,-0.128,-0.146,-0.024,0.000,0.000,0.014,0.008,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,46,46,0,1451461.821,0.100,0.008,-0.008,0.995,0,0,0,0,0,0,0,0,7,0.010,158,0,3.615,0.183,-2.040,2.980,-0.160,0.000,-0.001,1.000,-0.110,-0.146,-0.024,0.000,0.000,0.014,0.008,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,46,46,0,1451466.822,0.100,0.008,-0.008,0.995,0,0,0,0,0,0,0,0,7,0.010,158,0,3.865,0.181,-2.220,3.160,-0.160,0.004,0.002,1.004,-0.128,-0.128,0.004,0.000,0.000,0.014,0.008,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,46,46,0,1451471.821,0.100,0.008,-0.008,0.995,0,0,0,0,0,0,0,0,7,0.010,158,0,3.649,0.181,-2.100,2.980,-0.160,0.004,0.009,1.002,-0.128,-0.128,-0.012,0.000,0.000,0.014,0.008,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1451476.822,0.100,0.008,-0.008,0.995,0,0,0,0,0,0,0,0,7,0.010,158,0,3.560,0.181,-1.840,3.040,-0.220,0.002,0.002,1.004,-0.128,-0.128,0.004,0.000,0.000,0.014,0.008,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1451481.820,0.100,0.008,-0.008,0.995,0,0,0,0,0,0,0,0,7,0.010,158,0,3.792,0.175,-2.340,2.980,-0.160,0.003,0.000,1.000,-0.128,-0.120,-0.012,0.000,0.000,0.014,0.008,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1451486.822,0.100,0.008,-0.008,0.995,0,0,0,0,0,0,0,0,7,0.010,158,0,3.768,0.170,-2.040,3.160,-0.220,0.002,0.010,1.003,-0.120,-0.120,-0.002,0.000,0.000,0.014,0.008,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,78,78,0,1451491.821,0.100,0.008,-0.008,0.995,0,0,0,0,0,0,0,0,7,0.010,158,0,3.633,0.190,-2.160,2.920,-0.100,0.005,0.003,1.000,-0.130,-0.138,-0.030,0.000,0.000,0.014,0.008,2,NULL,NULL,,4,0,0,7,255,,0,0,0
