condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,19,19,0,780530.808,-0.303,0.062,0.440,-0.843,2393,1041,922,2415,2023,1784,1263,1867,14,0.000,281,1,16.342,0.866,-7.160,14.100,4.120,0.195,-0.309,0.932,-0.794,0.346,0.764,0.000,0.000,4.095,0.913,2,NULL,NULL,1234.000,4,0,0,7,255,,0,0,0
stim,19,19,0,780535.806,-0.303,0.062,0.439,-0.843,2407,1035,917,2420,2025,1789,1267,1876,14,0.000,281,1,15.899,0.866,-6.540,14.260,2.580,0.206,-0.312,0.916,-0.794,0.346,0.764,0.000,0.000,4.095,0.913,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,20,20,0,780540.808,-0.303,0.062,0.439,-0.844,2404,1037,918,2421,2027,1800,1268,1873,14,0.000,281,1,15.436,0.927,-5.240,14.180,3.120,0.217,-0.309,0.939,-0.860,0.346,0.706,0.000,0.000,4.095,0.913,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,20,20,0,780545.808,-0.303,0.062,0.438,-0.844,2399,1033,919,2424,2015,1785,1268,1879,14,0.000,281,1,16.317,0.900,-7.060,13.960,4.640,0.205,-0.315,0.939,-0.860,0.266,0.706,0.000,0.000,4.095,0.913,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,71,71,0,780550.808,-0.302,0.062,0.438,-0.844,2389,1030,917,2408,2011,1781,1257,1864,14,0.000,281,1,16.184,0.845,-7.100,14.060,3.720,0.195,-0.309,0.914,-0.802,0.266,0.706,0.000,0.000,4.095,0.913,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,71,71,0,780555.806,-0.302,0.062,0.437,-0.845,2389,1029,915,2409,2009,1779,1257,1865,14,0.000,281,1,15.456,0.864,-5.440,14.280,2.320,0.211,-0.310,0.929,-0.802,0.322,0.704,0.000,0.000,4.095,0.913,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,71,71,0,780560.808,-0.302,0.062,0.437,-0.845,2411,1031,923,2423,2019,1787,1261,1875,14,0.000,281,1,15.804,0.913,-6.400,14.000,3.580,0.217,-0.313,0.941,-0.854,0.322,0.704,0.000,0.000,4.095,0.913,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,71,71,0,780565.808,-0.302,0.062,0.437,-0.845,2398,1041,919,2423,2025,1799,1261,1883,14,0.000,281,1,16.295,0.913,-7.060,13.900,4.740,0.201,-0.312,0.927,-0.854,0.322,0.750,0.000,0.000,4.095,0.913,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,86,86,0,780570.808,-0.301,0.062,0.436,-0.846,2393,1039,920,2423,2025,1789,1267,1874,14,0.000,281,1,15.781,0.873,-6.320,14.060,3.380,0.196,-0.308,0.927,-0.782,0.388,0.750,0.000,0.000,4.095,0.913,2,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,86,86,0,780575.806,-0.301,0.062,0.436,-0.846,2407,1041,925,2429,2035,1797,1262,1877,14,0.000,281,1,15.736,0.873,-6.360,14.160,2.580,0.208,-0.312,0.935,-0.782,0.388,0.750,0.000,0.000,4.095,0.913,2,NULL,NULL,,4,0,0,7,255,,0,0,0
