condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,42,42,0,1561966.420,-0.193,0.117,-0.014,-0.974,519,6,571,47,688,0,301,922,6,0.000,146,0,2.080,0.813,-1.060,1.740,0.420,-0.155,0.141,0.972,0.200,-0.788,0.026,0.000,0.000,0.236,0.055,0,NULL,NULL,1091.000,4,0,0,7,255,,0,0,0
stim,42,42,0,1561971.420,-0.193,0.117,-0.014,-0.974,509,0,565,45,682,0,297,914,6,0.000,146,0,1.861,0.703,-0.220,1.800,0.420,-0.157,0.143,0.970,0.164,-0.684,-0.016,0.000,0.000,0.236,0.055,0,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,59,59,0,1561976.420,-0.193,0.117,-0.014,-0.974,523,0,573,49,686,0,302,925,6,0.000,146,0,1.938,0.703,0.220,1.920,-0.140,-0.159,0.165,0.975,0.164,-0.684,-0.016,0.000,0.000,0.236,0.055,0,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,59,59,0,1561981.420,-0.193,0.117,-0.014,-0.974,506,0,565,43,679,0,298,913,6,0.000,146,0,1.820,0.833,-0.520,1.740,0.120,-0.157,0.157,0.976,0.204,-0.808,0.048,0.000,0.000,0.236,0.055,0,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,59,59,0,1561986.420,-0.193,0.117,-0.014,-0.974,517,0,569,51,692,0,300,922,6,0.000,146,0,2.117,0.833,-0.940,1.800,0.600,-0.157,0.141,0.973,0.204,-0.808,0.048,0.000,0.000,0.236,0.055,0,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,59,59,0,1561991.418,-0.193,0.117,-0.014,-0.974,509,0,571,48,688,0,309,923,6,0.000,146,0,1.823,0.778,-0.160,1.800,0.240,-0.157,0.150,0.970,0.192,-0.754,0.004,0.000,0.000,0.236,0.055,0,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1561996.420,-0.193,0.117,-0.014,-0.974,508,1,579,38,695,0,300,921,6,0.000,146,0,1.938,0.778,-0.040,1.920,-0.260,-0.158,0.160,0.975,0.192,-0.754,0.004,0.000,0.000,0.236,0.055,0,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,62,62,0,1562001.419,-0.193,0.117,-0.014,-0.974,505,1,579,41,697,0,303,931,6,0.000,146,0,1.921,0.786,-0.640,1.800,-0.200,-0.158,0.152,0.976,0.192,-0.762,0.046,0.000,0.000,0.236,0.055,0,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,67,67,0,1562006.420,-0.193,0.117,-0.014,-0.974,504,1,581,34,693,0,311,931,6,0.000,146,0,2.053,0.785,-0.760,1.860,0.420,-0.155,0.146,0.972,0.190,-0.762,0.046,0.000,0.000,0.236,0.055,0,NULL,NULL,,4,0,0,7,255,,0,0,0
stim,67,67,0,1562011.418,-0.193,0.117,-0.014,-0.974,504,4,571,36,689,0,311,927,6,0.000,146,0,1.993,0.772,-0.280,1.860,0.660,-0.159,0.150,0.971,0.190,-0.748,0.000,0.000,0.000,0.236,0.055,0,NULL,NULL,,4,0,0,7,255,,0,0,0
