condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,0,0,0,626598.802,-0.893,-0.008,0.201,0.402,1256,0,0,1845,40,57,41,159,42,0.658,345,0,13.248,2.662,7.220,8.920,6.620,-0.317,0.042,0.950,2.356,-1.240,-0.394,0.000,0.000,2.337,0.836,2,NULL,NULL,1062.000,1,0,0,7,255,,0,0,0
stim,0,0,0,626603.803,-0.893,-0.008,0.201,0.402,1243,0,0,1819,36,57,41,158,42,0.658,345,0,15.217,2.477,6.980,9.700,9.420,-0.307,0.052,0.935,2.322,-0.862,-0.472,0.000,0.000,2.337,0.836,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,1,1,0,626608.802,-0.893,-0.008,0.201,0.403,1251,0,0,1820,44,53,41,159,42,0.658,345,0,15.347,2.477,6.600,10.800,8.680,-0.349,0.005,0.943,2.322,-0.862,-0.472,0.000,0.000,2.337,0.836,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,1,1,0,626613.802,-0.893,-0.008,0.201,0.403,1254,0,0,1841,39,52,41,157,42,0.658,345,0,12.462,2.692,7.040,9.040,4.900,-0.348,0.009,0.968,2.382,-1.254,-0.454,0.000,0.000,2.337,0.836,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,1,1,0,626618.803,-0.893,-0.008,0.201,0.403,1256,0,0,1830,41,53,41,168,42,0.658,345,0,13.662,2.692,7.760,7.820,8.080,-0.296,0.066,0.943,2.382,-1.254,-0.454,0.000,0.000,2.337,0.836,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,1,1,0,626623.802,-0.893,-0.008,0.201,0.404,1247,0,0,1838,44,54,41,159,42,0.658,345,0,16.692,2.613,6.800,11.540,9.960,-0.341,0.012,0.919,2.292,-1.254,-0.578,0.000,0.000,2.337,0.836,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,18,18,0,626628.802,-0.893,-0.008,0.201,0.404,1259,0,0,1837,45,51,48,159,42,0.658,345,0,12.700,2.625,6.360,10.200,4.100,-0.352,0.006,0.974,2.292,-1.280,-0.578,0.000,0.000,2.337,0.836,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,18,18,0,626633.802,-0.892,-0.008,0.201,0.404,1248,0,0,1841,48,53,41,158,42,0.658,345,0,13.761,2.625,8.200,6.240,9.120,-0.292,0.072,0.954,2.292,-1.280,-0.494,0.000,0.000,2.337,0.836,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,18,18,0,626638.802,-0.892,-0.008,0.201,0.404,1251,0,0,1824,40,58,41,167,42,0.658,345,0,16.259,2.650,6.420,12.640,7.960,-0.362,-0.014,0.909,2.320,-1.280,-0.494,0.000,0.000,2.337,0.836,2,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,18,18,0,626643.802,-0.892,-0.008,0.201,0.405,1251,0,0,1831,41,61,49,163,42,0.658,345,0,12.218,2.410,6.600,9.040,4.900,-0.313,0.055,0.989,2.320,-0.654,-0.494,0.000,0.000,2.337,0.836,2,NULL,NULL,,1,0,0,7,255,,0,0,0
