condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,15,15,0,711904.823,0.913,-0.081,-0.004,0.400,47,63,85,61,11,0,53,40,0,0.000,0,0,0.709,0.043,-0.580,-0.400,0.080,-0.043,0.053,1.001,0.036,0.024,0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,1010.000,1,0,0,7,255,,0,0,0
stim,15,15,0,711909.821,0.913,-0.081,-0.004,0.400,48,73,84,37,39,1,63,30,0,0.000,0,0,0.477,0.036,-0.460,-0.100,0.080,-0.042,0.049,1.000,0.036,-0.006,0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,31,31,0,711914.825,0.913,-0.081,-0.004,0.400,99,85,57,89,12,0,35,24,0,0.000,0,0,0.384,0.044,-0.340,0.160,0.080,-0.042,0.049,1.000,0.022,-0.038,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,31,31,0,711919.823,0.913,-0.081,-0.004,0.400,59,85,71,38,45,3,71,13,0,0.000,0,0,0.332,0.041,-0.160,0.280,0.080,-0.044,0.050,1.000,0.016,-0.038,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,47,47,0,711924.823,0.913,-0.081,-0.004,0.400,47,69,79,37,51,10,72,18,0,0.000,0,0,0.448,0.018,-0.280,0.340,0.080,-0.048,0.051,0.999,0.012,-0.014,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,47,47,0,711929.822,0.913,-0.081,-0.004,0.400,59,89,60,4,39,22,43,33,0,0.000,0,0,0.489,0.015,-0.400,0.280,0.020,-0.049,0.050,1.000,-0.006,0.014,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,47,47,0,711934.823,0.913,-0.081,-0.004,0.400,57,69,78,40,42,0,75,22,0,0.000,0,0,0.530,0.027,-0.520,0.100,0.020,-0.051,0.048,0.999,-0.020,0.018,-0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,47,47,0,711939.821,0.913,-0.081,-0.004,0.400,83,97,55,70,18,0,38,26,0,0.000,0,0,0.581,0.053,-0.580,0.020,0.020,-0.052,0.045,1.001,-0.050,0.018,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,63,63,0,711944.823,0.913,-0.081,-0.004,0.400,87,95,57,51,43,0,69,11,0,0.000,0,0,0.471,0.068,-0.460,0.100,0.020,-0.052,0.045,1.001,-0.068,0.008,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,63,63,0,711949.822,0.913,-0.081,-0.004,0.400,105,93,58,62,16,0,45,19,0,0.000,0,0,0.298,0.068,-0.280,-0.100,0.020,-0.050,0.048,1.001,-0.068,0.008,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,82,82,0,711954.823,0.913,-0.081,-0.004,0.400,55,91,58,38,39,1,60,11,0,0.000,0,0,0.332,0.041,-0.280,-0.160,0.080,-0.048,0.051,1.000,-0.040,0.010,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
stim,82,82,0,711959.822,0.913,-0.081,-0.004,0.400,51,86,66,46,57,9,59,20,0,0.000,0,0,0.489,0.013,-0.400,-0.280,0.020,-0.045,0.053,1.000,-0.004,0.012,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,0,7,255,,0,0,0
