condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,17,17,1,417110.808,0.906,0.053,-0.027,0.420,1914,1178,1290,2167,2151,1678,1189,1855,32,0.000,108,1,3.186,0.296,-1.360,2.540,1.360,0.127,-0.293,0.954,-0.284,0.082,0.108,0.000,0.000,0.592,0.406,2,NULL,NULL,1234.000,1,1,0,7,255,,0,0,0
stim,17,17,1,417115.808,0.906,0.053,-0.027,0.420,1913,1187,1285,2172,2149,1685,1183,1871,32,0.000,108,1,3.331,0.346,-1.900,2.700,0.440,0.127,-0.298,0.944,-0.340,0.066,0.108,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,45,45,1,417120.808,0.906,0.053,-0.027,0.420,1917,1179,1287,2171,2143,1684,1183,1863,32,0.000,108,1,3.174,0.340,-1.420,2.820,0.320,0.136,-0.301,0.938,-0.334,0.066,0.058,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,45,45,1,417125.808,0.906,0.053,-0.027,0.420,1928,1189,1288,2171,2152,1697,1189,1867,32,0.000,108,1,2.972,0.338,-0.680,2.700,1.040,0.137,-0.292,0.954,-0.334,0.050,0.058,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,45,45,1,417130.806,0.906,0.053,-0.027,0.420,1927,1183,1293,2176,2154,1691,1189,1875,32,0.000,108,1,3.766,0.338,-2.200,2.640,1.540,0.126,-0.305,0.953,-0.334,0.050,0.122,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,45,45,1,417135.808,0.906,0.053,-0.027,0.420,1935,1184,1291,2190,2151,1691,1183,1869,32,0.000,108,1,3.825,0.376,-2.200,3.120,0.240,0.124,-0.294,0.926,-0.372,0.056,0.122,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,62,62,1,417140.806,0.905,0.052,-0.027,0.420,1943,1189,1295,2197,2151,1701,1183,1881,32,0.000,108,1,3.049,0.376,-0.180,2.920,-0.860,0.146,-0.289,0.961,-0.372,0.056,0.166,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,62,62,1,417145.808,0.906,0.052,-0.027,0.420,1945,1187,1293,2200,2152,1695,1181,1871,32,0.000,108,1,5.174,0.402,-2.920,3.040,3.000,0.128,-0.327,0.944,-0.402,0.018,0.166,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,62,62,1,417150.808,0.905,0.052,-0.026,0.420,1951,1190,1293,2203,2152,1699,1181,1877,32,0.000,108,1,3.337,0.109,-1.340,2.980,-0.680,0.121,-0.255,0.944,-0.108,0.018,0.166,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,62,62,1,417155.808,0.905,0.052,-0.026,0.420,1963,1192,1293,2208,2149,1700,1184,1877,32,0.000,108,1,3.851,0.502,-1.520,3.400,0.980,0.138,-0.333,0.952,-0.492,-0.102,0.176,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,62,62,1,417160.807,0.905,0.052,-0.026,0.420,1967,1193,1294,2216,2155,1707,1181,1879,32,0.000,108,1,4.330,0.251,-3.100,3.020,0.120,0.130,-0.281,0.946,-0.204,0.146,0.004,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,62,62,1,417165.808,0.905,0.052,-0.026,0.420,1971,1195,1292,2221,2153,1707,1181,1877,32,0.000,108,1,3.286,0.328,-0.280,2.900,1.520,0.132,-0.300,0.942,-0.328,0.014,0.048,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,78,78,1,417170.808,0.905,0.052,-0.026,0.420,1977,1197,1295,2220,2156,1717,1179,1881,32,0.000,108,1,5.013,0.331,-3.340,3.680,0.660,0.122,-0.311,0.947,-0.328,0.044,0.048,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,78,78,1,417175.808,0.905,0.052,-0.026,0.420,1981,1200,1291,2228,2151,1715,1179,1877,32,0.000,108,1,2.641,0.331,-1.200,2.340,0.240,0.134,-0.291,0.958,-0.328,0.044,0.134,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,78,78,1,417180.807,0.905,0.052,-0.026,0.420,1988,1199,1291,2233,2152,1717,1176,1881,32,0.000,108,1,3.539,0.369,-1.140,3.120,1.220,0.130,-0.299,0.934,-0.366,0.044,0.134,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,78,78,1,417185.808,0.905,0.052,-0.026,0.420,1995,1207,1296,2240,2152,1731,1179,1888,32,0.000,108,1,4.980,0.366,-2.960,3.960,0.600,0.126,-0.307,0.941,-0.366,0.016,0.066,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,94,94,1,417190.807,0.905,0.052,-0.026,0.420,2012,1214,1290,2277,2153,1721,1175,1884,32,0.000,108,1,2.671,0.366,-1.360,2.060,1.020,0.134,-0.304,0.968,-0.366,0.016,0.066,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,94,94,1,417195.808,0.905,0.052,-0.025,0.420,2005,1211,1291,2253,2155,1725,1170,1885,32,0.000,108,1,2.703,0.294,-0.760,2.300,1.200,0.125,-0.289,0.944,-0.292,0.034,0.066,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,94,94,1,417200.808,0.905,0.052,-0.025,0.421,2010,1211,1292,2261,2156,1727,1170,1890,32,0.000,108,1,3.979,0.323,-1.420,3.700,0.360,0.119,-0.294,0.939,-0.292,0.138,0.018,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,94,94,1,417205.808,0.905,0.052,-0.025,0.421,2011,1211,1288,2265,2153,1739,1169,1891,32,0.000,108,1,3.863,0.323,-2.220,3.160,0.100,0.130,-0.303,0.962,-0.292,0.138,0.018,0.000,0.000,0.592,0.406,2,NULL,NULL,,1,1,0,7,255,,0,0,0
