condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,0,0,1,670436.420,0.867,0.052,-0.068,-0.491,2951,653,2807,2736,2409,1081,1207,2424,95,0.000,107,1,0.999,0.028,-0.840,0.340,-0.420,-0.158,0.061,0.983,0.018,-0.022,-0.006,0.000,0.000,0.053,0.042,2,NULL,NULL,1091.000,1,1,0,7,255,,0,0,0
stim,0,0,1,670441.419,0.867,0.052,-0.068,-0.491,2934,656,2795,2749,2397,1081,1213,2444,95,0.000,107,1,0.918,0.028,-0.420,0.160,-0.800,-0.157,0.073,0.982,0.018,-0.022,-0.012,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,14,14,1,670446.420,0.867,0.052,-0.068,-0.491,2951,650,2807,2757,2381,1072,1205,2425,95,0.000,107,1,0.975,0.030,-0.480,0.580,-0.620,-0.161,0.066,0.983,0.010,-0.028,-0.006,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,14,14,1,670451.420,0.867,0.052,-0.068,-0.491,2918,653,2800,2715,2392,1069,1197,2451,95,0.000,107,1,0.947,0.022,-0.800,-0.080,-0.500,-0.155,0.067,0.982,0.010,0.020,-0.012,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,14,14,1,670456.420,0.867,0.052,-0.068,-0.491,2948,651,2780,2747,2381,1070,1194,2437,95,0.000,107,1,1.052,0.030,-0.240,0.640,-0.800,-0.163,0.068,0.986,0.010,-0.028,0.000,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,14,14,1,670461.419,0.867,0.052,-0.068,-0.491,2951,655,2820,2762,2395,1067,1211,2455,95,0.000,107,1,1.160,0.022,-0.980,-0.020,-0.620,-0.156,0.070,0.979,-0.008,0.020,-0.016,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,30,30,1,670466.420,0.867,0.052,-0.068,-0.491,2935,651,2795,2764,2391,1073,1207,2445,95,0.000,107,1,1.049,0.028,-0.300,0.520,-0.860,-0.163,0.069,0.989,-0.014,-0.024,0.028,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,30,30,1,670471.420,0.867,0.052,-0.068,-0.491,2951,659,2807,2749,2389,1067,1207,2429,95,0.000,107,1,1.514,0.033,-1.040,-0.020,-1.100,-0.156,0.071,0.977,-0.018,0.028,-0.042,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,30,30,1,670476.420,0.867,0.052,-0.068,-0.491,2921,647,2775,2727,2365,1055,1184,2415,95,0.000,107,1,0.872,0.024,-0.480,0.580,-0.440,-0.160,0.071,0.989,-0.022,0.010,0.054,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,46,46,1,670481.420,0.867,0.052,-0.068,-0.490,2935,647,2792,2763,2363,1051,1203,2451,95,0.000,107,1,1.908,0.028,-0.420,-0.280,-1.840,-0.165,0.069,0.985,-0.026,0.010,0.028,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,46,46,1,670486.420,0.867,0.052,-0.068,-0.490,2951,649,2793,2760,2377,1069,1198,2423,95,0.000,107,1,2.279,0.028,-1.700,0.340,-1.480,-0.147,0.077,0.978,-0.026,0.010,0.028,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,46,46,1,670491.418,0.867,0.052,-0.068,-0.490,2957,653,2795,2759,2393,1069,1193,2431,95,0.000,107,1,0.952,0.053,-0.180,0.700,-0.620,-0.164,0.057,0.983,-0.022,-0.048,0.004,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,78,78,1,670496.420,0.867,0.052,-0.068,-0.490,2938,655,2795,2763,2381,1066,1197,2439,95,0.000,107,1,2.686,0.104,-0.120,-0.580,-2.620,-0.169,0.061,0.991,0.018,-0.102,0.004,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,78,78,1,670501.420,0.867,0.052,-0.068,-0.490,2941,666,2791,2751,2380,1065,1189,2429,95,0.000,107,1,2.291,0.104,-1.460,0.400,-1.720,-0.144,0.081,0.978,0.018,-0.102,0.004,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,78,78,1,670506.420,0.867,0.052,-0.068,-0.490,2941,649,2778,2749,2364,1066,1184,2420,95,0.000,107,1,1.041,0.078,-0.900,0.520,-0.060,-0.151,0.072,0.980,0.006,0.078,-0.040,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,78,78,1,670511.418,0.867,0.052,-0.068,-0.490,2961,661,2795,2771,2377,1061,1195,2455,95,0.000,107,1,0.988,0.078,-0.120,0.340,-0.920,-0.169,0.055,0.986,0.006,0.078,-0.040,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,96,96,1,670516.420,0.867,0.052,-0.068,-0.490,2967,651,2799,2762,2393,1054,1195,2444,95,0.000,107,1,1.921,0.094,-0.720,0.040,-1.780,-0.165,0.061,0.986,0.034,-0.088,0.034,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,96,96,1,670521.420,0.867,0.052,-0.068,-0.490,2955,651,2809,2767,2381,1067,1197,2436,95,0.000,107,1,1.767,0.094,-1.140,0.160,-1.340,-0.156,0.070,0.983,0.034,-0.088,0.034,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,98,98,1,670526.420,0.867,0.052,-0.068,-0.490,2925,648,2767,2733,2350,1051,1178,2411,95,0.000,107,1,1.348,0.028,-0.960,0.220,-0.920,-0.153,0.071,0.981,0.000,0.028,-0.010,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,98,98,1,670531.418,0.867,0.052,-0.068,-0.490,2957,655,2796,2765,2376,1055,1195,2430,95,0.000,107,1,1.077,0.032,-0.600,0.400,-0.800,-0.156,0.071,0.982,-0.004,0.032,-0.018,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,100,100,1,670536.420,0.867,0.052,-0.068,-0.490,2954,649,2788,2742,2359,1063,1189,2427,95,0.000,107,1,1.023,0.034,-0.540,0.340,-0.800,-0.158,0.070,0.984,-0.012,0.032,-0.018,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,100,100,1,670541.419,0.867,0.052,-0.068,-0.490,2972,663,2791,2760,2365,1062,1184,2428,95,0.000,107,1,1.150,0.018,-0.600,0.340,-0.920,-0.158,0.068,0.984,-0.012,0.014,0.004,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,100,100,1,670546.420,0.868,0.052,-0.068,-0.490,2948,661,2799,2746,2374,1057,1193,2435,95,0.000,107,1,1.247,0.010,-0.660,0.400,-0.980,-0.159,0.065,0.983,0.006,0.008,0.004,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,100,100,1,670551.420,0.868,0.052,-0.068,-0.490,2955,656,2791,2763,2371,1053,1179,2439,95,0.000,107,1,1.217,0.022,-0.720,0.340,-0.920,-0.158,0.065,0.983,0.018,-0.012,-0.006,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,129,129,1,670556.420,0.868,0.052,-0.068,-0.490,2931,647,2763,2743,2343,1044,1171,2407,95,0.000,107,1,1.148,0.025,-0.720,0.400,-0.800,-0.160,0.065,0.983,0.018,-0.018,-0.006,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,129,129,1,670561.419,0.868,0.052,-0.068,-0.490,2963,650,2793,2769,2363,1049,1191,2429,95,0.000,107,1,1.030,0.020,-0.660,0.280,-0.740,-0.159,0.066,0.983,0.016,-0.012,-0.006,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,129,129,1,670566.420,0.868,0.052,-0.068,-0.490,2965,657,2793,2780,2359,1061,1182,2423,95,0.000,107,1,1.068,0.016,-0.720,0.400,-0.680,-0.159,0.066,0.985,0.014,-0.008,0.000,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,129,129,1,670571.420,0.868,0.052,-0.068,-0.490,2959,651,2805,2765,2360,1047,1169,2422,95,0.000,107,1,0.967,0.013,-0.660,0.340,-0.620,-0.160,0.068,0.984,0.012,-0.006,0.010,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,142,142,1,670576.420,0.868,0.052,-0.068,-0.490,2932,645,2766,2741,2341,1042,1170,2403,95,0.000,107,1,1.129,0.007,-0.720,0.340,-0.800,-0.160,0.072,0.984,-0.004,-0.006,0.010,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,142,142,1,670581.420,0.868,0.052,-0.068,-0.490,2979,653,2805,2771,2361,1052,1187,2437,95,0.000,107,1,1.172,0.020,-0.720,0.340,-0.860,-0.160,0.069,0.983,-0.020,-0.004,0.008,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,142,142,1,670586.420,0.868,0.052,-0.068,-0.490,2954,647,2774,2759,2360,1052,1178,2409,95,0.000,107,1,1.085,0.020,-0.600,0.280,-0.860,-0.160,0.069,0.984,-0.020,-0.002,0.008,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,142,142,1,670591.420,0.868,0.052,-0.068,-0.490,2983,647,2778,2775,2357,1049,1181,2423,95,0.000,107,1,1.099,0.018,-0.720,0.220,-0.800,-0.159,0.070,0.985,-0.018,-0.002,0.012,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,174,174,1,670596.420,0.868,0.052,-0.068,-0.490,2955,647,2776,2761,2359,1045,1175,2415,95,0.000,107,1,1.058,0.016,-0.780,0.220,-0.680,-0.160,0.069,0.985,-0.016,0.000,0.014,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,174,174,1,670601.420,0.868,0.052,-0.068,-0.490,2967,643,2779,2773,2339,1035,1183,2436,95,0.000,107,1,1.103,0.011,-0.840,0.220,-0.680,-0.158,0.068,0.983,-0.010,0.004,0.014,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,174,174,1,670606.420,0.868,0.052,-0.068,-0.490,2951,657,2777,2775,2359,1041,1176,2423,95,0.000,107,1,1.009,0.002,-0.720,0.340,-0.620,-0.158,0.065,0.982,0.002,0.000,-0.008,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,174,174,1,670611.419,0.868,0.052,-0.068,-0.490,2973,661,2777,2771,2372,1044,1183,2428,95,0.000,107,1,0.867,0.013,-0.600,0.280,-0.560,-0.158,0.066,0.982,0.012,-0.004,-0.016,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,196,196,1,670616.420,0.868,0.052,-0.068,-0.490,2964,651,2782,2781,2363,1053,1187,2424,95,0.000,107,1,0.772,0.013,-0.480,0.340,-0.500,-0.158,0.070,0.983,0.012,-0.004,-0.016,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
stim,196,196,1,670621.420,0.868,0.052,-0.068,-0.490,2973,647,2781,2781,2346,1057,1183,2426,95,0.000,107,1,0.895,0.018,-0.660,0.340,-0.500,-0.157,0.069,0.984,-0.004,0.018,-0.006,0.000,0.000,0.053,0.042,2,NULL,NULL,,1,1,0,7,255,,0,0,0
