condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,0,0,0,990908.806,0.219,-0.556,0.273,0.754,1306,0,0,1585,0,120,0,187,38,0.000,157,0,36.854,8.280,10.960,33.220,11.600,-0.385,0.053,0.930,-7.932,2.376,-5.418,0.000,0.000,0.000,0.000,0,NULL,NULL,1382.000,0,0,0,7,255,0,250,0,0
baseline,0,0,0,990913.806,0.220,-0.556,0.272,0.753,1326,0,0,1592,0,115,0,185,38,0.000,157,0,36.713,8.297,10.540,33.220,11.540,-0.377,0.065,0.926,-7.950,2.376,-5.418,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,0,0,0,990918.806,0.221,-0.557,0.272,0.753,1325,0,0,1578,0,115,0,189,38,0.000,157,0,36.944,8.257,10.000,33.400,12.220,-0.368,0.068,0.922,-7.950,2.230,-5.418,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,0,0,0,990923.806,0.221,-0.557,0.272,0.753,1321,0,0,1572,0,121,0,185,38,0.000,157,0,37.499,8.236,9.740,33.720,13.200,-0.371,0.064,0.922,-7.944,2.172,-5.466,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,44,44,0,990928.806,0.222,-0.557,0.272,0.752,1323,0,0,1583,0,118,0,184,38,0.000,157,0,36.875,8.236,10.180,33.180,12.460,-0.391,0.042,0.931,-7.944,2.172,-5.466,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,44,44,0,990933.807,0.223,-0.558,0.272,0.752,1323,0,0,1580,0,120,0,199,38,0.000,157,0,36.043,8.346,10.920,32.520,11.060,-0.391,0.049,0.932,-7.992,2.406,-5.462,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,990938.806,0.223,-0.558,0.272,0.751,1317,0,0,1575,0,123,0,191,38,0.000,157,0,36.540,8.346,10.680,32.760,12.160,-0.371,0.069,0.919,-7.992,2.406,-5.462,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,990943.806,0.224,-0.558,0.272,0.751,1325,0,0,1583,0,123,0,185,38,0.000,157,0,37.316,8.249,9.940,33.560,12.940,-0.377,0.059,0.921,-7.944,2.222,-5.466,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,990948.806,0.225,-0.559,0.272,0.751,1316,0,0,1576,0,116,0,185,38,0.000,157,0,36.381,8.249,10.320,32.880,11.660,-0.384,0.053,0.934,-7.944,2.222,-5.466,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,990953.806,0.225,-0.559,0.272,0.750,1321,0,0,1581,0,131,0,195,38,0.000,157,0,36.365,8.280,10.380,32.640,12.220,-0.380,0.060,0.923,-7.976,2.222,-5.472,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,990958.806,0.226,-0.559,0.271,0.750,1317,0,0,1583,0,115,0,192,38,0.000,157,0,36.794,8.334,10.120,33.440,11.540,-0.382,0.049,0.926,-8.010,2.302,-5.472,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,990963.806,0.227,-0.560,0.271,0.749,1327,0,0,1579,0,123,0,187,38,0.000,157,0,36.008,8.309,10.560,31.900,12.940,-0.362,0.078,0.932,-8.010,2.210,-5.480,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,990968.806,0.228,-0.560,0.271,0.749,1329,0,0,1572,0,121,0,185,38,0.000,157,0,38.181,8.334,10.180,34.040,13.980,-0.401,0.029,0.908,-8.010,2.302,-5.528,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,990973.806,0.228,-0.560,0.271,0.749,1327,0,0,1585,0,120,0,189,38,0.000,157,0,35.651,8.369,10.120,33.000,8.920,-0.380,0.072,0.951,-8.098,2.114,-5.480,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,990978.806,0.229,-0.561,0.271,0.748,1317,0,0,1577,0,119,0,184,38,0.000,157,0,36.637,8.134,10.320,31.260,16.080,-0.368,0.081,0.905,-7.854,2.114,-5.488,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,990983.806,0.230,-0.561,0.271,0.748,1315,0,0,1571,0,128,0,185,38,0.000,157,0,39.092,8.311,11.720,36.680,6.740,-0.415,0.009,0.930,-8.038,2.114,-5.488,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,990988.806,0.230,-0.561,0.271,0.747,1320,0,0,1579,0,121,0,187,38,0.000,157,0,34.205,8.263,8.540,29.480,15.100,-0.318,0.112,0.951,-8.038,1.916,-5.568,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
