condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,45,45,0,216719.823,0.995,-0.092,-0.020,0.009,85,105,56,53,36,0,41,46,0,0.000,0,0,0.085,0.002,0.060,-0.060,0.000,-0.017,0.073,1.000,0.000,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,1010.000,0,0,0,7,255,0,250,0,0
baseline,45,45,0,216724.823,0.995,-0.092,-0.020,0.009,107,70,89,73,26,0,71,49,0,0.000,0,0,0.060,0.002,0.000,0.060,0.000,-0.019,0.073,1.000,0.000,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,216729.821,0.995,-0.092,-0.020,0.009,58,95,61,39,53,11,67,17,0,0.000,0,0,0.000,0.006,0.000,0.000,0.000,-0.019,0.073,1.000,-0.006,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,216734.825,0.995,-0.092,-0.020,0.009,61,91,89,39,53,5,71,25,0,0.000,0,0,0.085,0.006,0.060,-0.060,0.000,-0.020,0.071,1.000,-0.006,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,216739.823,0.995,-0.092,-0.020,0.009,54,69,85,45,48,9,72,22,0,0.000,0,0,0.100,0.006,0.060,0.000,-0.080,-0.019,0.073,1.000,-0.006,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,216744.821,0.995,-0.092,-0.020,0.009,91,92,56,75,21,0,45,35,0,0.000,0,0,0.085,0.007,0.060,-0.060,0.000,-0.019,0.073,1.000,-0.006,0.004,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,216749.823,0.995,-0.092,-0.020,0.009,48,57,79,41,35,0,58,35,0,0.000,0,0,0.156,0.007,0.120,-0.060,-0.080,-0.017,0.074,1.000,-0.006,0.004,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,216754.821,0.995,-0.092,-0.020,0.009,75,64,71,63,29,0,47,41,0,0.000,0,0,0.000,0.009,0.000,0.000,0.000,-0.017,0.073,1.001,0.008,0.004,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,216759.823,0.995,-0.092,-0.020,0.009,77,75,59,75,16,0,36,47,0,0.000,0,0,0.000,0.008,0.000,0.000,0.000,-0.018,0.072,1.000,0.008,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,216764.822,0.995,-0.092,-0.020,0.009,53,69,87,39,39,0,71,21,0,0.000,0,0,0.080,0.003,0.000,0.000,-0.080,-0.019,0.073,1.000,-0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
