condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,37,37,0,141980.808,1.000,0.001,0.002,-0.000,2427,1081,1118,2647,2009,1856,1358,1977,48,0.000,4,1,0.850,0.109,0.520,-0.540,0.400,-0.049,-0.305,0.947,0.080,0.074,0.052,0.000,0.000,0.000,0.000,2,NULL,NULL,1234.000,0,0,0,7,255,0,250,0,0
baseline,37,37,0,141985.808,1.000,0.001,0.002,-0.000,2425,1085,1123,2645,2011,1863,1363,1979,48,0.000,4,1,0.971,0.055,-0.100,0.740,-0.620,-0.056,-0.311,0.946,-0.054,-0.012,-0.062,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,47,47,0,141990.808,1.000,0.001,0.002,-0.000,2419,1085,1125,2648,2015,1865,1364,1975,48,0.000,4,1,0.467,0.055,-0.220,0.320,-0.260,-0.043,-0.308,0.961,-0.054,-0.012,-0.062,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,141995.808,1.000,0.001,0.002,-0.000,2419,1082,1127,2645,2009,1864,1361,1975,48,0.000,4,1,0.742,0.012,-0.160,-0.720,-0.080,-0.043,-0.303,0.963,0.012,0.000,0.064,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,142000.808,1.000,0.001,0.002,-0.000,2419,1095,1129,2647,2011,1863,1361,1975,48,0.000,4,1,0.693,0.053,-0.160,-0.660,-0.140,-0.045,-0.299,0.959,0.012,0.052,0.064,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,142005.807,1.000,0.001,0.002,-0.000,2424,1101,1131,2647,2019,1863,1368,1977,48,0.000,4,1,0.804,0.052,0.640,-0.480,-0.080,-0.043,-0.305,0.947,0.004,0.052,0.022,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,142010.808,1.000,0.001,0.002,-0.000,2416,1098,1132,2644,2017,1869,1367,1975,48,0.000,4,1,1.320,0.016,-0.780,0.680,-0.820,-0.047,-0.321,0.941,-0.010,-0.012,-0.074,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,142015.806,1.000,0.001,0.002,-0.000,2412,1095,1141,2641,2037,1881,1365,1976,48,0.000,4,1,0.763,0.013,0.260,-0.660,0.280,-0.040,-0.294,0.976,0.004,-0.012,-0.074,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,142020.808,1.000,0.001,0.002,-0.000,2427,1102,1136,2645,2011,1865,1367,1989,48,0.000,4,1,1.001,0.015,0.320,-0.840,-0.440,-0.045,-0.302,0.942,-0.014,-0.004,-0.076,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,142025.808,1.000,0.001,0.002,-0.000,2420,1097,1143,2645,2020,1863,1369,1975,48,0.000,4,1,0.956,0.015,-0.580,0.760,-0.020,-0.047,-0.326,0.956,-0.014,-0.004,0.068,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
