condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,49,49,0,157181.420,0.402,0.025,-0.043,-0.914,1304,55,61,1234,0,0,77,525,0,0.000,1,0,3.192,0.061,2.240,-1.880,-1.280,-0.082,0.139,1.007,-0.056,-0.024,0.034,0.000,0.000,0.000,0.000,0,NULL,NULL,1289.000,0,0,0,7,255,0,250,0,0
baseline,49,49,0,157186.419,0.402,0.025,-0.043,-0.914,1307,53,60,1243,0,0,81,527,0,0.000,1,0,4.339,0.030,-4.240,0.620,0.680,-0.071,0.121,0.961,-0.018,-0.024,0.034,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,157191.420,0.402,0.025,-0.043,-0.914,1309,59,64,1240,0,0,75,531,0,0.000,1,0,1.468,0.030,1.380,0.500,0.000,-0.093,0.134,1.001,-0.018,-0.024,0.148,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,157196.418,0.402,0.025,-0.043,-0.914,1307,60,67,1240,0,0,77,531,0,0.000,1,0,2.102,0.024,1.260,-1.520,-0.720,-0.079,0.133,0.996,-0.018,0.016,0.090,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,157201.420,0.402,0.025,-0.043,-0.914,1303,55,67,1240,0,0,75,525,0,0.000,1,0,5.313,0.017,-5.200,0.800,0.740,-0.074,0.121,0.967,0.006,0.016,0.090,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,157206.419,0.402,0.025,-0.043,-0.914,1305,55,60,1239,0,0,77,527,0,0.000,1,0,5.609,0.017,5.600,-0.100,-0.300,-0.096,0.143,1.005,0.006,0.016,0.090,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,157211.420,0.402,0.025,-0.043,-0.914,1307,57,62,1241,0,0,83,529,0,0.000,1,0,6.774,0.088,-6.660,-1.140,-0.480,-0.066,0.116,0.980,0.006,0.088,-0.092,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,157216.418,0.402,0.025,-0.043,-0.914,1305,56,65,1241,0,0,77,525,0,0.000,1,0,5.458,0.156,5.240,1.060,1.100,-0.097,0.143,0.978,0.002,-0.156,-0.060,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,50,50,0,157221.420,0.403,0.025,-0.043,-0.914,1313,56,69,1243,0,0,77,527,0,0.000,1,0,6.163,0.178,-5.760,-1.020,-1.940,-0.070,0.120,1.006,-0.002,0.178,-0.060,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,50,50,0,157226.420,0.402,0.025,-0.043,-0.914,1305,55,61,1240,0,0,79,525,0,0.000,1,0,4.769,0.182,4.320,-0.040,2.020,-0.093,0.141,0.961,-0.002,-0.182,-0.060,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
