condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,0,0,0,417916.420,0.506,0.067,-0.067,-0.857,963,5,523,457,240,0,93,499,37,0.000,28,0,2.526,0.043,1.200,0.120,-2.220,-0.204,0.108,0.984,-0.026,0.034,0.064,0.000,0.000,0.000,0.000,0,NULL,NULL,1091.000,0,0,0,7,255,0,250,0,0
baseline,0,0,0,417921.420,0.506,0.067,-0.067,-0.857,959,5,510,456,237,0,87,492,37,0.000,28,0,1.148,0.043,-0.880,-0.560,0.480,-0.156,0.152,0.968,-0.026,0.034,-0.066,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417926.420,0.506,0.067,-0.067,-0.857,959,4,521,455,239,0,91,497,37,0.000,28,0,1.561,0.207,-0.940,0.920,0.840,-0.193,0.111,0.974,0.204,-0.036,0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417931.420,0.506,0.067,-0.067,-0.857,958,4,510,455,233,0,88,491,37,0.000,28,0,1.915,0.062,0.580,-0.980,-1.540,-0.179,0.134,0.978,-0.060,-0.016,0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417936.420,0.506,0.067,-0.067,-0.857,957,8,509,456,234,0,89,492,37,0.000,28,0,1.758,0.047,-1.240,0.920,0.840,-0.175,0.130,0.969,-0.044,-0.016,0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417941.418,0.506,0.067,-0.067,-0.857,957,5,519,456,236,0,88,501,37,0.000,28,0,1.013,0.047,0.040,-0.800,-0.620,-0.186,0.121,0.979,-0.044,-0.016,0.042,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417946.420,0.506,0.067,-0.067,-0.857,968,2,521,457,233,0,89,503,37,0.000,28,0,0.835,0.046,-0.440,0.660,-0.260,-0.173,0.133,0.968,-0.044,0.012,-0.052,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417951.418,0.506,0.067,-0.067,-0.857,969,9,509,457,234,0,87,493,37,0.000,28,0,1.000,0.074,-0.500,-0.560,0.660,-0.184,0.121,0.980,0.074,0.004,0.060,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417956.420,0.506,0.067,-0.067,-0.857,957,3,519,456,235,0,89,499,37,0.000,28,0,1.007,0.075,-0.580,0.360,-0.740,-0.173,0.132,0.965,-0.074,0.010,-0.062,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,417961.420,0.506,0.067,-0.067,-0.857,958,4,522,455,237,0,87,478,37,0.000,28,0,0.992,0.074,0.340,-0.240,0.900,-0.187,0.122,0.984,0.074,0.004,0.066,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,417966.420,0.506,0.067,-0.067,-0.857,970,3,522,458,240,0,90,495,37,0.000,28,0,2.046,0.075,-1.980,0.120,-0.500,-0.171,0.133,0.961,-0.074,0.010,-0.086,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,62,62,0,417971.420,0.506,0.067,-0.067,-0.857,958,4,519,457,240,0,89,499,37,0.000,28,0,2.010,0.086,2.000,0.000,-0.200,-0.189,0.123,0.987,0.084,-0.016,0.104,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,75,75,0,417976.420,0.506,0.067,-0.067,-0.857,959,5,509,457,235,0,87,492,37,0.000,28,0,3.161,0.085,-3.140,0.000,0.360,-0.171,0.132,0.961,-0.084,0.014,-0.130,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,75,75,0,417981.420,0.506,0.067,-0.067,-0.857,959,4,509,455,234,0,87,491,37,0.000,28,0,2.479,0.046,2.240,-0.060,-1.060,-0.185,0.126,0.981,0.038,-0.026,0.078,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,75,75,0,417986.419,0.506,0.067,-0.067,-0.857,958,8,521,455,239,0,85,495,37,0.000,28,0,2.262,0.019,-2.160,0.120,0.660,-0.177,0.126,0.972,-0.006,0.018,-0.024,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,75,75,0,417991.419,0.506,0.067,-0.067,-0.857,965,2,509,455,233,0,91,501,37,0.000,28,0,0.432,0.023,0.100,-0.180,-0.380,-0.179,0.132,0.970,-0.006,-0.022,-0.024,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,75,75,0,417996.419,0.506,0.067,-0.067,-0.857,963,6,512,459,236,0,91,495,37,0.000,28,0,0.234,0.019,-0.020,0.120,-0.200,-0.179,0.124,0.977,-0.006,0.018,-0.024,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,75,75,0,418001.420,0.506,0.067,-0.067,-0.857,960,3,519,456,237,0,85,495,37,0.000,28,0,0.961,0.006,-0.940,0.120,0.160,-0.179,0.127,0.971,-0.006,0.000,-0.026,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
