condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,59,59,0,59,29886.377,0.999,-0.039,-0.005,0.019,204,63,0,26,0,867,0,0,0,0.000,0,0,0.948,0.031,0.188,0.688,-0.625,-0.047,0.047,1.000,-0.027,0.012,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,1165.000,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,29891.377,0.999,-0.039,-0.005,0.019,205,67,0,25,0,866,0,0,0,0.000,0,0,0.140,0.073,0.063,-0.125,0.000,-0.051,0.043,0.996,0.043,0.059,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,29896.377,0.999,-0.039,-0.005,0.019,210,63,0,27,0,874,0,0,0,0.000,0,0,1.518,0.089,0.313,-0.375,-1.438,-0.059,0.031,0.992,0.043,0.059,-0.051,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,29901.377,0.999,-0.039,-0.005,0.019,204,68,0,25,0,867,0,0,0,0.000,0,0,1.800,0.069,0.000,-0.625,1.688,-0.082,0.000,1.004,-0.031,-0.035,-0.051,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,29906.377,0.999,-0.039,-0.005,0.019,205,67,0,23,0,875,0,0,0,0.000,0,0,1.234,0.056,0.063,0.625,1.063,-0.020,0.098,1.016,-0.031,-0.035,0.031,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,29911.377,0.999,-0.039,-0.005,0.019,210,67,0,25,0,875,0,0,0,0.000,0,0,4.098,0.371,-0.313,0.438,-4.063,-0.070,-0.008,0.984,-0.137,-0.344,0.031,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,29916.377,0.999,-0.039,-0.005,0.019,204,68,0,21,0,867,0,0,0,0.000,0,0,4.443,0.137,0.625,-1.688,4.063,-0.078,0.035,1.000,-0.137,-0.008,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,29921.377,0.999,-0.039,-0.005,0.019,211,64,0,25,0,874,0,0,0,0.000,0,0,2.159,0.137,-0.188,1.250,-1.750,-0.031,0.055,1.016,-0.137,-0.008,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,29926.377,0.999,-0.039,-0.005,0.019,212,63,0,26,0,875,0,0,0,0.000,0,0,0.815,0.133,0.313,0.063,-0.750,-0.070,0.031,0.984,-0.133,-0.008,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,29931.377,0.999,-0.039,-0.005,0.019,205,69,0,24,0,876,0,0,0,0.000,0,0,2.032,0.087,-0.125,-1.125,1.688,-0.063,0.012,1.004,-0.066,-0.031,0.047,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,29936.377,0.999,-0.039,-0.005,0.019,205,69,0,26,0,876,0,0,0,0.000,0,0,1.898,0.087,0.688,0.938,-1.500,-0.039,0.078,1.004,-0.066,-0.031,0.047,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,29941.377,0.999,-0.039,-0.005,0.019,211,70,0,25,0,877,0,0,0,0.000,0,0,1.141,0.252,-0.688,-0.250,0.875,-0.074,-0.012,1.000,-0.066,-0.238,0.047,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,29946.377,0.999,-0.039,-0.005,0.019,211,61,0,22,0,877,0,0,0,0.000,0,0,1.572,0.391,1.375,-0.438,-0.625,-0.047,0.074,0.992,0.094,0.379,-0.023,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,29951.377,0.999,-0.039,-0.005,0.019,205,69,0,26,0,869,0,0,0,0.000,0,0,1.339,0.229,-1.188,0.438,0.438,-0.063,0.012,1.012,-0.047,-0.223,-0.023,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,29956.377,0.999,-0.039,-0.005,0.019,211,61,0,27,0,877,0,0,0,0.000,0,0,1.492,0.107,1.438,-0.313,-0.250,-0.055,0.043,0.988,0.020,0.094,-0.047,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,79,79,0,79,29961.377,0.999,-0.039,-0.005,0.019,212,69,0,25,0,869,0,0,0,0.000,0,0,1.072,0.092,-1.063,-0.063,-0.125,-0.063,0.031,1.008,-0.031,-0.027,0.082,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
