condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
prep,43,43,0,259928.806,0.234,-0.191,0.003,0.953,581,0,0,843,21,125,17,180,27,0.000,22,0,7.123,1.686,2.500,6.200,2.460,-0.325,0.045,0.941,-1.652,-0.336,-0.100,0.000,0.000,0.916,0.866,2,NULL,NULL,1382.000,0,0,0,7,255,0,250,0,0
prep,43,43,0,259933.806,0.235,-0.191,0.003,0.953,583,0,0,824,19,123,17,180,27,0.000,22,0,7.218,1.668,2.860,6.200,2.340,-0.333,0.037,0.945,-1.634,-0.336,-0.100,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,43,43,0,259938.806,0.235,-0.191,0.003,0.953,583,0,0,824,21,126,17,183,27,0.000,22,0,7.202,1.651,3.660,5.960,1.720,-0.338,0.029,0.953,-1.634,-0.236,-0.082,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,43,43,0,259943.806,0.235,-0.191,0.003,0.953,580,0,0,827,24,124,18,181,27,0.000,22,0,6.377,1.671,2.860,5.600,1.060,-0.332,0.035,0.953,-1.656,-0.226,-0.018,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,45,45,0,259948.806,0.235,-0.191,0.003,0.953,573,0,0,837,22,125,16,187,27,0.000,22,0,6.559,1.671,1.640,6.000,2.080,-0.317,0.054,0.938,-1.656,-0.226,-0.018,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,45,45,0,259953.806,0.235,-0.191,0.003,0.953,583,0,0,824,21,131,17,178,27,0.000,22,0,7.968,1.692,2.800,6.660,3.360,-0.325,0.049,0.938,-1.652,-0.366,-0.162,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,61,61,0,259958.806,0.235,-0.192,0.003,0.953,589,0,0,827,17,125,16,175,27,0.000,22,0,7.532,1.692,4.200,6.060,1.540,-0.347,0.019,0.961,-1.652,-0.366,-0.162,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,61,61,0,259963.806,0.235,-0.191,0.003,0.953,571,0,0,826,24,132,19,185,27,0.000,22,0,5.519,1.690,2.000,5.140,0.200,-0.328,0.038,0.955,-1.668,-0.272,-0.016,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,61,61,0,259968.806,0.235,-0.191,0.003,0.953,585,0,0,826,20,124,14,187,27,0.000,22,0,7.193,1.690,1.820,6.060,3.420,-0.310,0.072,0.927,-1.668,-0.272,-0.016,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,61,61,0,259973.806,0.235,-0.192,0.003,0.953,575,0,0,827,18,125,13,181,27,0.000,22,0,8.904,1.649,4.680,7.100,2.640,-0.343,0.026,0.951,-1.626,-0.272,-0.016,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,61,61,0,259978.806,0.235,-0.192,0.003,0.953,574,0,0,829,22,128,16,180,27,0.000,22,0,5.575,1.630,1.640,5.320,-0.300,-0.336,0.023,0.965,-1.626,-0.118,0.000,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,61,61,0,259983.806,0.235,-0.191,0.003,0.953,586,0,0,825,24,125,11,180,27,0.000,22,0,6.557,1.630,2.300,5.140,3.360,-0.308,0.075,0.930,-1.626,-0.118,0.000,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,61,61,0,259988.806,0.235,-0.192,0.003,0.953,571,0,0,825,21,123,18,180,27,0.000,22,0,8.864,1.662,4.260,7.580,1.720,-0.341,0.019,0.946,-1.658,-0.118,-0.052,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,61,61,0,259993.806,0.235,-0.192,0.003,0.953,582,0,0,824,18,127,10,183,27,0.000,22,0,5.325,1.693,0.600,5.200,0.980,-0.328,0.045,0.961,-1.658,-0.342,-0.052,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,61,61,0,259998.806,0.235,-0.192,0.003,0.953,581,0,0,829,18,133,10,182,27,0.000,22,0,7.802,1.693,4.740,5.400,3.040,-0.324,0.050,0.936,-1.658,-0.342,-0.052,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,61,61,0,260003.806,0.235,-0.192,0.003,0.953,573,0,0,825,21,124,13,180,27,0.000,22,0,7.530,1.716,1.000,7.420,0.800,-0.335,0.022,0.945,-1.682,-0.342,-0.082,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,80,80,0,260008.806,0.236,-0.192,0.003,0.953,574,0,0,829,20,125,10,179,27,0.000,22,0,6.673,1.656,3.580,4.920,2.740,-0.326,0.062,0.955,-1.614,-0.372,-0.082,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
prep,80,80,0,260013.806,0.236,-0.192,0.003,0.953,579,0,0,826,21,127,18,180,27,0.000,22,0,6.847,1.685,2.420,6.320,1.040,-0.329,0.020,0.940,-1.682,-0.100,-0.082,0.000,0.000,0.916,0.866,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
