condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,35,35,0,35,404680.388,-0.994,0.023,-0.005,-0.109,3133,509,1814,2957,2254,2345,1816,2484,25,0.000,1,150,1,0.419,0.004,-0.313,-0.125,-0.250,-0.109,-0.047,0.996,0.004,0.000,0.000,0.000,0.000,0.856,0.918,2,NULL,NULL,1294.000,0,0,0,7,255,0,250,0,0
baseline,35,35,0,35,404685.413,-0.994,0.023,-0.005,-0.109,3144,511,1815,2953,2246,2333,1811,2487,25,0.000,1,150,1,0.410,0.004,-0.313,-0.188,-0.188,-0.109,-0.047,0.996,0.004,0.000,0.008,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,37,37,0,37,404690.420,-0.994,0.023,-0.005,-0.109,3139,521,1819,2962,2253,2343,1814,2489,25,0.000,1,150,1,0.488,0.009,-0.375,-0.188,-0.250,-0.109,-0.051,0.996,0.004,-0.008,0.012,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,37,37,0,37,404695.418,-0.994,0.023,-0.005,-0.109,3147,519,1819,2965,2239,2337,1787,2491,25,0.000,1,150,1,0.459,0.020,-0.313,-0.125,-0.313,-0.109,-0.047,0.992,0.004,-0.020,0.008,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,39,39,0,39,404700.401,-0.994,0.023,-0.005,-0.109,3111,521,1816,2956,2247,2335,1812,2485,25,0.000,1,150,1,0.563,0.020,-0.375,-0.188,-0.375,-0.109,-0.047,0.992,0.004,-0.020,0.000,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,39,39,0,39,404705.400,-0.994,0.023,-0.005,-0.109,3148,529,1813,2964,2250,2339,1813,2488,25,0.000,1,150,1,0.616,0.004,-0.375,-0.313,-0.375,-0.113,-0.047,0.996,0.000,0.004,0.000,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,404710.398,-0.994,0.023,-0.005,-0.109,3133,536,1815,2959,2254,2341,1810,2478,25,0.000,1,150,1,0.841,0.035,-0.500,-0.375,-0.563,-0.113,-0.047,0.996,-0.035,0.004,0.027,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,404715.412,-0.994,0.023,-0.005,-0.109,3131,539,1815,2951,2249,2343,1813,2485,25,0.000,1,150,1,0.795,0.035,-0.438,-0.438,-0.500,-0.105,-0.047,0.992,-0.035,0.000,0.027,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,404720.403,-0.994,0.023,-0.005,-0.109,3147,543,1817,2964,2251,2342,1818,2492,25,0.000,1,150,1,0.715,0.023,-0.313,-0.563,-0.313,-0.105,-0.043,0.988,0.023,0.000,-0.020,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,404725.411,-0.994,0.023,-0.005,-0.109,3135,549,1817,2961,2251,2347,1819,2487,25,0.000,1,150,1,0.836,0.023,-0.438,-0.563,-0.438,-0.113,-0.051,1.000,0.023,0.000,-0.020,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,49,404730.399,-0.994,0.023,-0.005,-0.109,3140,548,1827,2952,2257,2348,1829,2490,25,0.000,1,150,1,1.120,0.039,-0.688,-0.625,-0.625,-0.113,-0.047,0.996,-0.039,-0.004,0.027,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,49,404735.416,-0.994,0.023,-0.005,-0.109,3144,551,1829,2959,2267,2358,1835,2495,25,0.000,1,150,1,0.873,0.039,-0.438,-0.688,-0.313,-0.105,-0.047,0.988,-0.039,-0.004,0.027,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,56,56,0,56,404740.415,-0.994,0.023,-0.005,-0.109,3144,549,1823,2941,2270,2360,1839,2505,25,0.000,1,150,1,1.070,0.031,-0.625,-0.750,-0.438,-0.113,-0.047,1.000,-0.031,-0.004,0.027,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,56,56,0,56,404745.410,-0.994,0.023,-0.005,-0.109,3141,551,1824,2953,2267,2355,1836,2493,25,0.000,1,150,1,1.123,0.006,-0.563,-0.688,-0.688,-0.109,-0.051,0.996,0.004,-0.004,0.027,0.000,0.000,0.856,0.918,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
